UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
4308,2023-01-08,屏東縣,恆春鎮,1,32,0.14
6061,2022-11-26,屏東縣,恆春鎮,1,31,0.14
6695,2022-11-13,屏東縣,恆春鎮,1,30,0.14
7479,2022-10-31,屏東縣,恆春鎮,2,29,0.29
9010,2022-10-09,屏東縣,恆春鎮,1,27,0.29
9413,2022-10-03,屏東縣,恆春鎮,1,26,0.14
10619,2022-09-12,屏東縣,恆春鎮,1,25,0.14
12024,2022-08-08,屏東縣,恆春鎮,1,24,0.14
12711,2022-07-25,屏東縣,恆春鎮,1,23,0.29
13060,2022-07-19,屏東縣,恆春鎮,1,22,0.14
13611,2022-07-11,屏東縣,恆春鎮,1,21,0.29
13891,2022-07-07,屏東縣,恆春鎮,1,20,0.71
14163,2022-07-04,屏東縣,恆春鎮,2,19,1.29
14251,2022-07-03,屏東縣,恆春鎮,1,17,1.14
14332,2022-07-02,屏東縣,恆春鎮,1,16,1.14
14519,2022-06-30,屏東縣,恆春鎮,2,15,1.00
14621,2022-06-29,屏東縣,恆春鎮,2,13,0.86
14718,2022-06-28,屏東縣,恆春鎮,1,11,0.57
14821,2022-06-27,屏東縣,恆春鎮,1,10,0.43
14921,2022-06-26,屏東縣,恆春鎮,1,9,0.29
15218,2022-06-23,屏東縣,恆春鎮,1,8,0.14
16427,2022-06-13,屏東縣,恆春鎮,2,7,0.43
16543,2022-06-12,屏東縣,恆春鎮,1,5,0.14
18137,2022-05-30,屏東縣,恆春鎮,1,4,0.57
18259,2022-05-29,屏東縣,恆春鎮,1,3,0.43
18354,2022-05-28,屏東縣,恆春鎮,1,2,0.29
18659,2022-05-25,屏東縣,恆春鎮,1,1,0.14
