UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
218,2023-06-14,屏東縣,新園鄉,1,11427,0.14
807,2023-03-20,屏東縣,新園鄉,5,11426,7.00
1111,2023-03-19,屏東縣,新園鄉,3,11421,7.71
1446,2023-03-18,屏東縣,新園鄉,7,11418,8.29
1791,2023-03-17,屏東縣,新園鄉,8,11411,7.86
2144,2023-03-16,屏東縣,新園鄉,8,11403,7.43
2497,2023-03-15,屏東縣,新園鄉,12,11395,7.29
2847,2023-03-14,屏東縣,新園鄉,6,11383,6.71
3204,2023-03-13,屏東縣,新園鄉,10,11377,7.29
3559,2023-03-12,屏東縣,新園鄉,7,11367,6.29
3909,2023-03-11,屏東縣,新園鄉,4,11360,6.14
4259,2023-03-10,屏東縣,新園鄉,5,11356,7.14
4616,2023-03-09,屏東縣,新園鄉,7,11351,7.57
4972,2023-03-08,屏東縣,新園鄉,8,11344,7.57
5328,2023-03-07,屏東縣,新園鄉,10,11336,7.57
5691,2023-03-06,屏東縣,新園鄉,3,11326,7.14
6049,2023-03-05,屏東縣,新園鄉,6,11323,7.71
6390,2023-03-04,屏東縣,新園鄉,11,11317,7.86
6744,2023-03-03,屏東縣,新園鄉,8,11306,7.86
7106,2023-03-02,屏東縣,新園鄉,7,11298,8.14
7468,2023-03-01,屏東縣,新園鄉,8,11291,9.71
7839,2023-02-28,屏東縣,新園鄉,7,11283,10.29
8205,2023-02-27,屏東縣,新園鄉,7,11276,10.43
8555,2023-02-26,屏東縣,新園鄉,7,11269,10.43
8909,2023-02-25,屏東縣,新園鄉,11,11262,11.00
9278,2023-02-24,屏東縣,新園鄉,10,11251,11.29
9640,2023-02-23,屏東縣,新園鄉,18,11241,11.14
10011,2023-02-22,屏東縣,新園鄉,12,11223,9.14
10383,2023-02-21,屏東縣,新園鄉,8,11211,8.71
10756,2023-02-20,屏東縣,新園鄉,7,11203,8.86
11129,2023-02-19,屏東縣,新園鄉,11,11196,9.71
11491,2023-02-18,屏東縣,新園鄉,13,11185,9.86
11857,2023-02-17,屏東縣,新園鄉,9,11172,9.86
12232,2023-02-16,屏東縣,新園鄉,4,11163,10.71
12606,2023-02-15,屏東縣,新園鄉,9,11159,12.14
12981,2023-02-14,屏東縣,新園鄉,9,11150,13.00
13352,2023-02-13,屏東縣,新園鄉,13,11141,16.14
13728,2023-02-12,屏東縣,新園鄉,12,11128,19.00
14089,2023-02-11,屏東縣,新園鄉,13,11116,20.57
14458,2023-02-10,屏東縣,新園鄉,15,11103,21.86
14832,2023-02-09,屏東縣,新園鄉,14,11088,22.71
15211,2023-02-08,屏東縣,新園鄉,15,11074,24.71
15589,2023-02-07,屏東縣,新園鄉,31,11059,26.57
15969,2023-02-06,屏東縣,新園鄉,33,11028,27.14
16345,2023-02-05,屏東縣,新園鄉,23,10995,26.86
16719,2023-02-04,屏東縣,新園鄉,22,10972,26.71
17098,2023-02-03,屏東縣,新園鄉,21,10950,27.43
17484,2023-02-02,屏東縣,新園鄉,28,10929,27.71
17865,2023-02-01,屏東縣,新園鄉,28,10901,26.14
18245,2023-01-31,屏東縣,新園鄉,35,10873,24.86
18630,2023-01-30,屏東縣,新園鄉,31,10838,22.43
19016,2023-01-29,屏東縣,新園鄉,22,10807,18.86
19394,2023-01-28,屏東縣,新園鄉,27,10785,16.57
19770,2023-01-27,屏東縣,新園鄉,23,10758,14.00
20151,2023-01-26,屏東縣,新園鄉,17,10735,13.14
20522,2023-01-25,屏東縣,新園鄉,19,10718,11.57
20890,2023-01-24,屏東縣,新園鄉,18,10699,10.57
21263,2023-01-23,屏東縣,新園鄉,6,10681,10.71
21631,2023-01-22,屏東縣,新園鄉,6,10675,11.86
21999,2023-01-21,屏東縣,新園鄉,9,10669,12.86
22372,2023-01-20,屏東縣,新園鄉,17,10660,15.14
22737,2023-01-19,屏東縣,新園鄉,6,10643,14.57
23110,2023-01-18,屏東縣,新園鄉,12,10637,15.43
23475,2023-01-17,屏東縣,新園鄉,19,10625,16.14
23843,2023-01-16,屏東縣,新園鄉,14,10606,16.00
24221,2023-01-15,屏東縣,新園鄉,13,10592,15.57
24584,2023-01-14,屏東縣,新園鄉,25,10579,15.86
24951,2023-01-13,屏東縣,新園鄉,13,10554,14.14
25322,2023-01-12,屏東縣,新園鄉,12,10541,14.00
25695,2023-01-11,屏東縣,新園鄉,17,10529,14.43
26072,2023-01-10,屏東縣,新園鄉,18,10512,15.00
26445,2023-01-09,屏東縣,新園鄉,11,10494,16.00
26819,2023-01-08,屏東縣,新園鄉,15,10483,17.00
27179,2023-01-07,屏東縣,新園鄉,13,10468,16.57
27553,2023-01-06,屏東縣,新園鄉,12,10455,16.00
27929,2023-01-05,屏東縣,新園鄉,15,10443,15.86
28308,2023-01-04,屏東縣,新園鄉,21,10428,15.57
28690,2023-01-03,屏東縣,新園鄉,25,10407,14.29
29070,2023-01-02,屏東縣,新園鄉,18,10382,11.71
29442,2023-01-01,屏東縣,新園鄉,12,10364,10.86
29802,2022-12-31,屏東縣,新園鄉,9,10352,10.29
30170,2022-12-30,屏東縣,新園鄉,11,10343,9.43
30544,2022-12-29,屏東縣,新園鄉,13,10332,9.43
30915,2022-12-28,屏東縣,新園鄉,12,10319,8.57
31285,2022-12-27,屏東縣,新園鄉,7,10307,9.43
31660,2022-12-26,屏東縣,新園鄉,12,10300,10.86
32028,2022-12-25,屏東縣,新園鄉,8,10288,10.86
32387,2022-12-24,屏東縣,新園鄉,3,10280,11.86
32745,2022-12-23,屏東縣,新園鄉,11,10277,13.00
33113,2022-12-22,屏東縣,新園鄉,7,10266,13.00
33478,2022-12-21,屏東縣,新園鄉,18,10259,13.86
33845,2022-12-20,屏東縣,新園鄉,17,10241,14.43
34211,2022-12-19,屏東縣,新園鄉,12,10224,15.00
34577,2022-12-18,屏東縣,新園鄉,15,10212,16.00
34928,2022-12-17,屏東縣,新園鄉,11,10197,15.71
35290,2022-12-16,屏東縣,新園鄉,11,10186,15.00
35653,2022-12-15,屏東縣,新園鄉,13,10175,15.86
36023,2022-12-14,屏東縣,新園鄉,22,10162,15.86
36382,2022-12-13,屏東縣,新園鄉,21,10140,14.43
36762,2022-12-12,屏東縣,新園鄉,19,10119,14.71
37124,2022-12-11,屏東縣,新園鄉,13,10100,13.71
37483,2022-12-10,屏東縣,新園鄉,6,10087,12.86
37850,2022-12-09,屏東縣,新園鄉,17,10081,14.71
38217,2022-12-08,屏東縣,新園鄉,13,10064,16.71
38591,2022-12-07,屏東縣,新園鄉,12,10051,17.29
38958,2022-12-06,屏東縣,新園鄉,23,10039,18.43
39334,2022-12-05,屏東縣,新園鄉,12,10016,18.71
39709,2022-12-04,屏東縣,新園鄉,7,10004,19.57
40077,2022-12-03,屏東縣,新園鄉,19,9997,20.00
40445,2022-12-02,屏東縣,新園鄉,31,9978,18.43
40812,2022-12-01,屏東縣,新園鄉,17,9947,15.86
41184,2022-11-30,屏東縣,新園鄉,20,9930,16.29
41558,2022-11-29,屏東縣,新園鄉,25,9910,17.43
41936,2022-11-28,屏東縣,新園鄉,18,9885,16.57
42313,2022-11-27,屏東縣,新園鄉,10,9867,19.86
42669,2022-11-26,屏東縣,新園鄉,8,9857,20.86
