UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
244,2023-06-14,屏東縣,新埤鄉,28,2752,4.00
1148,2023-03-19,屏東縣,新埤鄉,1,2724,2.00
1479,2023-03-18,屏東縣,新埤鄉,1,2723,2.14
1832,2023-03-17,屏東縣,新埤鄉,2,2722,2.29
2180,2023-03-16,屏東縣,新埤鄉,1,2720,2.29
2533,2023-03-15,屏東縣,新埤鄉,2,2719,2.29
2885,2023-03-14,屏東縣,新埤鄉,2,2717,2.14
3243,2023-03-13,屏東縣,新埤鄉,5,2715,2.14
3594,2023-03-12,屏東縣,新埤鄉,2,2710,2.00
3948,2023-03-11,屏東縣,新埤鄉,2,2708,1.71
4298,2023-03-10,屏東縣,新埤鄉,2,2706,1.86
4656,2023-03-09,屏東縣,新埤鄉,1,2704,2.14
5012,2023-03-08,屏東縣,新埤鄉,1,2703,2.14
5366,2023-03-07,屏東縣,新埤鄉,2,2702,2.71
5731,2023-03-06,屏東縣,新埤鄉,4,2700,2.71
6428,2023-03-04,屏東縣,新埤鄉,3,2696,2.29
6784,2023-03-03,屏東縣,新埤鄉,4,2693,2.00
7146,2023-03-02,屏東縣,新埤鄉,1,2689,1.86
7511,2023-03-01,屏東縣,新埤鄉,5,2688,1.86
7881,2023-02-28,屏東縣,新埤鄉,2,2683,1.57
8589,2023-02-26,屏東縣,新埤鄉,1,2681,2.00
8951,2023-02-25,屏東縣,新埤鄉,1,2680,1.86
9315,2023-02-24,屏東縣,新埤鄉,3,2679,1.86
9682,2023-02-23,屏東縣,新埤鄉,1,2676,1.71
10053,2023-02-22,屏東縣,新埤鄉,3,2675,2.00
10426,2023-02-21,屏東縣,新埤鄉,2,2672,2.43
10799,2023-02-20,屏東縣,新埤鄉,3,2670,3.71
11531,2023-02-18,屏東縣,新埤鄉,1,2667,4.29
11901,2023-02-17,屏東縣,新埤鄉,2,2666,4.43
12274,2023-02-16,屏東縣,新埤鄉,3,2664,4.57
12650,2023-02-15,屏東縣,新埤鄉,6,2661,7.29
13024,2023-02-14,屏東縣,新埤鄉,11,2655,7.43
13396,2023-02-13,屏東縣,新埤鄉,2,2644,6.29
13767,2023-02-12,屏東縣,新埤鄉,5,2642,7.57
14132,2023-02-11,屏東縣,新埤鄉,2,2637,7.43
14501,2023-02-10,屏東縣,新埤鄉,3,2635,7.14
14873,2023-02-09,屏東縣,新埤鄉,22,2632,7.00
15255,2023-02-08,屏東縣,新埤鄉,7,2610,4.57
15634,2023-02-07,屏東縣,新埤鄉,3,2603,4.43
