UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
2624,2023-02-08,屏東縣,東港鎮,1,33,0.14
3301,2023-01-28,屏東縣,東港鎮,1,32,0.29
3466,2023-01-25,屏東縣,東港鎮,1,31,0.14
3843,2023-01-17,屏東縣,東港鎮,1,30,0.14
4666,2023-01-01,屏東縣,東港鎮,1,29,0.14
5148,2022-12-20,屏東縣,東港鎮,1,28,0.14
6392,2022-11-19,屏東縣,東港鎮,1,27,0.14
7103,2022-11-06,屏東縣,東港鎮,1,26,0.14
9532,2022-10-01,屏東縣,東港鎮,1,25,0.14
11304,2022-08-27,屏東縣,東港鎮,1,24,0.14
11930,2022-08-10,屏東縣,東港鎮,1,23,0.29
12014,2022-08-08,屏東縣,東港鎮,1,22,0.14
12377,2022-07-31,屏東縣,東港鎮,1,21,0.14
13116,2022-07-18,屏東縣,東港鎮,1,20,0.14
14049,2022-07-05,屏東縣,東港鎮,1,19,0.14
14904,2022-06-26,屏東縣,東港鎮,1,18,0.43
15197,2022-06-23,屏東縣,東港鎮,1,17,0.43
15426,2022-06-21,屏東縣,東港鎮,1,16,0.29
15898,2022-06-17,屏東縣,東港鎮,1,15,0.43
16406,2022-06-13,屏東縣,東港鎮,1,14,0.86
16528,2022-06-12,屏東縣,東港鎮,1,13,0.71
16779,2022-06-10,屏東縣,東港鎮,1,12,0.86
16888,2022-06-09,屏東縣,東港鎮,1,11,0.86
17013,2022-06-08,屏東縣,東港鎮,1,10,0.86
17142,2022-06-07,屏東縣,東港鎮,1,9,0.71
17389,2022-06-05,屏東縣,東港鎮,1,8,0.71
17504,2022-06-04,屏東縣,東港鎮,1,7,0.57
17634,2022-06-03,屏東縣,東港鎮,1,6,0.43
17745,2022-06-02,屏東縣,東港鎮,1,5,0.29
17997,2022-05-31,屏東縣,東港鎮,1,4,0.14
18826,2022-05-23,屏東縣,東港鎮,1,3,0.43
19220,2022-05-18,屏東縣,東港鎮,1,2,0.29
19291,2022-05-17,屏東縣,東港鎮,1,1,0.14
