UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
208,2023-06-14,屏東縣,枋寮鄉,5,6930,0.71
782,2023-03-20,屏東縣,枋寮鄉,1,6925,3.86
1084,2023-03-19,屏東縣,枋寮鄉,3,6924,4.00
1415,2023-03-18,屏東縣,枋寮鄉,5,6921,3.71
1760,2023-03-17,屏東縣,枋寮鄉,1,6916,3.29
2113,2023-03-16,屏東縣,枋寮鄉,6,6915,3.29
2465,2023-03-15,屏東縣,枋寮鄉,5,6909,2.71
2815,2023-03-14,屏東縣,枋寮鄉,6,6904,2.29
3173,2023-03-13,屏東縣,枋寮鄉,2,6898,2.29
3529,2023-03-12,屏東縣,枋寮鄉,1,6896,2.57
3879,2023-03-11,屏東縣,枋寮鄉,2,6895,2.57
4228,2023-03-10,屏東縣,枋寮鄉,1,6893,2.29
4587,2023-03-09,屏東縣,枋寮鄉,2,6892,3.00
4942,2023-03-08,屏東縣,枋寮鄉,2,6890,3.43
5298,2023-03-07,屏東縣,枋寮鄉,6,6888,3.71
5660,2023-03-06,屏東縣,枋寮鄉,4,6882,3.57
6018,2023-03-05,屏東縣,枋寮鄉,1,6878,3.71
6713,2023-03-03,屏東縣,枋寮鄉,6,6877,5.00
7074,2023-03-02,屏東縣,枋寮鄉,5,6871,5.00
7438,2023-03-01,屏東縣,枋寮鄉,4,6866,5.71
7809,2023-02-28,屏東縣,枋寮鄉,5,6862,6.00
8176,2023-02-27,屏東縣,枋寮鄉,5,6857,6.43
8526,2023-02-26,屏東縣,枋寮鄉,5,6852,6.14
8878,2023-02-25,屏東縣,枋寮鄉,5,6847,6.14
9246,2023-02-24,屏東縣,枋寮鄉,6,6842,7.14
9609,2023-02-23,屏東縣,枋寮鄉,10,6836,6.57
9979,2023-02-22,屏東縣,枋寮鄉,6,6826,6.29
10353,2023-02-21,屏東縣,枋寮鄉,8,6820,6.29
10724,2023-02-20,屏東縣,枋寮鄉,3,6812,5.86
11099,2023-02-19,屏東縣,枋寮鄉,5,6809,7.14
11461,2023-02-18,屏東縣,枋寮鄉,12,6804,7.14
11826,2023-02-17,屏東縣,枋寮鄉,2,6792,7.14
12201,2023-02-16,屏東縣,枋寮鄉,8,6790,7.71
12576,2023-02-15,屏東縣,枋寮鄉,6,6782,7.71
12949,2023-02-14,屏東縣,枋寮鄉,5,6776,9.14
13321,2023-02-13,屏東縣,枋寮鄉,12,6771,9.29
13698,2023-02-12,屏東縣,枋寮鄉,5,6759,9.29
14057,2023-02-11,屏東縣,枋寮鄉,12,6754,10.14
14426,2023-02-10,屏東縣,枋寮鄉,6,6742,10.57
14801,2023-02-09,屏東縣,枋寮鄉,8,6736,11.29
15180,2023-02-08,屏東縣,枋寮鄉,16,6728,12.14
15558,2023-02-07,屏東縣,枋寮鄉,6,6712,12.29
15937,2023-02-06,屏東縣,枋寮鄉,12,6706,12.71
16315,2023-02-05,屏東縣,枋寮鄉,11,6694,14.57
16687,2023-02-04,屏東縣,枋寮鄉,15,6683,15.00
17067,2023-02-03,屏東縣,枋寮鄉,11,6668,14.43
17452,2023-02-02,屏東縣,枋寮鄉,14,6657,14.00
17834,2023-02-01,屏東縣,枋寮鄉,17,6643,14.71
18213,2023-01-31,屏東縣,枋寮鄉,9,6626,14.14
18598,2023-01-30,屏東縣,枋寮鄉,25,6617,13.43
18984,2023-01-29,屏東縣,枋寮鄉,14,6592,10.86
19362,2023-01-28,屏東縣,枋寮鄉,11,6578,9.14
19738,2023-01-27,屏東縣,枋寮鄉,8,6567,8.57
20119,2023-01-26,屏東縣,枋寮鄉,19,6559,8.57
20491,2023-01-25,屏東縣,枋寮鄉,13,6540,6.43
20860,2023-01-24,屏東縣,枋寮鄉,4,6527,5.14
21232,2023-01-23,屏東縣,枋寮鄉,7,6523,5.29
21601,2023-01-22,屏東縣,枋寮鄉,2,6516,4.57
21967,2023-01-21,屏東縣,枋寮鄉,7,6514,4.43
22340,2023-01-20,屏東縣,枋寮鄉,8,6507,4.00
22705,2023-01-19,屏東縣,枋寮鄉,4,6499,3.43
23078,2023-01-18,屏東縣,枋寮鄉,4,6495,3.57
23446,2023-01-17,屏東縣,枋寮鄉,5,6491,3.29
23811,2023-01-16,屏東縣,枋寮鄉,2,6486,2.86
24189,2023-01-15,屏東縣,枋寮鄉,1,6484,3.57
24553,2023-01-14,屏東縣,枋寮鄉,4,6483,5.71
24920,2023-01-13,屏東縣,枋寮鄉,4,6479,6.29
25290,2023-01-12,屏東縣,枋寮鄉,5,6475,6.86
25664,2023-01-11,屏東縣,枋寮鄉,2,6470,6.57
26040,2023-01-10,屏東縣,枋寮鄉,2,6468,7.71
26413,2023-01-09,屏東縣,枋寮鄉,7,6466,8.86
26787,2023-01-08,屏東縣,枋寮鄉,16,6459,9.14
