UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
234,2023-06-14,屏東縣,林邊鄉,1,4460,0.14
1131,2023-03-19,屏東縣,林邊鄉,1,4459,2.57
1813,2023-03-17,屏東縣,林邊鄉,2,4458,4.14
2162,2023-03-16,屏東縣,林邊鄉,3,4456,4.57
2868,2023-03-14,屏東縣,林邊鄉,6,4453,5.14
3222,2023-03-13,屏東縣,林邊鄉,6,4447,4.29
3577,2023-03-12,屏東縣,林邊鄉,3,4441,3.57
3929,2023-03-11,屏東縣,林邊鄉,9,4438,3.57
4280,2023-03-10,屏東縣,林邊鄉,5,4429,2.86
4637,2023-03-09,屏東縣,林邊鄉,2,4424,2.86
4992,2023-03-08,屏東縣,林邊鄉,5,4422,3.71
5713,2023-03-06,屏東縣,林邊鄉,1,4417,4.29
6066,2023-03-05,屏東縣,林邊鄉,3,4416,4.71
6410,2023-03-04,屏東縣,林邊鄉,4,4413,5.14
6763,2023-03-03,屏東縣,林邊鄉,5,4409,5.14
7126,2023-03-02,屏東縣,林邊鄉,8,4404,5.00
7490,2023-03-01,屏東縣,林邊鄉,4,4396,4.43
7862,2023-02-28,屏東縣,林邊鄉,5,4392,5.00
8225,2023-02-27,屏東縣,林邊鄉,4,4387,4.57
8573,2023-02-26,屏東縣,林邊鄉,6,4383,5.71
8929,2023-02-25,屏東縣,林邊鄉,4,4377,5.57
9297,2023-02-24,屏東縣,林邊鄉,4,4373,5.14
9662,2023-02-23,屏東縣,林邊鄉,4,4369,5.00
10033,2023-02-22,屏東縣,林邊鄉,8,4365,5.29
10405,2023-02-21,屏東縣,林邊鄉,2,4357,4.71
10777,2023-02-20,屏東縣,林邊鄉,12,4355,5.71
11147,2023-02-19,屏東縣,林邊鄉,5,4343,4.43
11512,2023-02-18,屏東縣,林邊鄉,1,4338,4.71
11879,2023-02-17,屏東縣,林邊鄉,3,4337,5.57
12253,2023-02-16,屏東縣,林邊鄉,6,4334,6.57
12628,2023-02-15,屏東縣,林邊鄉,4,4328,7.57
13003,2023-02-14,屏東縣,林邊鄉,9,4324,7.71
13374,2023-02-13,屏東縣,林邊鄉,3,4315,9.43
13748,2023-02-12,屏東縣,林邊鄉,7,4312,10.71
14111,2023-02-11,屏東縣,林邊鄉,7,4305,11.86
14481,2023-02-10,屏東縣,林邊鄉,10,4298,11.71
14853,2023-02-09,屏東縣,林邊鄉,13,4288,11.29
15235,2023-02-08,屏東縣,林邊鄉,5,4275,11.71
15613,2023-02-07,屏東縣,林邊鄉,21,4270,12.29
15992,2023-02-06,屏東縣,林邊鄉,12,4249,11.43
16368,2023-02-05,屏東縣,林邊鄉,15,4237,12.29
16743,2023-02-04,屏東縣,林邊鄉,6,4222,11.29
