UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
1539,2023-06-14,屏東縣,泰武鄉,45-49,146
1540,2023-06-14,屏東縣,泰武鄉,25-29,207
1541,2023-06-14,屏東縣,泰武鄉,10-14,191
1542,2023-06-14,屏東縣,泰武鄉,60-64,182
1543,2023-03-16,屏東縣,泰武鄉,15-19,168
1544,2023-03-12,屏東縣,泰武鄉,20-24,191
1545,2023-03-12,屏東縣,泰武鄉,65-69,118
1546,2023-03-09,屏東縣,泰武鄉,50-54,142
1547,2023-03-03,屏東縣,泰武鄉,30-34,180
1548,2023-03-01,屏東縣,泰武鄉,40-44,168
1549,2023-02-27,屏東縣,泰武鄉,5-9,185
1550,2023-02-25,屏東縣,泰武鄉,70+,188
1551,2023-02-21,屏東縣,泰武鄉,1,36
1552,2023-02-21,屏東縣,泰武鄉,0,35
1553,2023-02-20,屏東縣,泰武鄉,35-39,150
1554,2023-02-17,屏東縣,泰武鄉,55-59,160
1555,2023-01-14,屏東縣,泰武鄉,3,40
1556,2023-01-10,屏東縣,泰武鄉,4,34
1557,2022-12-25,屏東縣,泰武鄉,2,33
