UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
255,2023-06-14,屏東縣,泰武鄉,6,2554,0.86
2212,2023-03-16,屏東縣,泰武鄉,1,2548,1.00
3628,2023-03-12,屏東縣,泰武鄉,4,2547,1.14
4336,2023-03-10,屏東縣,泰武鄉,2,2543,0.86
4689,2023-03-09,屏東縣,泰武鄉,1,2541,0.71
5404,2023-03-07,屏東縣,泰武鄉,1,2540,1.00
6113,2023-03-05,屏東縣,泰武鄉,1,2539,1.43
6465,2023-03-04,屏東縣,泰武鄉,1,2538,1.43
6820,2023-03-03,屏東縣,泰武鄉,1,2537,1.57
7185,2023-03-02,屏東縣,泰武鄉,1,2536,1.43
7550,2023-03-01,屏東縣,泰武鄉,2,2535,1.71
8277,2023-02-27,屏東縣,泰武鄉,4,2533,2.57
8625,2023-02-26,屏東縣,泰武鄉,1,2529,2.29
8991,2023-02-25,屏東縣,泰武鄉,2,2528,2.57
9721,2023-02-23,屏東縣,泰武鄉,3,2526,2.71
10095,2023-02-22,屏東縣,泰武鄉,1,2523,2.57
10467,2023-02-21,屏東縣,泰武鄉,7,2522,2.57
10840,2023-02-20,屏東縣,泰武鄉,2,2515,2.14
11202,2023-02-19,屏東縣,泰武鄉,3,2513,1.86
11570,2023-02-18,屏東縣,泰武鄉,1,2510,1.43
11942,2023-02-17,屏東縣,泰武鄉,2,2509,1.71
12316,2023-02-16,屏東縣,泰武鄉,2,2507,1.57
12688,2023-02-15,屏東縣,泰武鄉,1,2505,1.43
13063,2023-02-14,屏東縣,泰武鄉,4,2504,1.57
14174,2023-02-11,屏東縣,泰武鄉,3,2500,2.14
14541,2023-02-10,屏東縣,泰武鄉,1,2497,1.71
14916,2023-02-09,屏東縣,泰武鄉,1,2496,2.00
15295,2023-02-08,屏東縣,泰武鄉,2,2495,1.86
15676,2023-02-07,屏東縣,泰武鄉,3,2493,2.14
16055,2023-02-06,屏東縣,泰武鄉,3,2490,2.14
16426,2023-02-05,屏東縣,泰武鄉,2,2487,2.00
17185,2023-02-03,屏東縣,泰武鄉,3,2485,3.00
17951,2023-02-01,屏東縣,泰武鄉,4,2482,3.43
18334,2023-01-31,屏東縣,泰武鄉,3,2478,3.14
18719,2023-01-30,屏東縣,泰武鄉,2,2475,2.71
19103,2023-01-29,屏東縣,泰武鄉,3,2473,2.57
19481,2023-01-28,屏東縣,泰武鄉,6,2470,2.14
19857,2023-01-27,屏東縣,泰武鄉,6,2464,1.43
20606,2023-01-25,屏東縣,泰武鄉,2,2458,1.14
21343,2023-01-23,屏東縣,泰武鄉,1,2456,1.14
22081,2023-01-21,屏東縣,泰武鄉,1,2455,1.29
22449,2023-01-20,屏東縣,泰武鄉,2,2454,1.43
22817,2023-01-19,屏東縣,泰武鄉,2,2452,1.14
23189,2023-01-18,屏東縣,泰武鄉,2,2450,1.14
23928,2023-01-16,屏東縣,泰武鄉,1,2448,1.71
24300,2023-01-15,屏東縣,泰武鄉,1,2447,2.14
24666,2023-01-14,屏東縣,泰武鄉,2,2446,2.14
25408,2023-01-12,屏東縣,泰武鄉,2,2444,2.57
25781,2023-01-11,屏東縣,泰武鄉,2,2442,2.43
26155,2023-01-10,屏東縣,泰武鄉,4,2440,2.29
26532,2023-01-09,屏東縣,泰武鄉,4,2436,2.57
26898,2023-01-08,屏東縣,泰武鄉,1,2432,2.29
27263,2023-01-07,屏東縣,泰武鄉,3,2431,2.29
27635,2023-01-06,屏東縣,泰武鄉,2,2428,1.86
28016,2023-01-05,屏東縣,泰武鄉,1,2426,2.00
28396,2023-01-04,屏東縣,泰武鄉,1,2425,2.43
28777,2023-01-03,屏東縣,泰武鄉,6,2424,2.86
29152,2023-01-02,屏東縣,泰武鄉,2,2418,2.29
29518,2023-01-01,屏東縣,泰武鄉,1,2416,2.43
30252,2022-12-30,屏東縣,泰武鄉,3,2415,3.14
30624,2022-12-29,屏東縣,泰武鄉,4,2412,2.86
30996,2022-12-28,屏東縣,泰武鄉,4,2408,2.57
31371,2022-12-27,屏東縣,泰武鄉,2,2404,2.00
31745,2022-12-26,屏東縣,泰武鄉,3,2402,1.71
32103,2022-12-25,屏東縣,泰武鄉,5,2399,1.43
32463,2022-12-24,屏東縣,泰武鄉,1,2394,0.86
32823,2022-12-23,屏東縣,泰武鄉,1,2393,1.00
33190,2022-12-22,屏東縣,泰武鄉,2,2392,1.14
34293,2022-12-19,屏東縣,泰武鄉,1,2390,2.14
34646,2022-12-18,屏東縣,泰武鄉,1,2389,2.14
35008,2022-12-17,屏東縣,泰武鄉,2,2388,2.14
35371,2022-12-16,屏東縣,泰武鄉,2,2386,2.00
35737,2022-12-15,屏東縣,泰武鄉,1,2384,1.71
36097,2022-12-14,屏東縣,泰武鄉,3,2383,1.71
36468,2022-12-13,屏東縣,泰武鄉,5,2380,2.00
36845,2022-12-12,屏東縣,泰武鄉,1,2375,1.57
37197,2022-12-11,屏東縣,泰武鄉,1,2374,1.71
37564,2022-12-10,屏東縣,泰武鄉,1,2373,1.57
38301,2022-12-08,屏東縣,泰武鄉,1,2372,2.00
38674,2022-12-07,屏東縣,泰武鄉,5,2371,1.86
39041,2022-12-06,屏東縣,泰武鄉,2,2366,1.86
39418,2022-12-05,屏東縣,泰武鄉,2,2364,1.86
40159,2022-12-03,屏東縣,泰武鄉,2,2362,2.71
40527,2022-12-02,屏東縣,泰武鄉,2,2360,2.43
41267,2022-11-30,屏東縣,泰武鄉,5,2358,2.71
41643,2022-11-29,屏東縣,泰武鄉,2,2353,2.43
42022,2022-11-28,屏東縣,泰武鄉,5,2351,3.14
42391,2022-11-27,屏東縣,泰武鄉,3,2346,3.29
43114,2022-11-25,屏東縣,泰武鄉,1,2343,3.86
43484,2022-11-24,屏東縣,泰武鄉,3,2342,4.14
43852,2022-11-23,屏東縣,泰武鄉,3,2339,4.57
44227,2022-11-22,屏東縣,泰武鄉,7,2336,4.57
44605,2022-11-21,屏東縣,泰武鄉,6,2329,4.29
44975,2022-11-20,屏東縣,泰武鄉,1,2323,3.57
45346,2022-11-19,屏東縣,泰武鄉,6,2322,3.86
45716,2022-11-18,屏東縣,泰武鄉,3,2316,3.00
46089,2022-11-17,屏東縣,泰武鄉,6,2313,2.71
46467,2022-11-16,屏東縣,泰武鄉,3,2307,2.29
46848,2022-11-15,屏東縣,泰武鄉,5,2304,2.14
47227,2022-11-14,屏東縣,泰武鄉,1,2299,3.14
47603,2022-11-13,屏東縣,泰武鄉,3,2298,3.57
48356,2022-11-11,屏東縣,泰武鄉,1,2295,3.43
48737,2022-11-10,屏東縣,泰武鄉,3,2294,3.57
49120,2022-11-09,屏東縣,泰武鄉,2,2291,3.86
49506,2022-11-08,屏東縣,泰武鄉,12,2289,4.14
49890,2022-11-07,屏東縣,泰武鄉,4,2277,2.71
50262,2022-11-06,屏東縣,泰武鄉,2,2273,2.86
51019,2022-11-04,屏東縣,泰武鄉,2,2271,4.00
51404,2022-11-03,屏東縣,泰武鄉,5,2269,4.14
51785,2022-11-02,屏東縣,泰武鄉,4,2264,4.00
