UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
856,2023-03-20,屏東縣,滿州鄉,1,1480,1.29
1519,2023-03-18,屏東縣,滿州鄉,3,1479,1.14
2219,2023-03-16,屏東縣,滿州鄉,1,1476,0.86
2574,2023-03-15,屏東縣,滿州鄉,1,1475,0.86
2928,2023-03-14,屏東縣,滿州鄉,3,1474,0.71
3990,2023-03-11,屏東縣,滿州鄉,1,1471,0.86
4695,2023-03-09,屏東縣,滿州鄉,1,1470,1.00
5410,2023-03-07,屏東縣,滿州鄉,1,1469,1.14
5776,2023-03-06,屏東縣,滿州鄉,2,1468,1.00
6120,2023-03-05,屏東縣,滿州鄉,1,1466,1.00
6827,2023-03-03,屏東縣,滿州鄉,2,1465,1.29
7558,2023-03-01,屏東縣,滿州鄉,2,1463,1.57
8284,2023-02-27,屏東縣,滿州鄉,2,1461,1.57
8632,2023-02-26,屏東縣,滿州鄉,1,1459,1.57
8999,2023-02-25,屏東縣,滿州鄉,2,1458,1.43
9361,2023-02-24,屏東縣,滿州鄉,4,1456,1.14
10475,2023-02-21,屏東縣,滿州鄉,2,1452,1.43
10848,2023-02-20,屏東縣,滿州鄉,2,1450,1.29
11949,2023-02-17,屏東縣,滿州鄉,3,1448,2.00
12324,2023-02-16,屏東縣,滿州鄉,1,1445,2.29
12696,2023-02-15,屏東縣,滿州鄉,2,1444,2.29
13070,2023-02-14,屏東縣,滿州鄉,1,1442,2.14
13446,2023-02-13,屏東縣,滿州鄉,5,1441,2.00
14180,2023-02-11,屏東縣,滿州鄉,2,1436,1.71
14549,2023-02-10,屏東縣,滿州鄉,5,1434,2.00
14923,2023-02-09,屏東縣,滿州鄉,1,1429,1.86
15301,2023-02-08,屏東縣,滿州鄉,1,1428,2.14
16063,2023-02-06,屏東縣,滿州鄉,2,1427,2.14
16434,2023-02-05,屏東縣,滿州鄉,1,1425,2.57
16812,2023-02-04,屏東縣,滿州鄉,4,1424,3.14
17193,2023-02-03,屏東縣,滿州鄉,4,1420,3.00
17577,2023-02-02,屏東縣,滿州鄉,3,1416,3.00
17959,2023-02-01,屏東縣,滿州鄉,1,1413,3.14
18727,2023-01-30,屏東縣,滿州鄉,5,1412,3.71
19110,2023-01-29,屏東縣,滿州鄉,5,1407,3.57
19489,2023-01-28,屏東縣,滿州鄉,3,1402,3.29
19864,2023-01-27,屏東縣,滿州鄉,4,1399,3.14
20241,2023-01-26,屏東縣,滿州鄉,4,1395,2.57
20613,2023-01-25,屏東縣,滿州鄉,1,1391,2.00
20981,2023-01-24,屏東縣,滿州鄉,4,1390,1.86
21351,2023-01-23,屏東縣,滿州鄉,4,1386,1.29
21717,2023-01-22,屏東縣,滿州鄉,3,1382,1.00
22088,2023-01-21,屏東縣,滿州鄉,2,1379,0.71
23935,2023-01-16,屏東縣,滿州鄉,2,1377,0.71
24308,2023-01-15,屏東縣,滿州鄉,1,1375,0.43
25039,2023-01-13,屏東縣,滿州鄉,1,1374,0.43
26162,2023-01-10,屏東縣,滿州鄉,1,1373,0.57
26906,2023-01-08,屏東縣,滿州鄉,1,1372,0.71
28403,2023-01-04,屏東縣,滿州鄉,2,1371,0.71
29160,2023-01-02,屏東縣,滿州鄉,2,1369,1.14
30260,2022-12-30,屏東縣,滿州鄉,1,1367,1.14
31004,2022-12-28,屏東縣,滿州鄉,4,1366,1.14
31379,2022-12-27,屏東縣,滿州鄉,1,1362,0.86
31752,2022-12-26,屏東縣,滿州鄉,2,1361,1.14
33197,2022-12-22,屏東縣,滿州鄉,1,1359,1.43
33568,2022-12-21,屏東縣,滿州鄉,2,1358,1.29
33932,2022-12-20,屏東縣,滿州鄉,3,1356,1.00
34300,2022-12-19,屏東縣,滿州鄉,2,1353,0.86
35014,2022-12-17,屏東縣,滿州鄉,1,1351,1.00
35378,2022-12-16,屏東縣,滿州鄉,1,1350,1.57
36476,2022-12-13,屏東縣,滿州鄉,2,1349,4.00
36852,2022-12-12,屏東縣,滿州鄉,1,1347,5.00
37204,2022-12-11,屏東縣,滿州鄉,2,1346,6.14
37571,2022-12-10,屏東縣,滿州鄉,5,1344,6.71
37936,2022-12-09,屏東縣,滿州鄉,4,1339,6.71
38307,2022-12-08,屏東縣,滿州鄉,6,1335,7.00
38682,2022-12-07,屏東縣,滿州鄉,8,1329,6.57
39048,2022-12-06,屏東縣,滿州鄉,9,1321,7.14
39426,2022-12-05,屏東縣,滿州鄉,9,1312,6.29
39796,2022-12-04,屏東縣,滿州鄉,6,1303,5.00
40165,2022-12-03,屏東縣,滿州鄉,5,1297,4.14
40534,2022-12-02,屏東縣,滿州鄉,6,1292,3.57
40901,2022-12-01,屏東縣,滿州鄉,3,1286,2.71
41275,2022-11-30,屏東縣,滿州鄉,12,1283,2.29
41651,2022-11-29,屏東縣,滿州鄉,3,1271,0.71
42749,2022-11-26,屏東縣,滿州鄉,1,1268,0.86
43859,2022-11-23,屏東縣,滿州鄉,1,1267,1.57
44612,2022-11-21,屏東縣,滿州鄉,1,1266,2.00
44983,2022-11-20,屏東縣,滿州鄉,3,1265,2.00
45353,2022-11-19,屏東縣,滿州鄉,1,1262,1.71
45723,2022-11-18,屏東縣,滿州鄉,3,1261,1.86
46095,2022-11-17,屏東縣,滿州鄉,2,1258,1.71
46475,2022-11-16,屏東縣,滿州鄉,1,1256,1.57
46856,2022-11-15,屏東縣,滿州鄉,3,1255,2.00
47235,2022-11-14,屏東縣,滿州鄉,1,1252,2.14
47610,2022-11-13,屏東縣,滿州鄉,1,1251,3.00
47983,2022-11-12,屏東縣,滿州鄉,2,1250,3.29
48364,2022-11-11,屏東縣,滿州鄉,2,1248,3.00
48744,2022-11-10,屏東縣,滿州鄉,1,1246,3.57
49128,2022-11-09,屏東縣,滿州鄉,4,1245,3.86
49514,2022-11-08,屏東縣,滿州鄉,4,1241,3.86
49898,2022-11-07,屏東縣,滿州鄉,7,1237,3.71
50269,2022-11-06,屏東縣,滿州鄉,3,1230,3.57
51027,2022-11-04,屏東縣,滿州鄉,6,1227,4.29
51411,2022-11-03,屏東縣,滿州鄉,3,1221,5.14
51793,2022-11-02,屏東縣,滿州鄉,4,1218,5.71
52181,2022-11-01,屏東縣,滿州鄉,3,1214,6.14
52562,2022-10-31,屏東縣,滿州鄉,6,1211,6.71
52943,2022-10-30,屏東縣,滿州鄉,3,1205,7.29
53323,2022-10-29,屏東縣,滿州鄉,5,1202,7.29
53707,2022-10-28,屏東縣,滿州鄉,12,1197,7.57
54093,2022-10-27,屏東縣,滿州鄉,7,1185,6.43
54477,2022-10-26,屏東縣,滿州鄉,7,1178,6.14
54865,2022-10-25,屏東縣,滿州鄉,7,1171,5.57
55255,2022-10-24,屏東縣,滿州鄉,10,1164,5.57
55637,2022-10-23,屏東縣,滿州鄉,3,1154,5.14
56020,2022-10-22,屏東縣,滿州鄉,7,1151,5.43
56408,2022-10-21,屏東縣,滿州鄉,4,1144,5.57
56794,2022-10-20,屏東縣,滿州鄉,5,1140,6.00
57181,2022-10-19,屏東縣,滿州鄉,3,1135,6.43
57569,2022-10-18,屏東縣,滿州鄉,7,1132,7.29
57959,2022-10-17,屏東縣,滿州鄉,7,1125,7.71
58346,2022-10-16,屏東縣,滿州鄉,5,1118,7.00
58733,2022-10-15,屏東縣,滿州鄉,8,1113,7.14
59119,2022-10-14,屏東縣,滿州鄉,7,1105,6.57
59508,2022-10-13,屏東縣,滿州鄉,8,1098,6.29
59899,2022-10-12,屏東縣,滿州鄉,9,1090,6.00
60289,2022-10-11,屏東縣,滿州鄉,10,1081,5.86
60679,2022-10-10,屏東縣,滿州鄉,2,1071,5.71
61060,2022-10-09,屏東縣,滿州鄉,6,1069,6.86
61450,2022-10-08,屏東縣,滿州鄉,4,1063,6.57
61840,2022-10-07,屏東縣,滿州鄉,5,1059,6.29
62227,2022-10-06,屏東縣,滿州鄉,6,1054,5.86
62617,2022-10-05,屏東縣,滿州鄉,8,1048,5.43
63004,2022-10-04,屏東縣,滿州鄉,9,1040,4.71
63393,2022-10-03,屏東縣,滿州鄉,10,1031,3.71
63781,2022-10-02,屏東縣,滿州鄉,4,1021,4.29
64165,2022-10-01,屏東縣,滿州鄉,2,1017,4.43
64550,2022-09-30,屏東縣,滿州鄉,2,1015,5.00
64936,2022-09-29,屏東縣,滿州鄉,3,1013,5.71
65324,2022-09-28,屏東縣,滿州鄉,3,1010,5.86
65712,2022-09-27,屏東縣,滿州鄉,2,1007,7.43
66098,2022-09-26,屏東縣,滿州鄉,14,1005,8.00
66484,2022-09-25,屏東縣,滿州鄉,5,991,7.14
66868,2022-09-24,屏東縣,滿州鄉,6,986,6.71
67255,2022-09-23,屏東縣,滿州鄉,7,980,6.14
67642,2022-09-22,屏東縣,滿州鄉,4,973,5.86
68031,2022-09-21,屏東縣,滿州鄉,14,969,6.29
68419,2022-09-20,屏東縣,滿州鄉,6,955,4.71
68810,2022-09-19,屏東縣,滿州鄉,8,949,4.29
69196,2022-09-18,屏東縣,滿州鄉,2,941,4.43
69581,2022-09-17,屏東縣,滿州鄉,2,939,4.14
69969,2022-09-16,屏東縣,滿州鄉,5,937,4.14
70354,2022-09-15,屏東縣,滿州鄉,7,932,3.71
70739,2022-09-14,屏東縣,滿州鄉,3,925,3.14
71127,2022-09-13,屏東縣,滿州鄉,3,922,3.43
71517,2022-09-12,屏東縣,滿州鄉,9,919,3.29
72285,2022-09-10,屏東縣,滿州鄉,2,910,2.71
72666,2022-09-09,屏東縣,滿州鄉,2,908,2.57
73051,2022-09-08,屏東縣,滿州鄉,3,906,3.00
73437,2022-09-07,屏東縣,滿州鄉,5,903,3.29
73821,2022-09-06,屏東縣,滿州鄉,2,898,2.86
74208,2022-09-05,屏東縣,滿州鄉,5,896,3.57
74977,2022-09-03,屏東縣,滿州鄉,1,891,3.29
75363,2022-09-02,屏東縣,滿州鄉,5,890,3.29
75751,2022-09-01,屏東縣,滿州鄉,5,885,2.71
76138,2022-08-31,屏東縣,滿州鄉,2,880,2.29
76527,2022-08-30,屏東縣,滿州鄉,7,878,2.29
76915,2022-08-29,屏東縣,滿州鄉,3,871,1.71
77686,2022-08-27,屏東縣,滿州鄉,1,868,1.57
78071,2022-08-26,屏東縣,滿州鄉,1,867,1.71
78457,2022-08-25,屏東縣,滿州鄉,2,866,2.00
