UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
1520,2023-06-14,屏東縣,潮州鎮,45-49,1536
1521,2023-06-14,屏東縣,潮州鎮,65-69,920
1522,2023-06-14,屏東縣,潮州鎮,1,217
1523,2023-03-22,屏東縣,潮州鎮,40-44,1730
1524,2023-03-21,屏東縣,潮州鎮,50-54,1399
1525,2023-03-20,屏東縣,潮州鎮,70+,1658
1526,2023-03-19,屏東縣,潮州鎮,15-19,1262
1527,2023-03-19,屏東縣,潮州鎮,55-59,1182
1528,2023-03-19,屏東縣,潮州鎮,20-24,1584
1529,2023-03-19,屏東縣,潮州鎮,25-29,1631
1530,2023-03-18,屏東縣,潮州鎮,0,121
1531,2023-03-18,屏東縣,潮州鎮,5-9,1180
1532,2023-03-18,屏東縣,潮州鎮,35-39,1558
1533,2023-03-18,屏東縣,潮州鎮,30-34,1540
1534,2023-03-18,屏東縣,潮州鎮,60-64,1118
1535,2023-03-17,屏東縣,潮州鎮,10-14,1210
1536,2023-03-17,屏東縣,潮州鎮,2,203
1537,2023-03-13,屏東縣,潮州鎮,4,214
1538,2023-03-06,屏東縣,潮州鎮,3,218
