UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
2573,2023-03-15,屏東縣,獅子鄉,6,1655,1.57
2927,2023-03-14,屏東縣,獅子鄉,1,1649,0.71
3286,2023-03-13,屏東縣,獅子鄉,1,1648,0.57
3634,2023-03-12,屏東縣,獅子鄉,3,1647,0.71
5775,2023-03-06,屏東縣,獅子鄉,2,1644,0.86
6119,2023-03-05,屏東縣,獅子鄉,1,1642,0.71
7557,2023-03-01,屏東縣,獅子鄉,2,1641,2.00
7924,2023-02-28,屏東縣,獅子鄉,1,1639,1.71
8283,2023-02-27,屏東縣,獅子鄉,1,1638,1.71
8631,2023-02-26,屏東縣,獅子鄉,4,1637,1.86
8998,2023-02-25,屏東縣,獅子鄉,3,1633,1.43
9360,2023-02-24,屏東縣,獅子鄉,3,1630,1.14
10474,2023-02-21,屏東縣,獅子鄉,1,1627,1.14
10847,2023-02-20,屏東縣,獅子鄉,2,1626,1.00
11208,2023-02-19,屏東縣,獅子鄉,1,1624,0.86
11577,2023-02-18,屏東縣,獅子鄉,1,1623,1.14
12323,2023-02-16,屏東縣,獅子鄉,1,1622,1.14
12695,2023-02-15,屏東縣,獅子鄉,2,1621,1.00
13445,2023-02-13,屏東縣,獅子鄉,1,1619,1.00
13809,2023-02-12,屏東縣,獅子鄉,3,1618,1.00
14548,2023-02-10,屏東縣,獅子鄉,1,1615,1.00
15683,2023-02-07,屏東縣,獅子鄉,2,1614,1.14
16062,2023-02-06,屏東縣,獅子鄉,1,1612,0.86
16433,2023-02-05,屏東縣,獅子鄉,2,1611,1.14
16811,2023-02-04,屏東縣,獅子鄉,1,1609,0.86
17192,2023-02-03,屏東縣,獅子鄉,1,1608,1.14
17958,2023-02-01,屏東縣,獅子鄉,1,1607,1.43
18726,2023-01-30,屏東縣,獅子鄉,3,1606,1.29
19488,2023-01-28,屏東縣,獅子鄉,3,1603,1.57
20240,2023-01-26,屏東縣,獅子鄉,3,1600,1.57
21350,2023-01-23,屏東縣,獅子鄉,1,1597,1.86
21716,2023-01-22,屏東縣,獅子鄉,4,1596,1.71
22087,2023-01-21,屏東縣,獅子鄉,1,1592,1.43
22455,2023-01-20,屏東縣,獅子鄉,2,1591,1.29
23196,2023-01-18,屏東縣,獅子鄉,2,1589,1.14
23561,2023-01-17,屏東縣,獅子鄉,3,1587,1.00
24307,2023-01-15,屏東縣,獅子鄉,2,1584,0.86
25415,2023-01-12,屏東縣,獅子鄉,1,1582,2.14
25787,2023-01-11,屏東縣,獅子鄉,1,1581,2.00
26161,2023-01-10,屏東縣,獅子鄉,1,1580,2.00
26539,2023-01-09,屏東縣,獅子鄉,1,1579,2.00
26905,2023-01-08,屏東縣,獅子鄉,4,1578,2.29
27270,2023-01-07,屏東縣,獅子鄉,3,1574,1.71
27642,2023-01-06,屏東縣,獅子鄉,4,1571,1.57
28402,2023-01-04,屏東縣,獅子鄉,1,1567,1.57
28784,2023-01-03,屏東縣,獅子鄉,1,1566,1.57
29159,2023-01-02,屏東縣,獅子鄉,3,1565,1.71
29891,2022-12-31,屏東縣,獅子鄉,2,1562,1.29
30259,2022-12-30,屏東縣,獅子鄉,3,1560,1.14
30631,2022-12-29,屏東縣,獅子鄉,1,1557,1.00
31003,2022-12-28,屏東縣,獅子鄉,1,1556,1.00
31378,2022-12-27,屏東縣,獅子鄉,2,1555,1.00
32469,2022-12-24,屏東縣,獅子鄉,1,1553,0.86
32830,2022-12-23,屏東縣,獅子鄉,2,1552,0.71
33196,2022-12-22,屏東縣,獅子鄉,1,1550,0.43
33567,2022-12-21,屏東縣,獅子鄉,1,1549,0.29
33931,2022-12-20,屏東縣,獅子鄉,1,1548,0.29
36104,2022-12-14,屏東縣,獅子鄉,1,1547,1.00
36475,2022-12-13,屏東縣,獅子鄉,1,1546,1.00
36851,2022-12-12,屏東縣,獅子鄉,1,1545,1.29
37935,2022-12-09,屏東縣,獅子鄉,4,1544,2.57
38681,2022-12-07,屏東縣,獅子鄉,1,1540,2.43
39047,2022-12-06,屏東縣,獅子鄉,3,1539,2.57
