UID,發佈統計日期,縣市,年齡層,第1劑接種率,第2劑接種率,基礎加強劑接種率,第1次追加劑接種率,第2次追加劑接種率,第3次追加劑接種率,第4次追加劑接種率,第5次追加劑接種率
82,2023-09-17,屏東縣,全區,90.20,85.60,0.90,74.30,27.80,0.00,0.00,0.00
83,2023-09-17,屏東縣,6個月-4歲,43.20,26.70,3.60,0.60,0.00,0.00,0.00,0.00
84,2023-09-17,屏東縣,5-11歲,86.70,71.20,0.40,34.50,7.60,0.00,0.00,0.00
85,2023-09-17,屏東縣,12-17歲,95.50,89.60,0.40,72.30,30.60,0.00,0.00,0.00
86,2023-09-17,屏東縣,18-29歲,96.30,92.50,0.60,79.80,15.20,0.00,0.00,0.00
87,2023-09-17,屏東縣,30-49歲,93.40,89.50,0.80,79.60,20.60,0.00,0.00,0.00
88,2023-09-17,屏東縣,50-64歲,90.10,87.00,0.90,79.00,31.80,0.00,0.00,0.00
89,2023-09-17,屏東縣,65-74歲,90.70,88.20,1.10,82.20,53.20,15.30,0.00,0.00
90,2023-09-17,屏東縣,75歲以上,83.00,78.90,1.00,71.50,49.00,15.60,0.00,0.00
337,2023-09-10,屏東縣,全區,90.20,85.60,0.90,74.30,27.80,0.00,0.00,0.00
338,2023-09-10,屏東縣,6個月-4歲,43.50,26.80,3.60,0.60,0.00,0.00,0.00,0.00
339,2023-09-10,屏東縣,5-11歲,86.70,71.30,0.40,34.60,7.60,0.00,0.00,0.00
340,2023-09-10,屏東縣,12-17歲,95.70,89.80,0.40,72.50,30.70,0.00,0.00,0.00
341,2023-09-10,屏東縣,18-29歲,96.40,92.50,0.60,79.90,15.20,0.00,0.00,0.00
342,2023-09-10,屏東縣,30-49歲,93.50,89.60,0.80,79.60,20.70,0.00,0.00,0.00
343,2023-09-10,屏東縣,50-64歲,90.10,87.00,0.90,79.00,31.80,0.00,0.00,0.00
344,2023-09-10,屏東縣,65-74歲,90.70,88.10,1.10,82.10,53.20,15.30,0.00,0.00
345,2023-09-10,屏東縣,75歲以上,82.90,78.80,1.00,71.40,48.90,15.60,0.00,0.00
592,2023-09-03,屏東縣,全區,90.20,85.70,0.90,74.30,27.80,0.00,0.00,0.00
593,2023-09-03,屏東縣,6個月-4歲,43.70,27.00,3.60,0.60,0.00,0.00,0.00,0.00
594,2023-09-03,屏東縣,5-11歲,86.90,71.50,0.40,34.70,7.60,0.00,0.00,0.00
595,2023-09-03,屏東縣,12-17歲,95.70,89.80,0.40,72.60,30.80,0.00,0.00,0.00
