UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
698,2023-03-20,屏東縣,竹田鄉,5,6783,7.43
989,2023-03-19,屏東縣,竹田鄉,1,6778,8.14
1318,2023-03-18,屏東縣,竹田鄉,5,6777,8.29
1657,2023-03-17,屏東縣,竹田鄉,5,6772,8.14
2010,2023-03-16,屏東縣,竹田鄉,15,6767,8.14
2362,2023-03-15,屏東縣,竹田鄉,12,6752,6.71
2713,2023-03-14,屏東縣,竹田鄉,9,6740,6.43
3071,2023-03-13,屏東縣,竹田鄉,10,6731,7.00
3429,2023-03-12,屏東縣,竹田鄉,2,6721,7.57
3775,2023-03-11,屏東縣,竹田鄉,4,6719,8.43
4127,2023-03-10,屏東縣,竹田鄉,5,6715,8.57
4483,2023-03-09,屏東縣,竹田鄉,5,6710,8.86
4842,2023-03-08,屏東縣,竹田鄉,10,6705,9.86
5195,2023-03-07,屏東縣,竹田鄉,13,6695,10.86
5555,2023-03-06,屏東縣,竹田鄉,14,6682,10.43
5919,2023-03-05,屏東縣,竹田鄉,8,6668,9.29
6258,2023-03-04,屏東縣,竹田鄉,5,6660,9.43
6611,2023-03-03,屏東縣,竹田鄉,7,6655,9.86
6970,2023-03-02,屏東縣,竹田鄉,12,6648,10.86
7334,2023-03-01,屏東縣,竹田鄉,17,6636,11.14
7705,2023-02-28,屏東縣,竹田鄉,10,6619,10.14
8068,2023-02-27,屏東縣,竹田鄉,6,6609,12.86
8427,2023-02-26,屏東縣,竹田鄉,9,6603,17.57
8771,2023-02-25,屏東縣,竹田鄉,8,6594,17.00
9141,2023-02-24,屏東縣,竹田鄉,14,6586,17.43
9502,2023-02-23,屏東縣,竹田鄉,14,6572,17.57
9873,2023-02-22,屏東縣,竹田鄉,10,6558,17.57
10247,2023-02-21,屏東縣,竹田鄉,29,6548,18.43
10617,2023-02-20,屏東縣,竹田鄉,39,6519,16.57
10996,2023-02-19,屏東縣,竹田鄉,5,6480,15.00
11355,2023-02-18,屏東縣,竹田鄉,11,6475,16.71
11721,2023-02-17,屏東縣,竹田鄉,15,6464,18.00
12094,2023-02-16,屏東縣,竹田鄉,14,6449,19.43
12469,2023-02-15,屏東縣,竹田鄉,16,6435,20.57
12842,2023-02-14,屏東縣,竹田鄉,16,6419,19.57
13214,2023-02-13,屏東縣,竹田鄉,28,6403,18.86
13592,2023-02-12,屏東縣,竹田鄉,17,6375,16.43
13950,2023-02-11,屏東縣,竹田鄉,20,6358,15.00
14322,2023-02-10,屏東縣,竹田鄉,25,6338,13.57
14695,2023-02-09,屏東縣,竹田鄉,22,6313,11.29
15072,2023-02-08,屏東縣,竹田鄉,9,6291,10.43
15451,2023-02-07,屏東縣,竹田鄉,11,6282,12.14
15830,2023-02-06,屏東縣,竹田鄉,11,6271,12.86
16211,2023-02-05,屏東縣,竹田鄉,7,6260,13.57
16580,2023-02-04,屏東縣,竹田鄉,10,6253,13.00
16959,2023-02-03,屏東縣,竹田鄉,9,6243,13.86
17345,2023-02-02,屏東縣,竹田鄉,16,6234,13.57
17728,2023-02-01,屏東縣,竹田鄉,21,6218,13.57
18105,2023-01-31,屏東縣,竹田鄉,16,6197,11.29
18490,2023-01-30,屏東縣,竹田鄉,16,6181,10.43
18879,2023-01-29,屏東縣,竹田鄉,3,6165,8.57
19255,2023-01-28,屏東縣,竹田鄉,16,6162,8.71
19634,2023-01-27,屏東縣,竹田鄉,7,6146,7.57
20012,2023-01-26,屏東縣,竹田鄉,16,6139,8.00
20389,2023-01-25,屏東縣,竹田鄉,5,6123,7.57
20754,2023-01-24,屏東縣,竹田鄉,10,6118,8.14
21129,2023-01-23,屏東縣,竹田鄉,3,6108,8.29
21496,2023-01-22,屏東縣,竹田鄉,4,6105,9.29
21860,2023-01-21,屏東縣,竹田鄉,8,6101,9.29
22232,2023-01-20,屏東縣,竹田鄉,10,6093,9.29
22599,2023-01-19,屏東縣,竹田鄉,13,6083,10.00
22970,2023-01-18,屏東縣,竹田鄉,9,6070,9.43
23341,2023-01-17,屏東縣,竹田鄉,11,6061,10.43
23706,2023-01-16,屏東縣,竹田鄉,10,6050,11.14
24082,2023-01-15,屏東縣,竹田鄉,4,6040,12.29
24448,2023-01-14,屏東縣,竹田鄉,8,6036,12.29
24817,2023-01-13,屏東縣,竹田鄉,15,6028,12.43
25185,2023-01-12,屏東縣,竹田鄉,9,6013,11.57
25560,2023-01-11,屏東縣,竹田鄉,16,6004,11.86
25936,2023-01-10,屏東縣,竹田鄉,16,5988,11.00
26308,2023-01-09,屏東縣,竹田鄉,18,5972,11.14
26686,2023-01-08,屏東縣,竹田鄉,4,5954,10.86
27043,2023-01-07,屏東縣,竹田鄉,9,5950,10.86
27415,2023-01-06,屏東縣,竹田鄉,9,5941,11.43
27791,2023-01-05,屏東縣,竹田鄉,11,5932,11.57
28171,2023-01-04,屏東縣,竹田鄉,10,5921,12.29
28552,2023-01-03,屏東縣,竹田鄉,17,5911,12.29
28933,2023-01-02,屏東縣,竹田鄉,16,5894,11.71
29305,2023-01-01,屏東縣,竹田鄉,4,5878,11.71
29667,2022-12-31,屏東縣,竹田鄉,13,5874,11.71
30033,2022-12-30,屏東縣,竹田鄉,10,5861,11.43
30405,2022-12-29,屏東縣,竹田鄉,16,5851,12.43
30777,2022-12-28,屏東縣,竹田鄉,10,5835,10.43
31148,2022-12-27,屏東縣,竹田鄉,13,5825,9.57
31525,2022-12-26,屏東縣,竹田鄉,16,5812,9.00
31897,2022-12-25,屏東縣,竹田鄉,4,5796,8.43
32251,2022-12-24,屏東縣,竹田鄉,11,5792,8.14
32611,2022-12-23,屏東縣,竹田鄉,17,5781,7.71
32975,2022-12-22,屏東縣,竹田鄉,2,5764,6.71
33342,2022-12-21,屏東縣,竹田鄉,4,5762,7.86
33712,2022-12-20,屏東縣,竹田鄉,9,5758,8.00
34075,2022-12-19,屏東縣,竹田鄉,12,5749,8.57
34446,2022-12-18,屏東縣,竹田鄉,2,5737,7.71
34794,2022-12-17,屏東縣,竹田鄉,8,5735,7.57
35154,2022-12-16,屏東縣,竹田鄉,10,5727,7.57
35519,2022-12-15,屏東縣,竹田鄉,10,5717,6.86
35890,2022-12-14,屏東縣,竹田鄉,5,5707,6.29
36249,2022-12-13,屏東縣,竹田鄉,13,5702,6.86
36623,2022-12-12,屏東縣,竹田鄉,6,5689,7.00
36994,2022-12-11,屏東縣,竹田鄉,1,5683,7.14
37346,2022-12-10,屏東縣,竹田鄉,8,5682,7.57
37715,2022-12-09,屏東縣,竹田鄉,5,5674,7.57
38080,2022-12-08,屏東縣,竹田鄉,6,5669,7.86
38453,2022-12-07,屏東縣,竹田鄉,9,5663,8.43
38824,2022-12-06,屏東縣,竹田鄉,14,5654,8.57
39196,2022-12-05,屏東縣,竹田鄉,7,5640,8.86
39574,2022-12-04,屏東縣,竹田鄉,4,5633,10.14
39939,2022-12-03,屏東縣,竹田鄉,8,5629,10.29
40309,2022-12-02,屏東縣,竹田鄉,7,5621,10.57
40678,2022-12-01,屏東縣,竹田鄉,10,5614,10.71
41048,2022-11-30,屏東縣,竹田鄉,10,5604,10.14
41419,2022-11-29,屏東縣,竹田鄉,16,5594,10.00
41799,2022-11-28,屏東縣,竹田鄉,16,5578,9.86
42176,2022-11-27,屏東縣,竹田鄉,5,5562,11.57
42537,2022-11-26,屏東縣,竹田鄉,10,5557,12.14
42893,2022-11-25,屏東縣,竹田鄉,8,5547,12.29
43265,2022-11-24,屏東縣,竹田鄉,6,5539,11.71
43635,2022-11-23,屏東縣,竹田鄉,9,5533,12.57
44006,2022-11-22,屏東縣,竹田鄉,15,5524,13.00
44380,2022-11-21,屏東縣,竹田鄉,28,5509,12.57
44762,2022-11-20,屏東縣,竹田鄉,9,5481,11.14
45126,2022-11-19,屏東縣,竹田鄉,11,5472,11.00
45500,2022-11-18,屏東縣,竹田鄉,4,5461,10.29
45872,2022-11-17,屏東縣,竹田鄉,12,5457,12.43
46245,2022-11-16,屏東縣,竹田鄉,12,5445,12.43
46625,2022-11-15,屏東縣,竹田鄉,12,5433,12.86
47006,2022-11-14,屏東縣,竹田鄉,18,5421,13.86
47387,2022-11-13,屏東縣,竹田鄉,8,5403,13.71
47757,2022-11-12,屏東縣,竹田鄉,6,5395,13.14
48133,2022-11-11,屏東縣,竹田鄉,19,5389,14.00
48513,2022-11-10,屏東縣,竹田鄉,12,5370,13.14
48895,2022-11-09,屏東縣,竹田鄉,15,5358,14.29
49279,2022-11-08,屏東縣,竹田鄉,19,5343,15.71
49664,2022-11-07,屏東縣,竹田鄉,17,5324,15.86
50049,2022-11-06,屏東縣,竹田鄉,4,5307,17.29
50418,2022-11-05,屏東縣,竹田鄉,12,5303,18.29
50793,2022-11-04,屏東縣,竹田鄉,13,5291,21.00
51179,2022-11-03,屏東縣,竹田鄉,20,5278,22.43
51559,2022-11-02,屏東縣,竹田鄉,25,5258,22.86
51945,2022-11-01,屏東縣,竹田鄉,20,5233,22.00
52330,2022-10-31,屏東縣,竹田鄉,27,5213,22.29
