UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
229,2023-06-14,屏東縣,車城鄉,1,2224,0.14
816,2023-03-20,屏東縣,車城鄉,2,2223,1.57
1123,2023-03-19,屏東縣,車城鄉,1,2221,1.29
1457,2023-03-18,屏東縣,車城鄉,3,2220,1.14
2154,2023-03-16,屏東縣,車城鄉,2,2217,0.86
2510,2023-03-15,屏東縣,車城鄉,2,2215,0.86
2860,2023-03-14,屏東縣,車城鄉,1,2213,0.71
4272,2023-03-10,屏東縣,車城鄉,1,2212,1.00
4629,2023-03-09,屏東縣,車城鄉,2,2211,1.14
4984,2023-03-08,屏東縣,車城鄉,1,2209,1.14
5340,2023-03-07,屏東縣,車城鄉,1,2208,1.29
6402,2023-03-04,屏東縣,車城鄉,2,2207,1.57
6755,2023-03-03,屏東縣,車城鄉,2,2205,1.29
7118,2023-03-02,屏東縣,車城鄉,2,2203,1.14
7482,2023-03-01,屏東縣,車城鄉,2,2201,1.29
7854,2023-02-28,屏東縣,車城鄉,3,2199,1.43
9289,2023-02-24,屏東縣,車城鄉,1,2196,2.00
9654,2023-02-23,屏東縣,車城鄉,3,2195,2.14
10025,2023-02-22,屏東縣,車城鄉,3,2192,2.00
10770,2023-02-20,屏東縣,車城鄉,3,2189,2.00
11140,2023-02-19,屏東縣,車城鄉,2,2186,1.86
11504,2023-02-18,屏東縣,車城鄉,2,2184,2.00
11871,2023-02-17,屏東縣,車城鄉,2,2182,1.71
12246,2023-02-16,屏東縣,車城鄉,2,2180,1.57
12620,2023-02-15,屏東縣,車城鄉,2,2178,2.00
12996,2023-02-14,屏東縣,車城鄉,1,2176,2.43
13366,2023-02-13,屏東縣,車城鄉,2,2175,2.57
13740,2023-02-12,屏東縣,車城鄉,3,2173,3.14
14473,2023-02-10,屏東縣,車城鄉,1,2170,3.43
14845,2023-02-09,屏東縣,車城鄉,5,2169,4.00
15227,2023-02-08,屏東縣,車城鄉,5,2164,3.86
15605,2023-02-07,屏東縣,車城鄉,2,2159,4.29
15984,2023-02-06,屏東縣,車城鄉,6,2157,4.57
16360,2023-02-05,屏東縣,車城鄉,2,2151,5.29
16735,2023-02-04,屏東縣,車城鄉,3,2149,6.29
17113,2023-02-03,屏東縣,車城鄉,5,2146,6.86
17499,2023-02-02,屏東縣,車城鄉,4,2141,6.29
17880,2023-02-01,屏東縣,車城鄉,8,2137,5.71
18261,2023-01-31,屏東縣,車城鄉,4,2129,4.86
18646,2023-01-30,屏東縣,車城鄉,11,2125,4.43
19032,2023-01-29,屏東縣,車城鄉,9,2114,2.86
19409,2023-01-28,屏東縣,車城鄉,7,2105,1.71
19786,2023-01-27,屏東縣,車城鄉,1,2098,1.00
