UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
228,2023-06-14,屏東縣,里港鄉,2,7797,0.29
572,2023-03-21,屏東縣,里港鄉,1,7795,2.71
815,2023-03-20,屏東縣,里港鄉,4,7794,3.86
1122,2023-03-19,屏東縣,里港鄉,1,7790,4.57
1456,2023-03-18,屏東縣,里港鄉,3,7789,5.00
1805,2023-03-17,屏東縣,里港鄉,3,7786,5.86
2153,2023-03-16,屏東縣,里港鄉,4,7783,6.29
2509,2023-03-15,屏東縣,里港鄉,3,7779,6.57
2859,2023-03-14,屏東縣,里港鄉,9,7776,7.00
3215,2023-03-13,屏東縣,里港鄉,9,7767,6.29
3570,2023-03-12,屏東縣,里港鄉,4,7758,7.00
3921,2023-03-11,屏東縣,里港鄉,9,7754,6.43
4271,2023-03-10,屏東縣,里港鄉,6,7745,6.14
4628,2023-03-09,屏東縣,里港鄉,6,7739,6.00
4983,2023-03-08,屏東縣,里港鄉,6,7733,6.14
5339,2023-03-07,屏東縣,里港鄉,4,7727,6.57
5705,2023-03-06,屏東縣,里港鄉,14,7723,7.86
6401,2023-03-04,屏東縣,里港鄉,7,7709,8.14
6754,2023-03-03,屏東縣,里港鄉,5,7702,9.29
7117,2023-03-02,屏東縣,里港鄉,7,7697,10.71
7481,2023-03-01,屏東縣,里港鄉,9,7690,11.29
7853,2023-02-28,屏東縣,里港鄉,13,7681,11.57
8217,2023-02-27,屏東縣,里港鄉,13,7668,11.57
8565,2023-02-26,屏東縣,里港鄉,3,7655,12.57
8921,2023-02-25,屏東縣,里港鄉,15,7652,12.86
9288,2023-02-24,屏東縣,里港鄉,15,7637,13.14
9653,2023-02-23,屏東縣,里港鄉,11,7622,13.00
10024,2023-02-22,屏東縣,里港鄉,11,7611,14.00
10397,2023-02-21,屏東縣,里港鄉,13,7600,14.14
10769,2023-02-20,屏東縣,里港鄉,20,7587,14.86
11139,2023-02-19,屏東縣,里港鄉,5,7567,13.71
11503,2023-02-18,屏東縣,里港鄉,17,7562,14.71
11870,2023-02-17,屏東縣,里港鄉,14,7545,14.71
12245,2023-02-16,屏東縣,里港鄉,18,7531,14.14
12619,2023-02-15,屏東縣,里港鄉,12,7513,14.29
12995,2023-02-14,屏東縣,里港鄉,18,7501,14.71
13365,2023-02-13,屏東縣,里港鄉,12,7483,14.43
13739,2023-02-12,屏東縣,里港鄉,12,7471,16.00
14103,2023-02-11,屏東縣,里港鄉,17,7459,15.43
14472,2023-02-10,屏東縣,里港鄉,10,7442,15.43
14844,2023-02-09,屏東縣,里港鄉,19,7432,17.14
15226,2023-02-08,屏東縣,里港鄉,15,7413,16.86
15604,2023-02-07,屏東縣,里港鄉,16,7398,17.86
15983,2023-02-06,屏東縣,里港鄉,23,7382,19.00
16359,2023-02-05,屏東縣,里港鄉,8,7359,20.14
16734,2023-02-04,屏東縣,里港鄉,17,7351,20.86
17112,2023-02-03,屏東縣,里港鄉,22,7334,19.86
17498,2023-02-02,屏東縣,里港鄉,17,7312,20.14
17879,2023-02-01,屏東縣,里港鄉,22,7295,20.14
18260,2023-01-31,屏東縣,里港鄉,24,7273,19.86
18645,2023-01-30,屏東縣,里港鄉,31,7249,17.57
19031,2023-01-29,屏東縣,里港鄉,13,7218,14.43
19408,2023-01-28,屏東縣,里港鄉,10,7205,13.71
19785,2023-01-27,屏東縣,里港鄉,24,7195,13.43
20165,2023-01-26,屏東縣,里港鄉,17,7171,12.43
20535,2023-01-25,屏東縣,里港鄉,20,7154,11.86
20904,2023-01-24,屏東縣,里港鄉,8,7134,10.71
