UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
380,2023-03-23,屏東縣,高樹鄉,1,22,0.14
894,2023-03-10,屏東縣,高樹鄉,1,21,0.14
1528,2023-02-26,屏東縣,高樹鄉,1,20,0.29
1875,2023-02-20,屏東縣,高樹鄉,1,19,0.29
2167,2023-02-15,屏東縣,高樹鄉,1,18,0.14
3401,2023-01-26,屏東縣,高樹鄉,1,17,0.14
6686,2022-11-13,屏東縣,高樹鄉,1,16,0.14
7102,2022-11-06,屏東縣,高樹鄉,1,15,0.14
9249,2022-10-05,屏東縣,高樹鄉,1,14,0.29
9401,2022-10-03,屏東縣,高樹鄉,1,13,0.29
9712,2022-09-28,屏東縣,高樹鄉,1,12,0.14
11929,2022-08-10,屏東縣,高樹鄉,1,11,0.29
12175,2022-08-04,屏東縣,高樹鄉,1,10,0.29
12271,2022-08-02,屏東縣,高樹鄉,1,9,0.14
12874,2022-07-22,屏東縣,高樹鄉,1,8,0.14
13528,2022-07-12,屏東縣,高樹鄉,1,7,0.14
14141,2022-07-04,屏東縣,高樹鄉,1,6,0.14
14998,2022-06-25,屏東縣,高樹鄉,1,5,0.14
16023,2022-06-16,屏東縣,高樹鄉,1,4,0.43
16405,2022-06-13,屏東縣,高樹鄉,1,3,0.29
16527,2022-06-12,屏東縣,高樹鄉,1,2,0.14
19290,2022-05-17,屏東縣,高樹鄉,1,1,0.14
