UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
425,2023-03-21,彰化縣,二林鎮,1,73,0.14
1026,2023-03-07,彰化縣,二林鎮,1,72,0.14
1500,2023-02-26,彰化縣,二林鎮,1,71,0.29
1615,2023-02-24,彰化縣,二林鎮,1,70,0.14
2142,2023-02-15,彰化縣,二林鎮,1,69,0.29
2462,2023-02-10,彰化縣,二林鎮,1,68,0.14
3049,2023-02-01,彰化縣,二林鎮,1,67,0.29
3114,2023-01-31,彰化縣,二林鎮,1,66,0.14
3786,2023-01-18,彰化縣,二林鎮,1,65,0.43
3992,2023-01-14,彰化縣,二林鎮,1,64,0.29
4050,2023-01-13,彰化縣,二林鎮,1,63,0.14
4434,2023-01-05,彰化縣,二林鎮,1,62,0.43
4590,2023-01-02,彰化縣,二林鎮,1,61,0.29
4754,2022-12-30,彰化縣,二林鎮,1,60,0.29
4919,2022-12-26,彰化縣,二林鎮,1,59,0.29
5134,2022-12-20,彰化縣,二林鎮,1,58,0.29
5248,2022-12-17,彰化縣,二林鎮,1,57,0.14
6084,2022-11-25,彰化縣,二林鎮,1,56,0.29
6173,2022-11-23,彰化縣,二林鎮,1,55,0.29
6423,2022-11-18,彰化縣,二林鎮,1,54,0.14
6911,2022-11-09,彰化縣,二林鎮,1,53,0.14
7375,2022-11-01,彰化縣,二林鎮,1,52,0.29
7634,2022-10-28,彰化縣,二林鎮,1,51,0.29
8060,2022-10-22,彰化縣,二林鎮,1,50,0.14
8698,2022-10-13,彰化縣,二林鎮,1,49,0.29
8768,2022-10-12,彰化縣,二林鎮,1,48,0.14
9304,2022-10-04,彰化縣,二林鎮,1,47,0.43
9448,2022-10-02,彰化縣,二林鎮,2,46,0.29
10303,2022-09-17,彰化縣,二林鎮,1,44,0.14
10869,2022-09-06,彰化縣,二林鎮,1,43,0.14
11163,2022-08-30,彰化縣,二林鎮,1,42,0.29
11208,2022-08-29,彰化縣,二林鎮,1,41,0.14
12159,2022-08-04,彰化縣,二林鎮,1,40,0.14
12621,2022-07-26,彰化縣,二林鎮,1,39,0.57
12964,2022-07-20,彰化縣,二林鎮,3,38,0.71
13022,2022-07-19,彰化縣,二林鎮,1,35,0.29
13359,2022-07-14,彰化縣,二林鎮,1,34,0.29
13573,2022-07-11,彰化縣,二林鎮,1,33,0.43
13845,2022-07-07,彰化縣,二林鎮,1,32,0.71
14016,2022-07-05,彰化縣,二林鎮,1,31,0.86
14102,2022-07-04,彰化縣,二林鎮,1,30,0.71
14285,2022-07-02,彰化縣,二林鎮,2,29,0.57
14468,2022-06-30,彰化縣,二林鎮,1,27,0.57
14572,2022-06-29,彰化縣,二林鎮,1,26,0.57
14970,2022-06-25,彰化縣,二林鎮,1,25,0.71
15059,2022-06-24,彰化縣,二林鎮,1,24,0.57
15149,2022-06-23,彰化縣,二林鎮,1,23,0.57
15273,2022-06-22,彰化縣,二林鎮,1,22,0.57
15494,2022-06-20,彰化縣,二林鎮,1,21,0.71
15842,2022-06-17,彰化縣,二林鎮,1,20,0.71
15979,2022-06-16,彰化縣,二林鎮,1,19,0.57
16095,2022-06-15,彰化縣,二林鎮,1,18,0.43
16231,2022-06-14,彰化縣,二林鎮,1,17,0.57
16481,2022-06-12,彰化縣,二林鎮,1,16,0.57
16964,2022-06-08,彰化縣,二林鎮,2,15,0.71
17223,2022-06-06,彰化縣,二林鎮,1,13,0.57
17349,2022-06-05,彰化縣,二林鎮,2,12,0.43
17947,2022-05-31,彰化縣,二林鎮,1,10,0.57
18307,2022-05-28,彰化縣,二林鎮,1,9,0.57
18411,2022-05-27,彰化縣,二林鎮,1,8,0.57
18505,2022-05-26,彰化縣,二林鎮,1,7,0.43
18789,2022-05-23,彰化縣,二林鎮,1,6,0.29
18970,2022-05-21,彰化縣,二林鎮,1,5,0.14
20159,2021-07-05,彰化縣,二林鎮,1,4,0.14
20250,2021-06-26,彰化縣,二林鎮,1,3,0.14
20433,2021-06-13,彰化縣,二林鎮,1,2,0.29
20469,2021-06-11,彰化縣,二林鎮,1,1,0.14
