UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
747,2023-03-20,彰化縣,二林鎮,2,16959,12.43
1046,2023-03-19,彰化縣,二林鎮,9,16957,13.57
1374,2023-03-18,彰化縣,二林鎮,15,16948,13.29
1715,2023-03-17,彰化縣,二林鎮,15,16933,12.71
2068,2023-03-16,彰化縣,二林鎮,20,16918,11.14
2422,2023-03-15,彰化縣,二林鎮,16,16898,9.71
2771,2023-03-14,彰化縣,二林鎮,10,16882,8.57
3130,2023-03-13,彰化縣,二林鎮,10,16872,8.57
3484,2023-03-12,彰化縣,二林鎮,7,16862,9.29
3834,2023-03-11,彰化縣,二林鎮,11,16855,9.86
4184,2023-03-10,彰化縣,二林鎮,4,16844,10.71
4541,2023-03-09,彰化縣,二林鎮,10,16840,13.57
4898,2023-03-08,彰化縣,二林鎮,8,16830,13.86
5253,2023-03-07,彰化縣,二林鎮,10,16822,15.57
5615,2023-03-06,彰化縣,二林鎮,15,16812,17.43
5976,2023-03-05,彰化縣,二林鎮,11,16797,16.86
6315,2023-03-04,彰化縣,二林鎮,17,16786,16.43
6669,2023-03-03,彰化縣,二林鎮,24,16769,17.57
7029,2023-03-02,彰化縣,二林鎮,12,16745,16.00
7393,2023-03-01,彰化縣,二林鎮,20,16733,16.29
7765,2023-02-28,彰化縣,二林鎮,23,16713,16.00
8129,2023-02-27,彰化縣,二林鎮,11,16690,17.00
8484,2023-02-26,彰化縣,二林鎮,8,16679,20.71
8832,2023-02-25,彰化縣,二林鎮,25,16671,22.57
9201,2023-02-24,彰化縣,二林鎮,13,16646,23.14
9563,2023-02-23,彰化縣,二林鎮,14,16633,25.29
9933,2023-02-22,彰化縣,二林鎮,18,16619,25.86
10308,2023-02-21,彰化縣,二林鎮,30,16601,25.86
10678,2023-02-20,彰化縣,二林鎮,37,16571,26.00
11055,2023-02-19,彰化縣,二林鎮,21,16534,27.00
11415,2023-02-18,彰化縣,二林鎮,29,16513,27.14
11782,2023-02-17,彰化縣,二林鎮,28,16484,27.00
12155,2023-02-16,彰化縣,二林鎮,18,16456,28.57
12529,2023-02-15,彰化縣,二林鎮,18,16438,29.57
12902,2023-02-14,彰化縣,二林鎮,31,16420,33.14
13274,2023-02-13,彰化縣,二林鎮,44,16389,37.43
13653,2023-02-12,彰化縣,二林鎮,22,16345,40.29
14010,2023-02-11,彰化縣,二林鎮,28,16323,42.86
14382,2023-02-10,彰化縣,二林鎮,39,16295,44.86
14755,2023-02-09,彰化縣,二林鎮,25,16256,46.00
15133,2023-02-08,彰化縣,二林鎮,43,16231,48.14
15513,2023-02-07,彰化縣,二林鎮,61,16188,49.29
15891,2023-02-06,彰化縣,二林鎮,64,16127,48.86
16270,2023-02-05,彰化縣,二林鎮,40,16063,46.57
16641,2023-02-04,彰化縣,二林鎮,42,16023,46.14
17021,2023-02-03,彰化縣,二林鎮,47,15981,45.14
17406,2023-02-02,彰化縣,二林鎮,40,15934,43.43
17789,2023-02-01,彰化縣,二林鎮,51,15894,42.43
18167,2023-01-31,彰化縣,二林鎮,58,15843,39.29
18551,2023-01-30,彰化縣,二林鎮,48,15785,34.29
18938,2023-01-29,彰化縣,二林鎮,37,15737,32.00
