UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
741,2023-03-20,彰化縣,二水鄉,2,4110,1.29
1038,2023-03-19,彰化縣,二水鄉,1,4108,1.57
1366,2023-03-18,彰化縣,二水鄉,1,4107,2.00
1707,2023-03-17,彰化縣,二水鄉,1,4106,2.14
2414,2023-03-15,彰化縣,二水鄉,1,4105,2.43
2763,2023-03-14,彰化縣,二水鄉,3,4104,2.86
3122,2023-03-13,彰化縣,二水鄉,4,4101,3.00
3477,2023-03-12,彰化縣,二水鄉,4,4097,3.43
3826,2023-03-11,彰化縣,二水鄉,2,4093,3.43
4176,2023-03-10,彰化縣,二水鄉,2,4091,3.29
4533,2023-03-09,彰化縣,二水鄉,1,4089,3.29
4890,2023-03-08,彰化縣,二水鄉,4,4088,3.43
5245,2023-03-07,彰化縣,二水鄉,4,4084,3.57
5607,2023-03-06,彰化縣,二水鄉,7,4080,4.14
5968,2023-03-05,彰化縣,二水鄉,4,4073,3.86
6307,2023-03-04,彰化縣,二水鄉,1,4069,3.86
6661,2023-03-03,彰化縣,二水鄉,2,4068,4.43
7021,2023-03-02,彰化縣,二水鄉,2,4066,4.86
7385,2023-03-01,彰化縣,二水鄉,5,4064,5.86
7757,2023-02-28,彰化縣,二水鄉,8,4059,5.71
8121,2023-02-27,彰化縣,二水鄉,5,4051,5.14
8477,2023-02-26,彰化縣,二水鄉,4,4046,5.57
8823,2023-02-25,彰化縣,二水鄉,5,4042,5.57
9193,2023-02-24,彰化縣,二水鄉,5,4037,5.86
9555,2023-02-23,彰化縣,二水鄉,9,4032,6.57
9925,2023-02-22,彰化縣,二水鄉,4,4023,6.57
10300,2023-02-21,彰化縣,二水鄉,4,4019,6.71
10670,2023-02-20,彰化縣,二水鄉,8,4015,7.57
11047,2023-02-19,彰化縣,二水鄉,4,4007,7.00
11407,2023-02-18,彰化縣,二水鄉,7,4003,6.86
11774,2023-02-17,彰化縣,二水鄉,10,3996,6.43
12147,2023-02-16,彰化縣,二水鄉,9,3986,5.71
12520,2023-02-15,彰化縣,二水鄉,5,3977,5.14
12894,2023-02-14,彰化縣,二水鄉,10,3972,5.14
13266,2023-02-13,彰化縣,二水鄉,4,3962,5.57
13645,2023-02-12,彰化縣,二水鄉,3,3958,6.29
14002,2023-02-11,彰化縣,二水鄉,4,3955,5.86
14374,2023-02-10,彰化縣,二水鄉,5,3951,5.86
14746,2023-02-09,彰化縣,二水鄉,5,3946,6.43
15124,2023-02-08,彰化縣,二水鄉,5,3941,6.71
15504,2023-02-07,彰化縣,二水鄉,13,3936,7.43
15883,2023-02-06,彰化縣,二水鄉,9,3923,6.29
16633,2023-02-04,彰化縣,二水鄉,4,3914,8.43
17012,2023-02-03,彰化縣,二水鄉,9,3910,9.71
17398,2023-02-02,彰化縣,二水鄉,7,3901,10.71
17781,2023-02-01,彰化縣,二水鄉,10,3894,11.14
18158,2023-01-31,彰化縣,二水鄉,5,3884,10.43
18542,2023-01-30,彰化縣,二水鄉,12,3879,11.14
18930,2023-01-29,彰化縣,二水鄉,12,3867,10.29
19307,2023-01-28,彰化縣,二水鄉,13,3855,8.86
19685,2023-01-27,彰化縣,二水鄉,16,3842,7.43
20065,2023-01-26,彰化縣,二水鄉,10,3826,5.57
20438,2023-01-25,彰化縣,二水鄉,5,3816,4.29
20805,2023-01-24,彰化縣,二水鄉,10,3811,3.86
21179,2023-01-23,彰化縣,二水鄉,6,3801,3.57
21547,2023-01-22,彰化縣,二水鄉,2,3795,3.29
21911,2023-01-21,彰化縣,二水鄉,3,3793,3.43
22284,2023-01-20,彰化縣,二水鄉,3,3790,4.00
22651,2023-01-19,彰化縣,二水鄉,1,3787,3.71
23023,2023-01-18,彰化縣,二水鄉,2,3786,4.29
23392,2023-01-17,彰化縣,二水鄉,8,3784,5.29
23759,2023-01-16,彰化縣,二水鄉,4,3776,5.14
24134,2023-01-15,彰化縣,二水鄉,3,3772,5.43
24500,2023-01-14,彰化縣,二水鄉,7,3769,5.86
24867,2023-01-13,彰化縣,二水鄉,1,3762,5.57
25236,2023-01-12,彰化縣,二水鄉,5,3761,6.57
25611,2023-01-11,彰化縣,二水鄉,9,3756,7.43
25987,2023-01-10,彰化縣,二水鄉,7,3747,8.29
26360,2023-01-09,彰化縣,二水鄉,6,3740,8.29
26735,2023-01-08,彰化縣,二水鄉,6,3734,9.71
