UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
5701,2023-03-20,彰化縣,伸港鄉,10-14,839
5702,2023-03-19,彰化縣,伸港鄉,0,157
5703,2023-03-19,彰化縣,伸港鄉,45-49,910
5704,2023-03-19,彰化縣,伸港鄉,15-19,923
5705,2023-03-19,彰化縣,伸港鄉,40-44,1402
5706,2023-03-19,彰化縣,伸港鄉,5-9,1034
5707,2023-03-18,彰化縣,伸港鄉,60-64,805
5708,2023-03-18,彰化縣,伸港鄉,20-24,1050
5709,2023-03-18,彰化縣,伸港鄉,50-54,796
5710,2023-03-18,彰化縣,伸港鄉,70+,1046
5711,2023-03-17,彰化縣,伸港鄉,25-29,1286
5712,2023-03-17,彰化縣,伸港鄉,35-39,1487
5713,2023-03-17,彰化縣,伸港鄉,65-69,639
5714,2023-03-16,彰化縣,伸港鄉,1,182
5715,2023-03-16,彰化縣,伸港鄉,30-34,1404
5716,2023-03-13,彰化縣,伸港鄉,2,183
5717,2023-03-11,彰化縣,伸港鄉,55-59,826
5718,2023-03-09,彰化縣,伸港鄉,4,207
5719,2023-03-02,彰化縣,伸港鄉,3,185
