UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
701,2023-03-20,彰化縣,伸港鄉,1,15361,7.86
992,2023-03-19,彰化縣,伸港鄉,5,15360,9.86
1321,2023-03-18,彰化縣,伸港鄉,7,15355,11.14
1660,2023-03-17,彰化縣,伸港鄉,8,15348,11.86
2013,2023-03-16,彰化縣,伸港鄉,12,15340,13.14
2365,2023-03-15,彰化縣,伸港鄉,11,15328,13.86
2716,2023-03-14,彰化縣,伸港鄉,11,15317,14.71
3074,2023-03-13,彰化縣,伸港鄉,15,15306,15.43
3432,2023-03-12,彰化縣,伸港鄉,14,15291,17.43
3778,2023-03-11,彰化縣,伸港鄉,12,15277,16.00
4130,2023-03-10,彰化縣,伸港鄉,17,15265,16.71
4486,2023-03-09,彰化縣,伸港鄉,17,15248,15.86
4845,2023-03-08,彰化縣,伸港鄉,17,15231,16.00
5198,2023-03-07,彰化縣,伸港鄉,16,15214,17.14
5558,2023-03-06,彰化縣,伸港鄉,29,15198,17.00
5922,2023-03-05,彰化縣,伸港鄉,4,15169,15.29
6261,2023-03-04,彰化縣,伸港鄉,17,15165,16.57
6614,2023-03-03,彰化縣,伸港鄉,11,15148,16.43
6973,2023-03-02,彰化縣,伸港鄉,18,15137,17.29
7337,2023-03-01,彰化縣,伸港鄉,25,15119,18.00
7708,2023-02-28,彰化縣,伸港鄉,15,15094,17.86
8071,2023-02-27,彰化縣,伸港鄉,17,15079,21.29
8430,2023-02-26,彰化縣,伸港鄉,13,15062,24.29
8774,2023-02-25,彰化縣,伸港鄉,16,15049,25.14
9144,2023-02-24,彰化縣,伸港鄉,17,15033,26.00
9505,2023-02-23,彰化縣,伸港鄉,23,15016,27.57
9876,2023-02-22,彰化縣,伸港鄉,24,14993,28.00
10250,2023-02-21,彰化縣,伸港鄉,39,14969,27.86
10620,2023-02-20,彰化縣,伸港鄉,38,14930,24.57
10999,2023-02-19,彰化縣,伸港鄉,19,14892,25.00
11358,2023-02-18,彰化縣,伸港鄉,22,14873,24.86
11724,2023-02-17,彰化縣,伸港鄉,28,14851,24.43
12097,2023-02-16,彰化縣,伸港鄉,26,14823,26.29
12472,2023-02-15,彰化縣,伸港鄉,23,14797,26.43
12845,2023-02-14,彰化縣,伸港鄉,16,14774,26.71
13217,2023-02-13,彰化縣,伸港鄉,41,14758,30.71
13595,2023-02-12,彰化縣,伸港鄉,18,14717,31.86
13953,2023-02-11,彰化縣,伸港鄉,19,14699,32.86
14325,2023-02-10,彰化縣,伸港鄉,41,14680,35.29
14698,2023-02-09,彰化縣,伸港鄉,27,14639,35.71
15075,2023-02-08,彰化縣,伸港鄉,25,14612,38.71
15454,2023-02-07,彰化縣,伸港鄉,44,14587,41.14
15833,2023-02-06,彰化縣,伸港鄉,49,14543,40.14
16214,2023-02-05,彰化縣,伸港鄉,25,14494,40.43
16583,2023-02-04,彰化縣,伸港鄉,36,14469,40.29
16962,2023-02-03,彰化縣,伸港鄉,44,14433,41.14
17348,2023-02-02,彰化縣,伸港鄉,48,14389,38.57
17731,2023-02-01,彰化縣,伸港鄉,42,14341,34.00
18108,2023-01-31,彰化縣,伸港鄉,37,14299,29.43
18493,2023-01-30,彰化縣,伸港鄉,51,14262,27.43
18882,2023-01-29,彰化縣,伸港鄉,24,14211,22.43
19258,2023-01-28,彰化縣,伸港鄉,42,14187,20.14
19637,2023-01-27,彰化縣,伸港鄉,26,14145,17.43
20015,2023-01-26,彰化縣,伸港鄉,16,14119,15.71
20392,2023-01-25,彰化縣,伸港鄉,10,14103,16.14
20757,2023-01-24,彰化縣,伸港鄉,23,14093,16.86
21132,2023-01-23,彰化縣,伸港鄉,16,14070,17.00
21499,2023-01-22,彰化縣,伸港鄉,8,14054,17.00
21863,2023-01-21,彰化縣,伸港鄉,23,14046,17.43
22235,2023-01-20,彰化縣,伸港鄉,14,14023,16.43
22602,2023-01-19,彰化縣,伸港鄉,19,14009,18.43
22973,2023-01-18,彰化縣,伸港鄉,15,13990,18.43
23344,2023-01-17,彰化縣,伸港鄉,24,13975,20.00
23709,2023-01-16,彰化縣,伸港鄉,16,13951,20.71
24085,2023-01-15,彰化縣,伸港鄉,11,13935,24.86
24451,2023-01-14,彰化縣,伸港鄉,16,13924,26.00
24820,2023-01-13,彰化縣,伸港鄉,28,13908,28.14
25188,2023-01-12,彰化縣,伸港鄉,19,13880,27.43
25563,2023-01-11,彰化縣,伸港鄉,26,13861,30.43
25939,2023-01-10,彰化縣,伸港鄉,29,13835,32.29
26311,2023-01-09,彰化縣,伸港鄉,45,13806,33.86
26689,2023-01-08,彰化縣,伸港鄉,19,13761,35.86
27046,2023-01-07,彰化縣,伸港鄉,31,13742,36.86
27418,2023-01-06,彰化縣,伸港鄉,23,13711,37.57
27794,2023-01-05,彰化縣,伸港鄉,40,13688,37.86
28174,2023-01-04,彰化縣,伸港鄉,39,13648,38.29
28555,2023-01-03,彰化縣,伸港鄉,40,13609,38.57
28936,2023-01-02,彰化縣,伸港鄉,59,13569,39.86
29308,2023-01-01,彰化縣,伸港鄉,26,13510,40.43
29670,2022-12-31,彰化縣,伸港鄉,36,13484,39.14
30036,2022-12-30,彰化縣,伸港鄉,25,13448,35.57
30408,2022-12-29,彰化縣,伸港鄉,43,13423,37.43
30780,2022-12-28,彰化縣,伸港鄉,41,13380,34.14
31151,2022-12-27,彰化縣,伸港鄉,49,13339,31.71
31528,2022-12-26,彰化縣,伸港鄉,63,13290,27.00
31900,2022-12-25,彰化縣,伸港鄉,17,13227,22.14
32254,2022-12-24,彰化縣,伸港鄉,11,13210,21.14
32614,2022-12-23,彰化縣,伸港鄉,38,13199,21.14
32978,2022-12-22,彰化縣,伸港鄉,20,13161,18.14
33345,2022-12-21,彰化縣,伸港鄉,24,13141,17.43
33715,2022-12-20,彰化縣,伸港鄉,16,13117,16.86
34078,2022-12-19,彰化縣,伸港鄉,29,13101,18.00
34449,2022-12-18,彰化縣,伸港鄉,10,13072,16.14
34797,2022-12-17,彰化縣,伸港鄉,11,13062,17.00
35157,2022-12-16,彰化縣,伸港鄉,17,13051,17.71
35522,2022-12-15,彰化縣,伸港鄉,15,13034,17.86
35893,2022-12-14,彰化縣,伸港鄉,20,13019,18.14
36252,2022-12-13,彰化縣,伸港鄉,24,12999,17.86
36626,2022-12-12,彰化縣,伸港鄉,16,12975,19.00
36997,2022-12-11,彰化縣,伸港鄉,16,12959,20.29
37349,2022-12-10,彰化縣,伸港鄉,16,12943,20.57
37718,2022-12-09,彰化縣,伸港鄉,18,12927,21.00
38083,2022-12-08,彰化縣,伸港鄉,17,12909,23.57
38456,2022-12-07,彰化縣,伸港鄉,18,12892,24.14
38827,2022-12-06,彰化縣,伸港鄉,32,12874,24.86
39199,2022-12-05,彰化縣,伸港鄉,25,12842,25.00
39577,2022-12-04,彰化縣,伸港鄉,18,12817,27.43
39942,2022-12-03,彰化縣,伸港鄉,19,12799,27.57
40312,2022-12-02,彰化縣,伸港鄉,36,12780,26.71
40681,2022-12-01,彰化縣,伸港鄉,21,12744,24.57
41051,2022-11-30,彰化縣,伸港鄉,23,12723,24.71
41422,2022-11-29,彰化縣,伸港鄉,33,12700,24.71
41802,2022-11-28,彰化縣,伸港鄉,42,12667,24.14
42179,2022-11-27,彰化縣,伸港鄉,19,12625,22.29
42540,2022-11-26,彰化縣,伸港鄉,13,12606,22.29
42896,2022-11-25,彰化縣,伸港鄉,21,12593,22.29
43268,2022-11-24,彰化縣,伸港鄉,22,12572,22.14
43638,2022-11-23,彰化縣,伸港鄉,23,12550,23.00
44009,2022-11-22,彰化縣,伸港鄉,29,12527,21.43
44383,2022-11-21,彰化縣,伸港鄉,29,12498,22.71
44765,2022-11-20,彰化縣,伸港鄉,19,12469,22.86
45129,2022-11-19,彰化縣,伸港鄉,13,12450,23.43
45503,2022-11-18,彰化縣,伸港鄉,20,12437,25.00
45875,2022-11-17,彰化縣,伸港鄉,28,12417,26.00
46248,2022-11-16,彰化縣,伸港鄉,12,12389,27.29
46628,2022-11-15,彰化縣,伸港鄉,38,12377,31.00
47009,2022-11-14,彰化縣,伸港鄉,30,12339,30.29
47390,2022-11-13,彰化縣,伸港鄉,23,12309,32.43
