UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
84,2023-04-15,彰化縣,全區,1,1143,0.43
104,2023-04-10,彰化縣,全區,2,1142,0.43
150,2023-04-05,彰化縣,全區,1,1140,0.14
260,2023-03-28,彰化縣,全區,1,1139,0.71
355,2023-03-23,彰化縣,全區,2,1138,2.00
387,2023-03-22,彰化縣,全區,2,1136,1.86
414,2023-03-21,彰化縣,全區,2,1134,1.71
448,2023-03-20,彰化縣,全區,2,1132,2.29
519,2023-03-18,彰化縣,全區,3,1130,2.14
566,2023-03-17,彰化縣,全區,3,1127,1.86
605,2023-03-16,彰化縣,全區,1,1124,1.86
651,2023-03-15,彰化縣,全區,1,1123,2.00
683,2023-03-14,彰化縣,全區,6,1122,2.00
726,2023-03-13,彰化縣,全區,1,1116,1.71
813,2023-03-11,彰化縣,全區,1,1115,1.86
857,2023-03-10,彰化縣,全區,3,1114,2.00
905,2023-03-09,彰化縣,全區,2,1111,1.86
952,2023-03-08,彰化縣,全區,1,1109,2.00
1005,2023-03-07,彰化縣,全區,4,1108,2.57
1045,2023-03-06,彰化縣,全區,1,1104,2.29
1095,2023-03-05,彰化縣,全區,1,1103,2.43
1151,2023-03-04,彰化縣,全區,2,1102,2.86
1209,2023-03-03,彰化縣,全區,2,1100,3.14
1261,2023-03-02,彰化縣,全區,3,1098,3.29
1316,2023-03-01,彰化縣,全區,5,1095,3.00
1372,2023-02-28,彰化縣,全區,2,1090,2.71
1422,2023-02-27,彰化縣,全區,2,1088,2.57
1477,2023-02-26,彰化縣,全區,4,1086,2.86
1543,2023-02-25,彰化縣,全區,4,1082,2.86
1599,2023-02-24,彰化縣,全區,3,1078,2.71
1654,2023-02-23,彰化縣,全區,1,1075,2.43
1715,2023-02-22,彰化縣,全區,3,1074,2.29
1782,2023-02-21,彰化縣,全區,1,1071,2.29
1835,2023-02-20,彰化縣,全區,4,1070,2.71
1888,2023-02-19,彰化縣,全區,4,1066,3.00
1940,2023-02-18,彰化縣,全區,3,1062,2.57
2000,2023-02-17,彰化縣,全區,1,1059,2.57
2115,2023-02-15,彰化縣,全區,3,1058,3.43
2187,2023-02-14,彰化縣,全區,4,1055,3.57
2251,2023-02-13,彰化縣,全區,6,1051,3.29
2315,2023-02-12,彰化縣,全區,1,1045,3.00
2371,2023-02-11,彰化縣,全區,3,1044,3.14
2438,2023-02-10,彰化縣,全區,2,1041,3.29
2504,2023-02-09,彰化縣,全區,5,1039,3.29
2564,2023-02-08,彰化縣,全區,4,1034,3.14
2648,2023-02-07,彰化縣,全區,2,1030,3.14
2713,2023-02-06,彰化縣,全區,4,1028,3.14
2778,2023-02-05,彰化縣,全區,2,1024,2.86
2838,2023-02-04,彰化縣,全區,4,1022,2.57
2887,2023-02-03,彰化縣,全區,2,1018,2.29
2955,2023-02-02,彰化縣,全區,4,1016,2.14
3025,2023-02-01,彰化縣,全區,4,1012,1.86
3089,2023-01-31,彰化縣,全區,2,1008,1.43
3147,2023-01-30,彰化縣,全區,2,1006,1.57
3265,2023-01-28,彰化縣,全區,2,1004,1.57
3318,2023-01-27,彰化縣,全區,1,1002,1.43
3358,2023-01-26,彰化縣,全區,2,1001,1.71
3417,2023-01-25,彰化縣,全區,1,999,1.86
3474,2023-01-24,彰化縣,全區,3,998,2.14
3582,2023-01-22,彰化縣,全區,2,995,2.29
3632,2023-01-21,彰化縣,全區,1,993,2.57
3671,2023-01-20,彰化縣,全區,3,992,2.86
3716,2023-01-19,彰化縣,全區,3,989,3.00
3768,2023-01-18,彰化縣,全區,3,986,2.86
3813,2023-01-17,彰化縣,全區,3,983,2.71
3858,2023-01-16,彰化縣,全區,1,980,2.57
3910,2023-01-15,彰化縣,全區,4,979,2.86
3969,2023-01-14,彰化縣,全區,3,975,2.57
4030,2023-01-13,彰化縣,全區,4,972,2.57
4077,2023-01-12,彰化縣,全區,2,968,2.43
4115,2023-01-11,彰化縣,全區,2,966,2.57
4163,2023-01-10,彰化縣,全區,2,964,3.14
4216,2023-01-09,彰化縣,全區,3,962,3.71
4271,2023-01-08,彰化縣,全區,2,959,4.00
4313,2023-01-07,彰化縣,全區,3,957,4.00
4363,2023-01-06,彰化縣,全區,3,954,4.14
4415,2023-01-05,彰化縣,全區,3,951,4.71
4459,2023-01-04,彰化縣,全區,6,948,4.86
4510,2023-01-03,彰化縣,全區,6,942,4.14
4569,2023-01-02,彰化縣,全區,5,936,4.00
4632,2023-01-01,彰化縣,全區,2,931,4.14
4675,2022-12-31,彰化縣,全區,4,929,4.14
4732,2022-12-30,彰化縣,全區,7,925,4.00
4781,2022-12-29,彰化縣,全區,4,918,3.14
4821,2022-12-28,彰化縣,全區,1,914,2.71
4849,2022-12-27,彰化縣,全區,5,913,3.14
4900,2022-12-26,彰化縣,全區,6,908,3.00
4950,2022-12-25,彰化縣,全區,2,902,2.71
4980,2022-12-24,彰化縣,全區,3,900,2.43
5013,2022-12-23,彰化縣,全區,1,897,2.57
5044,2022-12-22,彰化縣,全區,1,896,2.71
5087,2022-12-21,彰化縣,全區,4,895,3.00
5117,2022-12-20,彰化縣,全區,4,891,2.57
5162,2022-12-19,彰化縣,全區,4,887,2.14
5239,2022-12-17,彰化縣,全區,4,883,2.00
5274,2022-12-16,彰化縣,全區,2,879,1.57
5311,2022-12-15,彰化縣,全區,3,877,1.86
5351,2022-12-14,彰化縣,全區,1,874,1.71
5395,2022-12-13,彰化縣,全區,1,873,2.00
5460,2022-12-11,彰化縣,全區,3,872,3.14
5488,2022-12-10,彰化縣,全區,1,869,3.00
5524,2022-12-09,彰化縣,全區,4,868,3.00
5570,2022-12-08,彰化縣,全區,2,864,2.86
5623,2022-12-07,彰化縣,全區,3,862,2.71
5659,2022-12-06,彰化縣,全區,4,859,2.29
5690,2022-12-05,彰化縣,全區,5,855,1.86
5720,2022-12-04,彰化縣,全區,2,850,1.29
5760,2022-12-03,彰化縣,全區,1,848,1.57
5795,2022-12-02,彰化縣,全區,3,847,1.57
5841,2022-12-01,彰化縣,全區,1,844,1.57
5918,2022-11-29,彰化縣,全區,1,843,2.00
5951,2022-11-28,彰化縣,全區,1,842,2.57
5995,2022-11-27,彰化縣,全區,4,841,2.86
6027,2022-11-26,彰化縣,全區,1,837,2.57
6070,2022-11-25,彰化縣,全區,3,836,3.00
6111,2022-11-24,彰化縣,全區,2,833,3.43
6162,2022-11-23,彰化縣,全區,2,831,3.29
