UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
5682,2023-03-20,彰化縣,北斗鎮,55-59,639
5683,2023-03-20,彰化縣,北斗鎮,45-49,835
5684,2023-03-20,彰化縣,北斗鎮,20-24,839
5685,2023-03-20,彰化縣,北斗鎮,70+,1160
5686,2023-03-19,彰化縣,北斗鎮,35-39,1095
5687,2023-03-19,彰化縣,北斗鎮,25-29,962
5688,2023-03-19,彰化縣,北斗鎮,10-14,710
5689,2023-03-18,彰化縣,北斗鎮,5-9,818
5690,2023-03-18,彰化縣,北斗鎮,65-69,556
5691,2023-03-18,彰化縣,北斗鎮,0,102
5692,2023-03-18,彰化縣,北斗鎮,15-19,806
5693,2023-03-18,彰化縣,北斗鎮,2,148
5694,2023-03-17,彰化縣,北斗鎮,40-44,1053
5695,2023-03-17,彰化縣,北斗鎮,50-54,661
5696,2023-03-17,彰化縣,北斗鎮,60-64,659
5697,2023-03-17,彰化縣,北斗鎮,30-34,1014
5698,2023-03-16,彰化縣,北斗鎮,4,142
5699,2023-03-14,彰化縣,北斗鎮,1,158
5700,2023-03-04,彰化縣,北斗鎮,3,126
