UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
384,2023-03-23,彰化縣,和美鎮,1,71,0.29
410,2023-03-22,彰化縣,和美鎮,1,70,0.29
643,2023-03-16,彰化縣,和美鎮,1,69,0.29
899,2023-03-10,彰化縣,和美鎮,1,68,0.14
1534,2023-02-26,彰化縣,和美鎮,1,67,0.29
1707,2023-02-23,彰化縣,和美鎮,1,66,0.14
2304,2023-02-13,彰化縣,和美鎮,1,65,0.29
2558,2023-02-09,彰化縣,和美鎮,1,64,0.14
3016,2023-02-02,彰化縣,和美鎮,1,63,0.43
3083,2023-02-01,彰化縣,和美鎮,1,62,0.29
3308,2023-01-28,彰化縣,和美鎮,1,61,0.14
3847,2023-01-17,彰化縣,和美鎮,1,60,0.29
3959,2023-01-15,彰化縣,和美鎮,1,59,0.14
4309,2023-01-08,彰化縣,和美鎮,1,58,0.29
4357,2023-01-07,彰化縣,和美鎮,1,57,0.14
4725,2022-12-31,彰化縣,和美鎮,1,56,0.43
4892,2022-12-27,彰化縣,和美鎮,1,55,0.29
4943,2022-12-26,彰化縣,和美鎮,1,54,0.14
5613,2022-12-08,彰化縣,和美鎮,1,53,0.29
5714,2022-12-05,彰化縣,和美鎮,1,52,0.14
6290,2022-11-21,彰化縣,和美鎮,1,51,0.29
6397,2022-11-19,彰化縣,和美鎮,1,50,0.14
6816,2022-11-11,彰化縣,和美鎮,1,49,0.57
6939,2022-11-09,彰化縣,和美鎮,1,48,0.43
7058,2022-11-07,彰化縣,和美鎮,1,47,0.29
7114,2022-11-06,彰化縣,和美鎮,1,46,0.14
7536,2022-10-30,彰化縣,和美鎮,1,45,0.43
7599,2022-10-29,彰化縣,和美鎮,1,44,0.29
7668,2022-10-28,彰化縣,和美鎮,1,43,0.14
8243,2022-10-20,彰化縣,和美鎮,1,42,0.57
8305,2022-10-19,彰化縣,和美鎮,1,41,0.43
8524,2022-10-16,彰化縣,和美鎮,1,40,0.29
8587,2022-10-15,彰化縣,和美鎮,1,39,0.14
9192,2022-10-06,彰化縣,和美鎮,2,38,0.43
9543,2022-10-01,彰化縣,和美鎮,1,36,0.29
9894,2022-09-25,彰化縣,和美鎮,1,35,0.43
9949,2022-09-24,彰化縣,和美鎮,2,34,0.29
10621,2022-09-12,彰化縣,和美鎮,1,32,0.14
11184,2022-08-30,彰化縣,和美鎮,1,31,0.14
11863,2022-08-12,彰化縣,和美鎮,1,30,0.29
11971,2022-08-09,彰化縣,和美鎮,1,29,0.14
12331,2022-08-01,彰化縣,和美鎮,1,28,0.14
12768,2022-07-24,彰化縣,和美鎮,2,27,0.43
12881,2022-07-22,彰化縣,和美鎮,1,25,0.29
13257,2022-07-16,彰化縣,和美鎮,1,24,0.43
13393,2022-07-14,彰化縣,和美鎮,1,23,0.29
13613,2022-07-11,彰化縣,和美鎮,1,22,0.43
13892,2022-07-07,彰化縣,和美鎮,1,21,0.57
14063,2022-07-05,彰化縣,和美鎮,1,20,0.71
14165,2022-07-04,彰化縣,和美鎮,2,19,0.57
14523,2022-06-30,彰化縣,和美鎮,1,17,0.43
14624,2022-06-29,彰化縣,和美鎮,1,16,0.29
15020,2022-06-25,彰化縣,和美鎮,1,15,0.43
15558,2022-06-20,彰化縣,和美鎮,1,14,1.00
15666,2022-06-19,彰化縣,和美鎮,1,13,1.00
15786,2022-06-18,彰化縣,和美鎮,2,12,0.86
15925,2022-06-17,彰化縣,和美鎮,2,10,0.71
16304,2022-06-14,彰化縣,和美鎮,1,8,0.57
16431,2022-06-13,彰化縣,和美鎮,1,7,0.43
16673,2022-06-11,彰化縣,和美鎮,1,6,0.57
17038,2022-06-08,彰化縣,和美鎮,1,5,0.43
17294,2022-06-06,彰化縣,和美鎮,1,4,0.43
17401,2022-06-05,彰化縣,和美鎮,1,3,0.29
18013,2022-05-31,彰化縣,和美鎮,1,2,0.29
18557,2022-05-26,彰化縣,和美鎮,1,1,0.14
