UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
589,2023-03-20,彰化縣,和美鎮,4,40345,25.00
873,2023-03-19,彰化縣,和美鎮,16,40341,28.71
1201,2023-03-18,彰化縣,和美鎮,27,40325,28.57
1541,2023-03-17,彰化縣,和美鎮,27,40298,29.43
1893,2023-03-16,彰化縣,和美鎮,40,40271,30.14
2246,2023-03-15,彰化縣,和美鎮,39,40231,28.29
2597,2023-03-14,彰化縣,和美鎮,22,40192,29.14
2954,2023-03-13,彰化縣,和美鎮,30,40170,33.86
3313,2023-03-12,彰化縣,和美鎮,15,40140,34.43
3658,2023-03-11,彰化縣,和美鎮,33,40125,36.00
4011,2023-03-10,彰化縣,和美鎮,32,40092,38.00
4366,2023-03-09,彰化縣,和美鎮,27,40060,40.57
4725,2023-03-08,彰化縣,和美鎮,45,40033,42.71
5079,2023-03-07,彰化縣,和美鎮,55,39988,43.29
5438,2023-03-06,彰化縣,和美鎮,34,39933,40.86
5803,2023-03-05,彰化縣,和美鎮,26,39899,42.71
6142,2023-03-04,彰化縣,和美鎮,47,39873,44.43
6494,2023-03-03,彰化縣,和美鎮,50,39826,43.43
6853,2023-03-02,彰化縣,和美鎮,42,39776,44.71
7217,2023-03-01,彰化縣,和美鎮,49,39734,46.00
7588,2023-02-28,彰化縣,和美鎮,38,39685,46.43
7951,2023-02-27,彰化縣,和美鎮,47,39647,50.14
8310,2023-02-26,彰化縣,和美鎮,38,39600,53.43
8655,2023-02-25,彰化縣,和美鎮,40,39562,56.29
9025,2023-02-24,彰化縣,和美鎮,59,39522,57.71
9386,2023-02-23,彰化縣,和美鎮,51,39463,57.29
9756,2023-02-22,彰化縣,和美鎮,52,39412,56.43
10131,2023-02-21,彰化縣,和美鎮,64,39360,55.00
10500,2023-02-20,彰化縣,和美鎮,70,39296,53.57
10880,2023-02-19,彰化縣,和美鎮,58,39226,54.57
11238,2023-02-18,彰化縣,和美鎮,50,39168,54.57
11605,2023-02-17,彰化縣,和美鎮,56,39118,56.29
11977,2023-02-16,彰化縣,和美鎮,45,39062,57.43
12352,2023-02-15,彰化縣,和美鎮,42,39017,60.29
12725,2023-02-14,彰化縣,和美鎮,54,38975,65.00
13097,2023-02-13,彰化縣,和美鎮,77,38921,67.86
13476,2023-02-12,彰化縣,和美鎮,58,38844,68.57
13833,2023-02-11,彰化縣,和美鎮,62,38786,69.57
14205,2023-02-10,彰化縣,和美鎮,64,38724,74.43
14579,2023-02-09,彰化縣,和美鎮,65,38660,80.43
14955,2023-02-08,彰化縣,和美鎮,75,38595,86.29
15334,2023-02-07,彰化縣,和美鎮,74,38520,92.43
15713,2023-02-06,彰化縣,和美鎮,82,38446,94.43
16095,2023-02-05,彰化縣,和美鎮,65,38364,101.86
16463,2023-02-04,彰化縣,和美鎮,96,38299,105.57
16842,2023-02-03,彰化縣,和美鎮,106,38203,105.43
17228,2023-02-02,彰化縣,和美鎮,106,38097,103.86
17611,2023-02-01,彰化縣,和美鎮,118,37991,100.86
17988,2023-01-31,彰化縣,和美鎮,88,37873,92.14
18373,2023-01-30,彰化縣,和美鎮,134,37785,91.57
18762,2023-01-29,彰化縣,和美鎮,91,37651,81.14
19138,2023-01-28,彰化縣,和美鎮,95,37560,72.71
19517,2023-01-27,彰化縣,和美鎮,95,37465,66.14
19895,2023-01-26,彰化縣,和美鎮,85,37370,61.29
20272,2023-01-25,彰化縣,和美鎮,57,37285,57.71
20637,2023-01-24,彰化縣,和美鎮,84,37228,55.57
21012,2023-01-23,彰化縣,和美鎮,61,37144,50.86
21379,2023-01-22,彰化縣,和美鎮,32,37083,51.43
21743,2023-01-21,彰化縣,和美鎮,49,37051,54.00
