UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
5644,2023-03-20,彰化縣,員林市,40-44,4343
5645,2023-03-20,彰化縣,員林市,35-39,4253
5646,2023-03-20,彰化縣,員林市,25-29,3512
5647,2023-03-20,彰化縣,員林市,20-24,2885
5648,2023-03-20,彰化縣,員林市,2,461
5649,2023-03-20,彰化縣,員林市,55-59,2652
5650,2023-03-20,彰化縣,員林市,50-54,2834
5651,2023-03-20,彰化縣,員林市,30-34,3685
5652,2023-03-20,彰化縣,員林市,3,479
5653,2023-03-20,彰化縣,員林市,70+,3845
5654,2023-03-19,彰化縣,員林市,15-19,2886
5655,2023-03-19,彰化縣,員林市,45-49,3305
5656,2023-03-19,彰化縣,員林市,60-64,2555
5657,2023-03-19,彰化縣,員林市,10-14,2918
5658,2023-03-19,彰化縣,員林市,5-9,2992
5659,2023-03-17,彰化縣,員林市,4,480
5660,2023-03-17,彰化縣,員林市,1,439
5661,2023-03-15,彰化縣,員林市,65-69,2252
5662,2023-03-13,彰化縣,員林市,0,333
