UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
664,2023-03-20,彰化縣,員林市,19,47109,31.00
952,2023-03-19,彰化縣,員林市,24,47090,37.29
1280,2023-03-18,彰化縣,員林市,32,47066,36.71
1620,2023-03-17,彰化縣,員林市,42,47034,38.43
1972,2023-03-16,彰化縣,員林市,38,46992,36.86
2325,2023-03-15,彰化縣,員林市,31,46954,34.71
2676,2023-03-14,彰化縣,員林市,31,46923,35.43
3033,2023-03-13,彰化縣,員林市,63,46892,35.14
3392,2023-03-12,彰化縣,員林市,20,46829,34.14
3737,2023-03-11,彰化縣,員林市,44,46809,34.29
4090,2023-03-10,彰化縣,員林市,31,46765,33.86
4445,2023-03-09,彰化縣,員林市,23,46734,36.00
4804,2023-03-08,彰化縣,員林市,36,46711,40.57
5158,2023-03-07,彰化縣,員林市,29,46675,45.57
5517,2023-03-06,彰化縣,員林市,56,46646,49.14
5882,2023-03-05,彰化縣,員林市,21,46590,49.86
6221,2023-03-04,彰化縣,員林市,41,46569,51.43
6573,2023-03-03,彰化縣,員林市,46,46528,52.29
6932,2023-03-02,彰化縣,員林市,55,46482,53.14
7296,2023-03-01,彰化縣,員林市,71,46427,51.86
7667,2023-02-28,彰化縣,員林市,54,46356,49.14
8030,2023-02-27,彰化縣,員林市,61,46302,49.43
8389,2023-02-26,彰化縣,員林市,32,46241,50.29
8734,2023-02-25,彰化縣,員林市,47,46209,53.57
9104,2023-02-24,彰化縣,員林市,52,46162,55.43
9465,2023-02-23,彰化縣,員林市,46,46110,57.14
9835,2023-02-22,彰化縣,員林市,52,46064,59.86
10210,2023-02-21,彰化縣,員林市,56,46012,60.71
10579,2023-02-20,彰化縣,員林市,67,45956,62.86
10959,2023-02-19,彰化縣,員林市,55,45889,65.29
11317,2023-02-18,彰化縣,員林市,60,45834,64.43
11684,2023-02-17,彰化縣,員林市,64,45774,65.71
12056,2023-02-16,彰化縣,員林市,65,45710,68.57
12431,2023-02-15,彰化縣,員林市,58,45645,71.00
12804,2023-02-14,彰化縣,員林市,71,45587,75.57
13176,2023-02-13,彰化縣,員林市,84,45516,76.71
13555,2023-02-12,彰化縣,員林市,49,45432,83.43
13912,2023-02-11,彰化縣,員林市,69,45383,89.71
14284,2023-02-10,彰化縣,員林市,84,45314,96.00
14658,2023-02-09,彰化縣,員林市,82,45230,100.00
15034,2023-02-08,彰化縣,員林市,90,45148,106.14
15413,2023-02-07,彰化縣,員林市,79,45058,110.86
15792,2023-02-06,彰化縣,員林市,131,44979,116.57
16174,2023-02-05,彰化縣,員林市,93,44848,120.57
16542,2023-02-04,彰化縣,員林市,113,44755,122.00
16921,2023-02-03,彰化縣,員林市,112,44642,123.71
17307,2023-02-02,彰化縣,員林市,125,44530,123.71
17690,2023-02-01,彰化縣,員林市,123,44405,119.14
18067,2023-01-31,彰化縣,員林市,119,44282,113.00
18452,2023-01-30,彰化縣,員林市,159,44163,104.14
18841,2023-01-29,彰化縣,員林市,103,44004,93.29
