UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
670,2023-03-20,彰化縣,埔心鄉,3,13535,7.71
958,2023-03-19,彰化縣,埔心鄉,8,13532,9.71
1287,2023-03-18,彰化縣,埔心鄉,11,13524,9.14
1626,2023-03-17,彰化縣,埔心鄉,12,13513,8.43
1979,2023-03-16,彰化縣,埔心鄉,4,13501,7.43
2332,2023-03-15,彰化縣,埔心鄉,7,13497,8.14
2682,2023-03-14,彰化縣,埔心鄉,9,13490,7.71
3040,2023-03-13,彰化縣,埔心鄉,17,13481,8.43
3398,2023-03-12,彰化縣,埔心鄉,4,13464,7.86
3744,2023-03-11,彰化縣,埔心鄉,6,13460,7.86
4096,2023-03-10,彰化縣,埔心鄉,5,13454,8.57
4452,2023-03-09,彰化縣,埔心鄉,9,13449,9.29
4811,2023-03-08,彰化縣,埔心鄉,4,13440,10.57
5164,2023-03-07,彰化縣,埔心鄉,14,13436,12.71
5524,2023-03-06,彰化縣,埔心鄉,13,13422,13.29
5888,2023-03-05,彰化縣,埔心鄉,4,13409,14.00
6227,2023-03-04,彰化縣,埔心鄉,11,13405,14.14
6580,2023-03-03,彰化縣,埔心鄉,10,13394,14.86
6939,2023-03-02,彰化縣,埔心鄉,18,13384,15.71
7303,2023-03-01,彰化縣,埔心鄉,19,13366,14.43
7674,2023-02-28,彰化縣,埔心鄉,18,13347,14.29
8037,2023-02-27,彰化縣,埔心鄉,18,13329,14.43
8396,2023-02-26,彰化縣,埔心鄉,5,13311,15.43
8740,2023-02-25,彰化縣,埔心鄉,16,13306,16.86
9110,2023-02-24,彰化縣,埔心鄉,16,13290,17.71
9471,2023-02-23,彰化縣,埔心鄉,9,13274,17.57
9842,2023-02-22,彰化縣,埔心鄉,18,13265,18.43
10216,2023-02-21,彰化縣,埔心鄉,19,13247,18.57
10586,2023-02-20,彰化縣,埔心鄉,25,13228,18.00
10965,2023-02-19,彰化縣,埔心鄉,15,13203,17.14
11324,2023-02-18,彰化縣,埔心鄉,22,13188,17.71
11690,2023-02-17,彰化縣,埔心鄉,15,13166,17.86
12063,2023-02-16,彰化縣,埔心鄉,15,13151,18.14
12438,2023-02-15,彰化縣,埔心鄉,19,13136,19.86
12811,2023-02-14,彰化縣,埔心鄉,15,13117,21.29
13183,2023-02-13,彰化縣,埔心鄉,19,13102,23.14
13561,2023-02-12,彰化縣,埔心鄉,19,13083,24.86
13919,2023-02-11,彰化縣,埔心鄉,23,13064,25.43
14291,2023-02-10,彰化縣,埔心鄉,17,13041,25.57
14664,2023-02-09,彰化縣,埔心鄉,27,13024,26.86
15041,2023-02-08,彰化縣,埔心鄉,29,12997,27.43
15420,2023-02-07,彰化縣,埔心鄉,28,12968,26.86
15799,2023-02-06,彰化縣,埔心鄉,31,12940,27.14
16180,2023-02-05,彰化縣,埔心鄉,23,12909,29.43
16549,2023-02-04,彰化縣,埔心鄉,24,12886,29.29
16928,2023-02-03,彰化縣,埔心鄉,26,12862,30.00
17314,2023-02-02,彰化縣,埔心鄉,31,12836,31.71
17697,2023-02-01,彰化縣,埔心鄉,25,12805,29.57
18074,2023-01-31,彰化縣,埔心鄉,30,12780,30.14
18459,2023-01-30,彰化縣,埔心鄉,47,12750,28.86
18848,2023-01-29,彰化縣,埔心鄉,22,12703,24.29
19224,2023-01-28,彰化縣,埔心鄉,29,12681,23.57
19603,2023-01-27,彰化縣,埔心鄉,38,12652,21.43
19981,2023-01-26,彰化縣,埔心鄉,16,12614,19.57
20358,2023-01-25,彰化縣,埔心鄉,29,12598,19.43
20723,2023-01-24,彰化縣,埔心鄉,21,12569,19.14
21098,2023-01-23,彰化縣,埔心鄉,15,12548,20.86
21465,2023-01-22,彰化縣,埔心鄉,17,12533,22.14
21829,2023-01-21,彰化縣,埔心鄉,14,12516,22.14
22201,2023-01-20,彰化縣,埔心鄉,25,12502,23.00
22568,2023-01-19,彰化縣,埔心鄉,15,12477,23.29
22939,2023-01-18,彰化縣,埔心鄉,27,12462,24.86
23310,2023-01-17,彰化縣,埔心鄉,33,12435,25.86
23675,2023-01-16,彰化縣,埔心鄉,24,12402,24.29
24051,2023-01-15,彰化縣,埔心鄉,17,12378,28.14
24417,2023-01-14,彰化縣,埔心鄉,20,12361,28.71
24786,2023-01-13,彰化縣,埔心鄉,27,12341,29.86
25154,2023-01-12,彰化縣,埔心鄉,26,12314,31.43
