UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
1292,2023-03-02,彰化縣,埔鹽鄉,1,33,0.14
2029,2023-02-17,彰化縣,埔鹽鄉,1,32,0.43
2344,2023-02-12,彰化縣,埔鹽鄉,1,31,0.29
2410,2023-02-11,彰化縣,埔鹽鄉,1,30,0.14
2922,2023-02-03,彰化縣,埔鹽鄉,1,29,0.14
3695,2023-01-20,彰化縣,埔鹽鄉,1,28,0.14
4483,2023-01-04,彰化縣,埔鹽鄉,1,27,0.29
4600,2023-01-02,彰化縣,埔鹽鄉,1,26,0.14
7148,2022-11-05,彰化縣,埔鹽鄉,1,25,0.14
7573,2022-10-29,彰化縣,埔鹽鄉,1,24,0.29
7711,2022-10-27,彰化縣,埔鹽鄉,1,23,0.14
8503,2022-10-16,彰化縣,埔鹽鄉,1,22,0.14
8989,2022-10-09,彰化縣,埔鹽鄉,1,21,0.14
11484,2022-08-22,彰化縣,埔鹽鄉,1,20,0.14
12001,2022-08-08,彰化縣,埔鹽鄉,1,19,0.14
13032,2022-07-19,彰化縣,埔鹽鄉,1,18,0.14
13649,2022-07-10,彰化縣,埔鹽鄉,1,17,0.57
13717,2022-07-09,彰化縣,埔鹽鄉,1,16,0.43
13786,2022-07-08,彰化縣,埔鹽鄉,1,15,0.29
14027,2022-07-05,彰化縣,埔鹽鄉,1,14,0.29
14478,2022-06-30,彰化縣,埔鹽鄉,1,13,0.29
14677,2022-06-28,彰化縣,埔鹽鄉,1,12,0.14
15511,2022-06-20,彰化縣,埔鹽鄉,2,11,0.57
15615,2022-06-19,彰化縣,埔鹽鄉,1,9,0.29
16114,2022-06-15,彰化縣,埔鹽鄉,1,8,0.57
16498,2022-06-12,彰化縣,埔鹽鄉,1,7,0.43
16617,2022-06-11,彰化縣,埔鹽鄉,2,6,0.43
17363,2022-06-05,彰化縣,埔鹽鄉,1,4,0.29
18088,2022-05-30,彰化縣,埔鹽鄉,1,3,0.14
19623,2022-05-10,彰化縣,埔鹽鄉,1,2,0.14
19967,2021-08-08,彰化縣,埔鹽鄉,1,1,0.14
