UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
763,2023-03-20,彰化縣,埔鹽鄉,3,10940,7.71
1064,2023-03-19,彰化縣,埔鹽鄉,5,10937,9.00
1392,2023-03-18,彰化縣,埔鹽鄉,10,10932,9.29
1735,2023-03-17,彰化縣,埔鹽鄉,11,10922,8.86
2089,2023-03-16,彰化縣,埔鹽鄉,4,10911,8.71
2442,2023-03-15,彰化縣,埔鹽鄉,13,10907,9.29
2790,2023-03-14,彰化縣,埔鹽鄉,8,10894,8.57
3148,2023-03-13,彰化縣,埔鹽鄉,12,10886,10.43
3503,2023-03-12,彰化縣,埔鹽鄉,7,10874,10.00
3853,2023-03-11,彰化縣,埔鹽鄉,7,10867,9.71
4204,2023-03-10,彰化縣,埔鹽鄉,10,10860,9.86
4561,2023-03-09,彰化縣,埔鹽鄉,8,10850,9.57
4917,2023-03-08,彰化縣,埔鹽鄉,8,10842,9.57
5273,2023-03-07,彰化縣,埔鹽鄉,21,10834,10.00
5636,2023-03-06,彰化縣,埔鹽鄉,9,10813,9.00
5995,2023-03-05,彰化縣,埔鹽鄉,5,10804,8.71
6335,2023-03-04,彰化縣,埔鹽鄉,8,10799,8.86
6690,2023-03-03,彰化縣,埔鹽鄉,8,10791,10.43
7049,2023-03-02,彰化縣,埔鹽鄉,8,10783,11.29
7414,2023-03-01,彰化縣,埔鹽鄉,11,10775,12.14
7784,2023-02-28,彰化縣,埔鹽鄉,14,10764,12.86
8150,2023-02-27,彰化縣,埔鹽鄉,7,10750,13.71
8502,2023-02-26,彰化縣,埔鹽鄉,6,10743,17.43
8852,2023-02-25,彰化縣,埔鹽鄉,19,10737,17.86
9220,2023-02-24,彰化縣,埔鹽鄉,14,10718,18.43
9583,2023-02-23,彰化縣,埔鹽鄉,14,10704,19.29
9954,2023-02-22,彰化縣,埔鹽鄉,16,10690,20.43
10328,2023-02-21,彰化縣,埔鹽鄉,20,10674,21.14
10698,2023-02-20,彰化縣,埔鹽鄉,33,10654,21.43
11075,2023-02-19,彰化縣,埔鹽鄉,9,10621,21.29
11436,2023-02-18,彰化縣,埔鹽鄉,23,10612,23.43
11803,2023-02-17,彰化縣,埔鹽鄉,20,10589,23.00
12176,2023-02-16,彰化縣,埔鹽鄉,22,10569,22.86
12550,2023-02-15,彰化縣,埔鹽鄉,21,10547,21.14
12923,2023-02-14,彰化縣,埔鹽鄉,22,10526,21.86
13295,2023-02-13,彰化縣,埔鹽鄉,32,10504,23.71
13673,2023-02-12,彰化縣,埔鹽鄉,24,10472,21.71
14031,2023-02-11,彰化縣,埔鹽鄉,20,10448,22.29
14402,2023-02-10,彰化縣,埔鹽鄉,19,10428,24.29
14776,2023-02-09,彰化縣,埔鹽鄉,10,10409,25.57
15154,2023-02-08,彰化縣,埔鹽鄉,26,10399,29.00
