UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
545,2023-03-21,彰化縣,埤頭鄉,2,9307,3.57
1052,2023-03-19,彰化縣,埤頭鄉,5,9305,5.29
1380,2023-03-18,彰化縣,埤頭鄉,5,9300,5.00
1721,2023-03-17,彰化縣,埤頭鄉,6,9295,5.71
2074,2023-03-16,彰化縣,埤頭鄉,2,9289,5.71
2428,2023-03-15,彰化縣,埤頭鄉,5,9287,7.00
2777,2023-03-14,彰化縣,埤頭鄉,6,9282,6.86
3136,2023-03-13,彰化縣,埤頭鄉,8,9276,6.86
3490,2023-03-12,彰化縣,埤頭鄉,3,9268,7.57
3840,2023-03-11,彰化縣,埤頭鄉,10,9265,8.71
4190,2023-03-10,彰化縣,埤頭鄉,6,9255,8.57
4547,2023-03-09,彰化縣,埤頭鄉,11,9249,10.43
4904,2023-03-08,彰化縣,埤頭鄉,4,9238,10.43
5259,2023-03-07,彰化縣,埤頭鄉,6,9234,11.00
5621,2023-03-06,彰化縣,埤頭鄉,13,9228,12.00
5982,2023-03-05,彰化縣,埤頭鄉,11,9215,12.14
6321,2023-03-04,彰化縣,埤頭鄉,9,9204,12.00
6675,2023-03-03,彰化縣,埤頭鄉,19,9195,12.43
7035,2023-03-02,彰化縣,埤頭鄉,11,9176,10.86
7399,2023-03-01,彰化縣,埤頭鄉,8,9165,10.43
7771,2023-02-28,彰化縣,埤頭鄉,13,9157,11.14
8135,2023-02-27,彰化縣,埤頭鄉,14,9144,10.57
8490,2023-02-26,彰化縣,埤頭鄉,10,9130,10.00
8838,2023-02-25,彰化縣,埤頭鄉,12,9120,10.00
9207,2023-02-24,彰化縣,埤頭鄉,8,9108,9.86
9569,2023-02-23,彰化縣,埤頭鄉,8,9100,10.14
9939,2023-02-22,彰化縣,埤頭鄉,13,9092,11.29
10314,2023-02-21,彰化縣,埤頭鄉,9,9079,11.00
10684,2023-02-20,彰化縣,埤頭鄉,10,9070,12.14
11061,2023-02-19,彰化縣,埤頭鄉,10,9060,13.14
11421,2023-02-18,彰化縣,埤頭鄉,11,9050,13.43
11788,2023-02-17,彰化縣,埤頭鄉,10,9039,13.71
12161,2023-02-16,彰化縣,埤頭鄉,16,9029,14.71
12535,2023-02-15,彰化縣,埤頭鄉,11,9013,13.57
12908,2023-02-14,彰化縣,埤頭鄉,17,9002,15.14
13280,2023-02-13,彰化縣,埤頭鄉,17,8985,14.14
13659,2023-02-12,彰化縣,埤頭鄉,12,8968,13.14
14016,2023-02-11,彰化縣,埤頭鄉,13,8956,13.43
14388,2023-02-10,彰化縣,埤頭鄉,17,8943,14.00
14761,2023-02-09,彰化縣,埤頭鄉,8,8926,14.43
15139,2023-02-08,彰化縣,埤頭鄉,22,8918,14.71
15519,2023-02-07,彰化縣,埤頭鄉,10,8896,13.14
15897,2023-02-06,彰化縣,埤頭鄉,10,8886,14.14
16276,2023-02-05,彰化縣,埤頭鄉,14,8876,16.57
16647,2023-02-04,彰化縣,埤頭鄉,17,8862,17.71
17027,2023-02-03,彰化縣,埤頭鄉,20,8845,18.86
17412,2023-02-02,彰化縣,埤頭鄉,10,8825,18.57
17795,2023-02-01,彰化縣,埤頭鄉,11,8815,19.00
18173,2023-01-31,彰化縣,埤頭鄉,17,8804,19.29
18557,2023-01-30,彰化縣,埤頭鄉,27,8787,18.29
18944,2023-01-29,彰化縣,埤頭鄉,22,8760,15.57
19322,2023-01-28,彰化縣,埤頭鄉,25,8738,14.29
19699,2023-01-27,彰化縣,埤頭鄉,18,8713,11.71
20079,2023-01-26,彰化縣,埤頭鄉,13,8695,11.57
20452,2023-01-25,彰化縣,埤頭鄉,13,8682,11.29
20819,2023-01-24,彰化縣,埤頭鄉,10,8669,10.86
21193,2023-01-23,彰化縣,埤頭鄉,8,8659,11.29
21561,2023-01-22,彰化縣,埤頭鄉,13,8651,12.43
21926,2023-01-21,彰化縣,埤頭鄉,7,8638,11.71
