UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
1386,2023-03-18,彰化縣,大城鄉,5,3717,3.14
1727,2023-03-17,彰化縣,大城鄉,3,3712,3.29
2081,2023-03-16,彰化縣,大城鄉,3,3709,3.43
2434,2023-03-15,彰化縣,大城鄉,3,3706,3.43
2783,2023-03-14,彰化縣,大城鄉,6,3703,3.57
3496,2023-03-12,彰化縣,大城鄉,2,3697,3.29
3846,2023-03-11,彰化縣,大城鄉,6,3695,3.29
4196,2023-03-10,彰化縣,大城鄉,4,3689,2.57
4553,2023-03-09,彰化縣,大城鄉,3,3685,2.14
4910,2023-03-08,彰化縣,大城鄉,4,3682,1.71
5265,2023-03-07,彰化縣,大城鄉,3,3678,1.43
5628,2023-03-06,彰化縣,大城鄉,1,3675,1.00
5988,2023-03-05,彰化縣,大城鄉,2,3674,1.29
6327,2023-03-04,彰化縣,大城鄉,1,3672,1.00
6682,2023-03-03,彰化縣,大城鄉,1,3671,1.43
7406,2023-03-01,彰化縣,大城鄉,2,3670,1.71
8142,2023-02-27,彰化縣,大城鄉,3,3668,2.14
8844,2023-02-25,彰化縣,大城鄉,4,3665,2.14
9575,2023-02-23,彰化縣,大城鄉,3,3661,3.00
9946,2023-02-22,彰化縣,大城鄉,2,3658,3.43
10320,2023-02-21,彰化縣,大城鄉,3,3656,3.86
10691,2023-02-20,彰化縣,大城鄉,1,3653,4.71
11067,2023-02-19,彰化縣,大城鄉,2,3652,5.00
11428,2023-02-18,彰化縣,大城鄉,5,3650,5.00
11795,2023-02-17,彰化縣,大城鄉,5,3645,5.00
12168,2023-02-16,彰化縣,大城鄉,6,3640,4.57
12542,2023-02-15,彰化縣,大城鄉,5,3634,4.43
12915,2023-02-14,彰化縣,大城鄉,9,3629,3.86
13287,2023-02-13,彰化縣,大城鄉,3,3620,3.14
13666,2023-02-12,彰化縣,大城鄉,2,3617,3.14
14023,2023-02-11,彰化縣,大城鄉,5,3615,3.29
14395,2023-02-10,彰化縣,大城鄉,2,3610,3.29
14768,2023-02-09,彰化縣,大城鄉,5,3608,4.86
15146,2023-02-08,彰化縣,大城鄉,1,3603,4.86
15525,2023-02-07,彰化縣,大城鄉,4,3602,6.86
15904,2023-02-06,彰化縣,大城鄉,3,3598,8.14
16282,2023-02-05,彰化縣,大城鄉,3,3595,8.71
16653,2023-02-04,彰化縣,大城鄉,5,3592,8.86
17033,2023-02-03,彰化縣,大城鄉,13,3587,10.00
17418,2023-02-02,彰化縣,大城鄉,5,3574,10.00
17801,2023-02-01,彰化縣,大城鄉,15,3569,10.57
18179,2023-01-31,彰化縣,大城鄉,13,3554,9.29
18564,2023-01-30,彰化縣,大城鄉,7,3541,8.86
18950,2023-01-29,彰化縣,大城鄉,4,3534,9.00
19328,2023-01-28,彰化縣,大城鄉,13,3530,9.00
19705,2023-01-27,彰化縣,大城鄉,13,3517,8.00
20085,2023-01-26,彰化縣,大城鄉,9,3504,7.00
20458,2023-01-25,彰化縣,大城鄉,6,3495,6.43
20826,2023-01-24,彰化縣,大城鄉,10,3489,6.71
21199,2023-01-23,彰化縣,大城鄉,8,3479,6.29
21567,2023-01-22,彰化縣,大城鄉,4,3471,7.43
21933,2023-01-21,彰化縣,大城鄉,6,3467,7.71
22306,2023-01-20,彰化縣,大城鄉,6,3461,7.57
22672,2023-01-19,彰化縣,大城鄉,5,3455,7.71
23045,2023-01-18,彰化縣,大城鄉,8,3450,8.86
23413,2023-01-17,彰化縣,大城鄉,7,3442,8.29
23779,2023-01-16,彰化縣,大城鄉,16,3435,8.29
24155,2023-01-15,彰化縣,大城鄉,6,3419,7.00
24520,2023-01-14,彰化縣,大城鄉,5,3413,7.00
24887,2023-01-13,彰化縣,大城鄉,7,3408,7.71
25256,2023-01-12,彰化縣,大城鄉,13,3401,7.14
25631,2023-01-11,彰化縣,大城鄉,4,3388,5.57
26007,2023-01-10,彰化縣,大城鄉,7,3384,5.57
26380,2023-01-09,彰化縣,大城鄉,7,3377,5.86
26755,2023-01-08,彰化縣,大城鄉,6,3370,6.29
27116,2023-01-07,彰化縣,大城鄉,10,3364,5.86
27487,2023-01-06,彰化縣,大城鄉,3,3354,5.14
27864,2023-01-05,彰化縣,大城鄉,2,3351,6.29
28243,2023-01-04,彰化縣,大城鄉,4,3349,6.86
28624,2023-01-03,彰化縣,大城鄉,9,3345,6.86
29005,2023-01-02,彰化縣,大城鄉,10,3336,6.57
29379,2023-01-01,彰化縣,大城鄉,3,3326,7.14
29740,2022-12-31,彰化縣,大城鄉,5,3323,7.00
30105,2022-12-30,彰化縣,大城鄉,11,3318,6.86
30479,2022-12-29,彰化縣,大城鄉,6,3307,6.00
30851,2022-12-28,彰化縣,大城鄉,4,3301,5.43
31220,2022-12-27,彰化縣,大城鄉,7,3297,5.43
31596,2022-12-26,彰化縣,大城鄉,14,3290,5.00
31965,2022-12-25,彰化縣,大城鄉,2,3276,3.29
32323,2022-12-24,彰化縣,大城鄉,4,3274,3.29
32681,2022-12-23,彰化縣,大城鄉,5,3270,3.43
33047,2022-12-22,彰化縣,大城鄉,2,3265,2.86
33413,2022-12-21,彰化縣,大城鄉,4,3263,2.71
33782,2022-12-20,彰化縣,大城鄉,4,3259,2.43
34147,2022-12-19,彰化縣,大城鄉,2,3255,2.43
34516,2022-12-18,彰化縣,大城鄉,2,3253,2.71
34864,2022-12-17,彰化縣,大城鄉,5,3251,2.71
35226,2022-12-16,彰化縣,大城鄉,1,3246,2.29
35590,2022-12-15,彰化縣,大城鄉,1,3245,3.00
35959,2022-12-14,彰化縣,大城鄉,2,3244,3.29
36318,2022-12-13,彰化縣,大城鄉,4,3242,3.14
36697,2022-12-12,彰化縣,大城鄉,4,3238,3.43
37062,2022-12-11,彰化縣,大城鄉,2,3234,3.43
37418,2022-12-10,彰化縣,大城鄉,2,3232,3.29
37788,2022-12-09,彰化縣,大城鄉,6,3230,3.43
38152,2022-12-08,彰化縣,大城鄉,3,3224,4.14
38525,2022-12-07,彰化縣,大城鄉,1,3221,5.14
38896,2022-12-06,彰化縣,大城鄉,6,3220,5.86
39269,2022-12-05,彰化縣,大城鄉,4,3214,6.14
39647,2022-12-04,彰化縣,大城鄉,1,3210,6.57
40011,2022-12-03,彰化縣,大城鄉,3,3209,7.14
40382,2022-12-02,彰化縣,大城鄉,11,3206,7.86
40747,2022-12-01,彰化縣,大城鄉,10,3195,7.00
41120,2022-11-30,彰化縣,大城鄉,6,3185,5.86
41493,2022-11-29,彰化縣,大城鄉,8,3179,5.71
41873,2022-11-28,彰化縣,大城鄉,7,3171,5.29
42249,2022-11-27,彰化縣,大城鄉,5,3164,5.00
42607,2022-11-26,彰化縣,大城鄉,8,3159,4.71
42967,2022-11-25,彰化縣,大城鄉,5,3151,4.00
43336,2022-11-24,彰化縣,大城鄉,2,3146,4.14
43705,2022-11-23,彰化縣,大城鄉,5,3144,5.14
44079,2022-11-22,彰化縣,大城鄉,5,3139,5.14
44454,2022-11-21,彰化縣,大城鄉,5,3134,5.43
44834,2022-11-20,彰化縣,大城鄉,3,3129,5.86
45200,2022-11-19,彰化縣,大城鄉,3,3126,6.57
45572,2022-11-18,彰化縣,大城鄉,6,3123,8.57
45945,2022-11-17,彰化縣,大城鄉,9,3117,9.00
46318,2022-11-16,彰化縣,大城鄉,5,3108,9.71
46700,2022-11-15,彰化縣,大城鄉,7,3103,10.14
47078,2022-11-14,彰化縣,大城鄉,8,3096,10.14
47458,2022-11-13,彰化縣,大城鄉,8,3088,9.86
47829,2022-11-12,彰化縣,大城鄉,17,3080,10.29
48206,2022-11-11,彰化縣,大城鄉,9,3063,9.57
48585,2022-11-10,彰化縣,大城鄉,14,3054,9.57
48968,2022-11-09,彰化縣,大城鄉,8,3040,9.00
49354,2022-11-08,彰化縣,大城鄉,7,3032,9.43
49739,2022-11-07,彰化縣,大城鄉,6,3025,10.00
50120,2022-11-06,彰化縣,大城鄉,11,3019,12.57
50491,2022-11-05,彰化縣,大城鄉,12,3008,11.86
50868,2022-11-04,彰化縣,大城鄉,9,2996,11.14
51254,2022-11-03,彰化縣,大城鄉,10,2987,12.71
51632,2022-11-02,彰化縣,大城鄉,11,2977,12.71
52020,2022-11-01,彰化縣,大城鄉,11,2966,14.14
