UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
5416,2023-03-22,彰化縣,大村鄉,3,178
5417,2023-03-20,彰化縣,大村鄉,40-44,1392
5418,2023-03-20,彰化縣,大村鄉,65-69,643
5419,2023-03-20,彰化縣,大村鄉,25-29,1439
5420,2023-03-19,彰化縣,大村鄉,35-39,1483
5421,2023-03-19,彰化縣,大村鄉,50-54,823
5422,2023-03-18,彰化縣,大村鄉,70+,1168
5423,2023-03-18,彰化縣,大村鄉,60-64,841
5424,2023-03-18,彰化縣,大村鄉,30-34,1354
5425,2023-03-18,彰化縣,大村鄉,0,106
5426,2023-03-18,彰化縣,大村鄉,55-59,893
5427,2023-03-17,彰化縣,大村鄉,5-9,944
5428,2023-03-17,彰化縣,大村鄉,1,183
5429,2023-03-15,彰化縣,大村鄉,45-49,1059
5430,2023-03-15,彰化縣,大村鄉,20-24,1349
5431,2023-03-15,彰化縣,大村鄉,10-14,813
5432,2023-03-13,彰化縣,大村鄉,15-19,979
5433,2023-03-12,彰化縣,大村鄉,4,169
5434,2023-02-21,彰化縣,大村鄉,2,164
