UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
105,2023-04-10,彰化縣,彰化市,1,196,0.14
388,2023-03-22,彰化縣,彰化市,1,195,0.43
415,2023-03-21,彰化縣,彰化市,1,194,0.29
567,2023-03-17,彰化縣,彰化市,1,193,0.57
684,2023-03-14,彰化縣,彰化市,2,192,0.43
727,2023-03-13,彰化縣,彰化市,1,190,0.43
1006,2023-03-07,彰化縣,彰化市,2,189,0.57
1096,2023-03-05,彰化縣,彰化市,1,187,0.29
1210,2023-03-03,彰化縣,彰化市,1,186,0.29
1544,2023-02-25,彰化縣,彰化市,1,185,0.71
1600,2023-02-24,彰化縣,彰化市,1,184,0.57
1783,2023-02-21,彰化縣,彰化市,1,183,0.43
1889,2023-02-19,彰化縣,彰化市,2,182,0.57
2252,2023-02-13,彰化縣,彰化市,2,180,0.86
2505,2023-02-09,彰化縣,彰化市,3,178,1.00
2565,2023-02-08,彰化縣,彰化市,1,175,0.57
2714,2023-02-06,彰化縣,彰化市,1,174,0.57
2839,2023-02-04,彰化縣,彰化市,2,173,0.43
3090,2023-01-31,彰化縣,彰化市,1,171,0.43
3266,2023-01-28,彰化縣,彰化市,1,170,0.71
3418,2023-01-25,彰化縣,彰化市,1,169,0.57
3475,2023-01-24,彰化縣,彰化市,2,168,0.57
3583,2023-01-22,彰化縣,彰化市,1,166,0.29
3769,2023-01-18,彰化縣,彰化市,1,165,0.43
3970,2023-01-14,彰化縣,彰化市,1,164,0.57
4031,2023-01-13,彰化縣,彰化市,1,163,0.43
4164,2023-01-10,彰化縣,彰化市,1,162,0.86
4217,2023-01-09,彰化縣,彰化市,1,161,0.71
4364,2023-01-06,彰化縣,彰化市,1,160,0.86
4416,2023-01-05,彰化縣,彰化市,1,159,0.71
4460,2023-01-04,彰化縣,彰化市,2,158,0.57
4570,2023-01-02,彰化縣,彰化市,1,156,0.43
4676,2022-12-31,彰化縣,彰化市,1,155,0.43
4850,2022-12-27,彰化縣,彰化市,1,154,0.43
4901,2022-12-26,彰化縣,彰化市,1,153,0.43
4981,2022-12-24,彰化縣,彰化市,1,152,0.29
5118,2022-12-20,彰化縣,彰化市,1,151,0.43
5275,2022-12-16,彰化縣,彰化市,1,150,0.29
5352,2022-12-14,彰化縣,彰化市,1,149,0.29
5525,2022-12-09,彰化縣,彰化市,1,148,0.57
5660,2022-12-06,彰化縣,彰化市,2,147,0.57
5691,2022-12-05,彰化縣,彰化市,1,145,0.43
5796,2022-12-02,彰化縣,彰化市,1,144,0.57
5919,2022-11-29,彰化縣,彰化市,1,143,0.57
5996,2022-11-27,彰化縣,彰化市,2,142,0.43
6112,2022-11-24,彰化縣,彰化市,1,140,0.43
6299,2022-11-20,彰化縣,彰化市,1,139,0.43
6406,2022-11-18,彰化縣,彰化市,1,138,0.29
6587,2022-11-14,彰化縣,彰化市,1,137,0.71
6766,2022-11-11,彰化縣,彰化市,2,136,0.86
6828,2022-11-10,彰化縣,彰化市,1,134,0.86
6892,2022-11-09,彰化縣,彰化市,1,133,0.86
7122,2022-11-05,彰化縣,彰化市,2,132,1.00
7179,2022-11-04,彰化縣,彰化市,2,130,0.71
