UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
357,2023-03-24,彰化縣,彰化市,1,95521,20.71
455,2023-03-21,彰化縣,彰化市,1,95520,49.86
592,2023-03-20,彰化縣,彰化市,13,95519,60.71
876,2023-03-19,彰化縣,彰化市,55,95506,68.71
1204,2023-03-18,彰化縣,彰化市,75,95451,69.86
1544,2023-03-17,彰化縣,彰化市,73,95376,71.14
1896,2023-03-16,彰化縣,彰化市,64,95303,70.71
2249,2023-03-15,彰化縣,彰化市,68,95239,73.29
2600,2023-03-14,彰化縣,彰化市,77,95171,75.43
2957,2023-03-13,彰化縣,彰化市,69,95094,77.71
3316,2023-03-12,彰化縣,彰化市,63,95025,77.71
3661,2023-03-11,彰化縣,彰化市,84,94962,77.71
4014,2023-03-10,彰化縣,彰化市,70,94878,74.86
4369,2023-03-09,彰化縣,彰化市,82,94808,79.71
4728,2023-03-08,彰化縣,彰化市,83,94726,84.86
5082,2023-03-07,彰化縣,彰化市,93,94643,94.00
5441,2023-03-06,彰化縣,彰化市,69,94550,98.57
5806,2023-03-05,彰化縣,彰化市,63,94481,102.43
6145,2023-03-04,彰化縣,彰化市,64,94418,107.43
6497,2023-03-03,彰化縣,彰化市,104,94354,116.29
6856,2023-03-02,彰化縣,彰化市,118,94250,120.14
7220,2023-03-01,彰化縣,彰化市,147,94132,121.00
7591,2023-02-28,彰化縣,彰化市,125,93985,120.86
7954,2023-02-27,彰化縣,彰化市,96,93860,123.14
8313,2023-02-26,彰化縣,彰化市,98,93764,128.43
8658,2023-02-25,彰化縣,彰化市,126,93666,134.29
9028,2023-02-24,彰化縣,彰化市,131,93540,138.14
9389,2023-02-23,彰化縣,彰化市,124,93409,143.29
9759,2023-02-22,彰化縣,彰化市,146,93285,148.14
10134,2023-02-21,彰化縣,彰化市,141,93139,151.57
10503,2023-02-20,彰化縣,彰化市,133,92998,154.00
10883,2023-02-19,彰化縣,彰化市,139,92865,164.57
11241,2023-02-18,彰化縣,彰化市,153,92726,166.43
11608,2023-02-17,彰化縣,彰化市,167,92573,165.43
11980,2023-02-16,彰化縣,彰化市,158,92406,167.14
12355,2023-02-15,彰化縣,彰化市,170,92248,167.71
12728,2023-02-14,彰化縣,彰化市,158,92078,171.57
13100,2023-02-13,彰化縣,彰化市,207,91920,182.43
13479,2023-02-12,彰化縣,彰化市,152,91713,181.29
13836,2023-02-11,彰化縣,彰化市,146,91561,182.71
14208,2023-02-10,彰化縣,彰化市,179,91415,188.14
14582,2023-02-09,彰化縣,彰化市,162,91236,197.86
14958,2023-02-08,彰化縣,彰化市,197,91074,201.86
15337,2023-02-07,彰化縣,彰化市,234,90877,210.14
15716,2023-02-06,彰化縣,彰化市,199,90643,216.00
16098,2023-02-05,彰化縣,彰化市,162,90444,226.43
16466,2023-02-04,彰化縣,彰化市,184,90282,226.86
16845,2023-02-03,彰化縣,彰化市,247,90098,236.57
17231,2023-02-02,彰化縣,彰化市,190,89851,237.14
17614,2023-02-01,彰化縣,彰化市,255,89661,240.29
17991,2023-01-31,彰化縣,彰化市,275,89406,226.57
18376,2023-01-30,彰化縣,彰化市,272,89131,209.00
18765,2023-01-29,彰化縣,彰化市,165,88859,188.57
19141,2023-01-28,彰化縣,彰化市,252,88694,176.00
19520,2023-01-27,彰化縣,彰化市,251,88442,158.57
19898,2023-01-26,彰化縣,彰化市,212,88191,148.71
20275,2023-01-25,彰化縣,彰化市,159,87979,142.14
20640,2023-01-24,彰化縣,彰化市,152,87820,141.86
21015,2023-01-23,彰化縣,彰化市,129,87668,144.86
21382,2023-01-22,彰化縣,彰化市,77,87539,150.29
21746,2023-01-21,彰化縣,彰化市,130,87462,157.71
22118,2023-01-20,彰化縣,彰化市,182,87332,165.29
22485,2023-01-19,彰化縣,彰化市,166,87150,167.57
22856,2023-01-18,彰化縣,彰化市,157,86984,169.86
23228,2023-01-17,彰化縣,彰化市,173,86827,173.71
23592,2023-01-16,彰化縣,彰化市,167,86654,181.00
23968,2023-01-15,彰化縣,彰化市,129,86487,183.71
24335,2023-01-14,彰化縣,彰化市,183,86358,185.14
24703,2023-01-13,彰化縣,彰化市,198,86175,189.71
25071,2023-01-12,彰化縣,彰化市,182,85977,193.43
25446,2023-01-11,彰化縣,彰化市,184,85795,203.43
25822,2023-01-10,彰化縣,彰化市,224,85611,213.57
26194,2023-01-09,彰化縣,彰化市,186,85387,226.29
26573,2023-01-08,彰化縣,彰化市,139,85201,236.43
26930,2023-01-07,彰化縣,彰化市,215,85062,241.14
27301,2023-01-06,彰化縣,彰化市,224,84847,239.29
27677,2023-01-05,彰化縣,彰化市,252,84623,245.00
28057,2023-01-04,彰化縣,彰化市,255,84371,246.57
28438,2023-01-03,彰化縣,彰化市,313,84116,243.57
28820,2023-01-02,彰化縣,彰化市,257,83803,230.29
29191,2023-01-01,彰化縣,彰化市,172,83546,226.29
29553,2022-12-31,彰化縣,彰化市,202,83374,221.29
29919,2022-12-30,彰化縣,彰化市,264,83172,214.71
30291,2022-12-29,彰化縣,彰化市,263,82908,202.86
30664,2022-12-28,彰化縣,彰化市,234,82645,187.43
31034,2022-12-27,彰化縣,彰化市,220,82411,179.29
31411,2022-12-26,彰化縣,彰化市,229,82191,173.29
31783,2022-12-25,彰化縣,彰化市,137,81962,163.29
32137,2022-12-24,彰化縣,彰化市,156,81825,153.86
32497,2022-12-23,彰化縣,彰化市,181,81669,147.43
32861,2022-12-22,彰化縣,彰化市,155,81488,137.71
33228,2022-12-21,彰化縣,彰化市,177,81333,135.43
33598,2022-12-20,彰化縣,彰化市,178,81156,128.86
33961,2022-12-19,彰化縣,彰化市,159,80978,126.57
34332,2022-12-18,彰化縣,彰化市,71,80819,125.29
34680,2022-12-17,彰化縣,彰化市,111,80748,129.86
35040,2022-12-16,彰化縣,彰化市,113,80637,132.14
35405,2022-12-15,彰化縣,彰化市,139,80524,134.00
35776,2022-12-14,彰化縣,彰化市,131,80385,134.71
36135,2022-12-13,彰化縣,彰化市,162,80254,136.00
36509,2022-12-12,彰化縣,彰化市,150,80092,139.57
36881,2022-12-11,彰化縣,彰化市,103,79942,143.00
37232,2022-12-10,彰化縣,彰化市,127,79839,147.71
37601,2022-12-09,彰化縣,彰化市,126,79712,149.00
37966,2022-12-08,彰化縣,彰化市,144,79586,151.57
38339,2022-12-07,彰化縣,彰化市,140,79442,150.14
38711,2022-12-06,彰化縣,彰化市,187,79302,153.14
39082,2022-12-05,彰化縣,彰化市,174,79115,153.57
39460,2022-12-04,彰化縣,彰化市,136,78941,157.29
39826,2022-12-03,彰化縣,彰化市,136,78805,157.71
40195,2022-12-02,彰化縣,彰化市,144,78669,158.43
40565,2022-12-01,彰化縣,彰化市,134,78525,157.00
40934,2022-11-30,彰化縣,彰化市,161,78391,159.86
41305,2022-11-29,彰化縣,彰化市,190,78230,156.57
41685,2022-11-28,彰化縣,彰化市,200,78040,155.57
42063,2022-11-27,彰化縣,彰化市,139,77840,151.00
42424,2022-11-26,彰化縣,彰化市,141,77701,148.14
42780,2022-11-25,彰化縣,彰化市,134,77560,151.00
43151,2022-11-24,彰化縣,彰化市,154,77426,154.71
43521,2022-11-23,彰化縣,彰化市,138,77272,161.57
43893,2022-11-22,彰化縣,彰化市,183,77134,168.00
44266,2022-11-21,彰化縣,彰化市,168,76951,168.29
44649,2022-11-20,彰化縣,彰化市,119,76783,170.57
45012,2022-11-19,彰化縣,彰化市,161,76664,178.29
45386,2022-11-18,彰化縣,彰化市,160,76503,179.57
45758,2022-11-17,彰化縣,彰化市,202,76343,180.00
46131,2022-11-16,彰化縣,彰化市,183,76141,179.43
46511,2022-11-15,彰化縣,彰化市,185,75958,185.86
46892,2022-11-14,彰化縣,彰化市,184,75773,192.29
47273,2022-11-13,彰化縣,彰化市,173,75589,199.14
47643,2022-11-12,彰化縣,彰化市,170,75416,195.86
48020,2022-11-11,彰化縣,彰化市,163,75246,208.00
48399,2022-11-10,彰化縣,彰化市,198,75083,219.14
48782,2022-11-09,彰化縣,彰化市,228,74885,231.71
49165,2022-11-08,彰化縣,彰化市,230,74657,239.14
49550,2022-11-07,彰化縣,彰化市,232,74427,261.14
49935,2022-11-06,彰化縣,彰化市,150,74195,285.86
50304,2022-11-05,彰化縣,彰化市,255,74045,295.00
50679,2022-11-04,彰化縣,彰化市,241,73790,305.43
51065,2022-11-03,彰化縣,彰化市,286,73549,325.57
51445,2022-11-02,彰化縣,彰化市,280,73263,345.29
51831,2022-11-01,彰化縣,彰化市,384,72983,362.00
52216,2022-10-31,彰化縣,彰化市,405,72599,375.14
52599,2022-10-30,彰化縣,彰化市,214,72194,386.29
52978,2022-10-29,彰化縣,彰化市,328,71980,399.57
53357,2022-10-28,彰化縣,彰化市,382,71652,406.43
53744,2022-10-27,彰化縣,彰化市,424,71270,412.43
54131,2022-10-26,彰化縣,彰化市,397,70846,411.86
54515,2022-10-25,彰化縣,彰化市,476,70449,419.29
54904,2022-10-24,彰化縣,彰化市,483,69973,433.71
55294,2022-10-23,彰化縣,彰化市,307,69490,437.00
55671,2022-10-22,彰化縣,彰化市,376,69183,447.71
56056,2022-10-21,彰化縣,彰化市,424,68807,460.71
56446,2022-10-20,彰化縣,彰化市,420,68383,469.71
56831,2022-10-19,彰化縣,彰化市,449,67963,476.86
57218,2022-10-18,彰化縣,彰化市,577,67514,488.43
57608,2022-10-17,彰化縣,彰化市,506,66937,487.29
57998,2022-10-16,彰化縣,彰化市,382,66431,480.29
