UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
506,2023-03-21,彰化縣,溪州鄉,1,8364,4.86
944,2023-03-19,彰化縣,溪州鄉,7,8363,6.71
1272,2023-03-18,彰化縣,溪州鄉,8,8356,6.29
1612,2023-03-17,彰化縣,溪州鄉,4,8348,5.71
1964,2023-03-16,彰化縣,溪州鄉,8,8344,6.57
2317,2023-03-15,彰化縣,溪州鄉,6,8336,6.29
2668,2023-03-14,彰化縣,溪州鄉,5,8330,6.14
3025,2023-03-13,彰化縣,溪州鄉,9,8325,6.43
3384,2023-03-12,彰化縣,溪州鄉,4,8316,5.57
3729,2023-03-11,彰化縣,溪州鄉,4,8312,5.29
4082,2023-03-10,彰化縣,溪州鄉,10,8308,4.86
4437,2023-03-09,彰化縣,溪州鄉,6,8298,4.71
4796,2023-03-08,彰化縣,溪州鄉,5,8292,6.14
5150,2023-03-07,彰化縣,溪州鄉,7,8287,6.29
5509,2023-03-06,彰化縣,溪州鄉,3,8280,6.43
5874,2023-03-05,彰化縣,溪州鄉,2,8277,6.29
6213,2023-03-04,彰化縣,溪州鄉,1,8275,6.43
6565,2023-03-03,彰化縣,溪州鄉,9,8274,7.71
6924,2023-03-02,彰化縣,溪州鄉,16,8265,8.00
7288,2023-03-01,彰化縣,溪州鄉,6,8249,6.86
7659,2023-02-28,彰化縣,溪州鄉,8,8243,7.86
8022,2023-02-27,彰化縣,溪州鄉,2,8235,8.86
8381,2023-02-26,彰化縣,溪州鄉,3,8233,11.43
8726,2023-02-25,彰化縣,溪州鄉,10,8230,11.71
9096,2023-02-24,彰化縣,溪州鄉,11,8220,12.43
9457,2023-02-23,彰化縣,溪州鄉,8,8209,12.57
9827,2023-02-22,彰化縣,溪州鄉,13,8201,13.14
10202,2023-02-21,彰化縣,溪州鄉,15,8188,13.14
10571,2023-02-20,彰化縣,溪州鄉,20,8173,12.57
10951,2023-02-19,彰化縣,溪州鄉,5,8153,11.57
11309,2023-02-18,彰化縣,溪州鄉,15,8148,12.43
11676,2023-02-17,彰化縣,溪州鄉,12,8133,11.57
12048,2023-02-16,彰化縣,溪州鄉,12,8121,12.57
12423,2023-02-15,彰化縣,溪州鄉,13,8109,11.86
12796,2023-02-14,彰化縣,溪州鄉,11,8096,12.43
13168,2023-02-13,彰化縣,溪州鄉,13,8085,13.14
13547,2023-02-12,彰化縣,溪州鄉,11,8072,12.86
13904,2023-02-11,彰化縣,溪州鄉,9,8061,12.43
14276,2023-02-10,彰化縣,溪州鄉,19,8052,13.00
