UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
5359,2023-06-14,彰化縣,溪湖鎮,20-24,1311
5360,2023-03-23,彰化縣,溪湖鎮,30-34,1528
5361,2023-03-20,彰化縣,溪湖鎮,25-29,1605
5362,2023-03-20,彰化縣,溪湖鎮,40-44,1634
5363,2023-03-19,彰化縣,溪湖鎮,45-49,1241
5364,2023-03-19,彰化縣,溪湖鎮,60-64,1035
5365,2023-03-19,彰化縣,溪湖鎮,70+,1507
5366,2023-03-19,彰化縣,溪湖鎮,15-19,1204
5367,2023-03-18,彰化縣,溪湖鎮,3,214
5368,2023-03-18,彰化縣,溪湖鎮,5-9,1294
5369,2023-03-18,彰化縣,溪湖鎮,35-39,1582
5370,2023-03-18,彰化縣,溪湖鎮,4,210
5371,2023-03-17,彰化縣,溪湖鎮,50-54,1076
5372,2023-03-17,彰化縣,溪湖鎮,65-69,777
5373,2023-03-16,彰化縣,溪湖鎮,10-14,1288
5374,2023-03-15,彰化縣,溪湖鎮,2,212
5375,2023-03-13,彰化縣,溪湖鎮,55-59,1052
5376,2023-03-07,彰化縣,溪湖鎮,0,150
5377,2023-02-22,彰化縣,溪湖鎮,1,164
