UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
697,2023-03-14,彰化縣,溪湖鎮,1,39,0.14
2133,2023-02-15,彰化縣,溪湖鎮,1,38,0.14
4179,2023-01-10,彰化縣,溪湖鎮,1,37,0.29
4470,2023-01-04,彰化縣,溪湖鎮,1,36,0.29
4528,2023-01-03,彰化縣,溪湖鎮,1,35,0.14
4990,2022-12-24,彰化縣,溪湖鎮,1,34,0.57
5095,2022-12-21,彰化縣,溪湖鎮,1,33,0.57
5131,2022-12-20,彰化縣,溪湖鎮,1,32,0.43
5174,2022-12-19,彰化縣,溪湖鎮,1,31,0.29
5323,2022-12-15,彰化縣,溪湖鎮,1,30,0.14
5733,2022-12-04,彰化縣,溪湖鎮,1,29,0.14
6002,2022-11-27,彰化縣,溪湖鎮,1,28,0.29
6261,2022-11-21,彰化縣,溪湖鎮,1,27,0.29
6461,2022-11-17,彰化縣,溪湖鎮,1,26,0.29
6600,2022-11-14,彰化縣,溪湖鎮,1,25,0.14
7978,2022-10-23,彰化縣,溪湖鎮,1,24,0.14
10865,2022-09-06,彰化縣,溪湖鎮,1,23,0.14
12352,2022-07-31,彰化縣,溪湖鎮,1,22,0.14
12788,2022-07-23,彰化縣,溪湖鎮,1,21,0.29
12959,2022-07-20,彰化縣,溪湖鎮,1,20,0.57
13209,2022-07-16,彰化縣,溪湖鎮,2,19,0.43
13353,2022-07-14,彰化縣,溪湖鎮,1,17,0.14
14011,2022-07-05,彰化縣,溪湖鎮,1,16,0.57
14369,2022-07-01,彰化縣,溪湖鎮,1,15,0.57
14461,2022-06-30,彰化縣,溪湖鎮,1,14,0.43
14563,2022-06-29,彰化縣,溪湖鎮,1,13,0.29
14659,2022-06-28,彰化縣,溪湖鎮,1,12,0.29
15264,2022-06-22,彰化縣,溪湖鎮,1,11,0.29
15713,2022-06-18,彰化縣,溪湖鎮,1,10,0.57
16087,2022-06-15,彰化縣,溪湖鎮,1,9,0.43
16223,2022-06-14,彰化縣,溪湖鎮,1,8,0.29
16472,2022-06-12,彰化縣,溪湖鎮,1,7,0.29
17215,2022-06-06,彰化縣,溪湖鎮,1,6,0.29
17937,2022-05-31,彰化縣,溪湖鎮,1,5,0.14
20047,2021-07-19,彰化縣,溪湖鎮,1,4,0.14
20306,2021-06-21,彰化縣,溪湖鎮,1,3,0.14
20501,2021-06-09,彰化縣,溪湖鎮,1,2,0.14
20690,2021-05-31,彰化縣,溪湖鎮,1,1,0.14
