UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
119,2023-06-14,彰化縣,溪湖鎮,1,19084,0.14
391,2023-03-23,彰化縣,溪湖鎮,1,19083,5.43
501,2023-03-21,彰化縣,溪湖鎮,1,19082,7.71
652,2023-03-20,彰化縣,溪湖鎮,4,19081,9.29
938,2023-03-19,彰化縣,溪湖鎮,9,19077,11.14
1266,2023-03-18,彰化縣,溪湖鎮,10,19068,10.57
1606,2023-03-17,彰化縣,溪湖鎮,13,19058,10.57
1958,2023-03-16,彰化縣,溪湖鎮,7,19045,10.14
2311,2023-03-15,彰化縣,溪湖鎮,10,19038,10.57
2662,2023-03-14,彰化縣,溪湖鎮,12,19028,10.71
3019,2023-03-13,彰化縣,溪湖鎮,17,19016,10.14
3378,2023-03-12,彰化縣,溪湖鎮,5,18999,10.71
3723,2023-03-11,彰化縣,溪湖鎮,10,18994,11.86
4076,2023-03-10,彰化縣,溪湖鎮,10,18984,13.86
4431,2023-03-09,彰化縣,溪湖鎮,10,18974,16.86
4790,2023-03-08,彰化縣,溪湖鎮,11,18964,17.43
5144,2023-03-07,彰化縣,溪湖鎮,8,18953,20.71
5503,2023-03-06,彰化縣,溪湖鎮,21,18945,22.43
5868,2023-03-05,彰化縣,溪湖鎮,13,18924,22.86
6207,2023-03-04,彰化縣,溪湖鎮,24,18911,24.00
6559,2023-03-03,彰化縣,溪湖鎮,31,18887,24.14
6918,2023-03-02,彰化縣,溪湖鎮,14,18856,23.29
7282,2023-03-01,彰化縣,溪湖鎮,34,18842,25.00
7653,2023-02-28,彰化縣,溪湖鎮,20,18808,23.86
8016,2023-02-27,彰化縣,溪湖鎮,24,18788,26.71
8375,2023-02-26,彰化縣,溪湖鎮,21,18764,26.86
8720,2023-02-25,彰化縣,溪湖鎮,25,18743,26.43
9090,2023-02-24,彰化縣,溪湖鎮,25,18718,26.29
9451,2023-02-23,彰化縣,溪湖鎮,26,18693,27.00
9821,2023-02-22,彰化縣,溪湖鎮,26,18667,26.86
10196,2023-02-21,彰化縣,溪湖鎮,40,18641,31.71
10565,2023-02-20,彰化縣,溪湖鎮,25,18601,32.86
10945,2023-02-19,彰化縣,溪湖鎮,18,18576,34.43
11303,2023-02-18,彰化縣,溪湖鎮,24,18558,35.57
11670,2023-02-17,彰化縣,溪湖鎮,30,18534,38.14
12042,2023-02-16,彰化縣,溪湖鎮,25,18504,40.71
12417,2023-02-15,彰化縣,溪湖鎮,60,18479,42.57
12790,2023-02-14,彰化縣,溪湖鎮,48,18419,38.57
13162,2023-02-13,彰化縣,溪湖鎮,36,18371,38.57
13541,2023-02-12,彰化縣,溪湖鎮,26,18335,39.71
13898,2023-02-11,彰化縣,溪湖鎮,42,18309,39.14
14270,2023-02-10,彰化縣,溪湖鎮,48,18267,37.71
14644,2023-02-09,彰化縣,溪湖鎮,38,18219,37.71
15020,2023-02-08,彰化縣,溪湖鎮,32,18181,39.14
15399,2023-02-07,彰化縣,溪湖鎮,48,18149,41.14
15778,2023-02-06,彰化縣,溪湖鎮,44,18101,42.57
16160,2023-02-05,彰化縣,溪湖鎮,22,18057,42.57
16528,2023-02-04,彰化縣,溪湖鎮,32,18035,43.57
16907,2023-02-03,彰化縣,溪湖鎮,48,18003,45.86
17293,2023-02-02,彰化縣,溪湖鎮,48,17955,45.43
17676,2023-02-01,彰化縣,溪湖鎮,46,17907,44.57
18053,2023-01-31,彰化縣,溪湖鎮,58,17861,42.14
18438,2023-01-30,彰化縣,溪湖鎮,44,17803,41.57
