UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
5568,2023-03-20,彰化縣,田中鎮,20-24,921
5569,2023-03-20,彰化縣,田中鎮,15-19,937
5570,2023-03-19,彰化縣,田中鎮,25-29,1021
5571,2023-03-19,彰化縣,田中鎮,40-44,1117
5572,2023-03-18,彰化縣,田中鎮,70+,1747
5573,2023-03-17,彰化縣,田中鎮,10-14,783
5574,2023-03-16,彰化縣,田中鎮,30-34,1006
5575,2023-03-16,彰化縣,田中鎮,60-64,789
5576,2023-03-15,彰化縣,田中鎮,45-49,901
5577,2023-03-15,彰化縣,田中鎮,50-54,863
5578,2023-03-15,彰化縣,田中鎮,35-39,1042
5579,2023-03-14,彰化縣,田中鎮,4,130
5580,2023-03-14,彰化縣,田中鎮,5-9,750
5581,2023-03-14,彰化縣,田中鎮,65-69,708
5582,2023-03-12,彰化縣,田中鎮,55-59,952
5583,2023-03-11,彰化縣,田中鎮,2,155
5584,2023-03-08,彰化縣,田中鎮,3,115
5585,2023-02-24,彰化縣,田中鎮,0,95
5586,2023-02-22,彰化縣,田中鎮,1,148
