UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
752,2023-03-20,彰化縣,田尾鄉,2,8250,7.14
1051,2023-03-19,彰化縣,田尾鄉,7,8248,7.57
1379,2023-03-18,彰化縣,田尾鄉,7,8241,8.14
1720,2023-03-17,彰化縣,田尾鄉,10,8234,7.86
2073,2023-03-16,彰化縣,田尾鄉,6,8224,6.86
2427,2023-03-15,彰化縣,田尾鄉,7,8218,6.43
2776,2023-03-14,彰化縣,田尾鄉,11,8211,6.57
3135,2023-03-13,彰化縣,田尾鄉,5,8200,6.57
3489,2023-03-12,彰化縣,田尾鄉,11,8195,7.43
3839,2023-03-11,彰化縣,田尾鄉,5,8184,6.29
4189,2023-03-10,彰化縣,田尾鄉,3,8179,6.71
4546,2023-03-09,彰化縣,田尾鄉,3,8176,7.29
4903,2023-03-08,彰化縣,田尾鄉,8,8173,8.86
5258,2023-03-07,彰化縣,田尾鄉,11,8165,9.00
5620,2023-03-06,彰化縣,田尾鄉,11,8154,9.29
5981,2023-03-05,彰化縣,田尾鄉,3,8143,9.43
6320,2023-03-04,彰化縣,田尾鄉,8,8140,9.71
6674,2023-03-03,彰化縣,田尾鄉,7,8132,10.14
7034,2023-03-02,彰化縣,田尾鄉,14,8125,10.00
7398,2023-03-01,彰化縣,田尾鄉,9,8111,9.14
7770,2023-02-28,彰化縣,田尾鄉,13,8102,9.43
8134,2023-02-27,彰化縣,田尾鄉,12,8089,9.71
8489,2023-02-26,彰化縣,田尾鄉,5,8077,10.29
8837,2023-02-25,彰化縣,田尾鄉,11,8072,10.29
9206,2023-02-24,彰化縣,田尾鄉,6,8061,10.57
9568,2023-02-23,彰化縣,田尾鄉,8,8055,11.29
9938,2023-02-22,彰化縣,田尾鄉,11,8047,12.00
10313,2023-02-21,彰化縣,田尾鄉,15,8036,13.00
10683,2023-02-20,彰化縣,田尾鄉,16,8021,13.43
11060,2023-02-19,彰化縣,田尾鄉,5,8005,13.71
11420,2023-02-18,彰化縣,田尾鄉,13,8000,14.71
11787,2023-02-17,彰化縣,田尾鄉,11,7987,15.00
12160,2023-02-16,彰化縣,田尾鄉,13,7976,15.86
12534,2023-02-15,彰化縣,田尾鄉,18,7963,16.14
12907,2023-02-14,彰化縣,田尾鄉,18,7945,15.29
13279,2023-02-13,彰化縣,田尾鄉,18,7927,14.57
13658,2023-02-12,彰化縣,田尾鄉,12,7909,14.43
14015,2023-02-11,彰化縣,田尾鄉,15,7897,15.71
14387,2023-02-10,彰化縣,田尾鄉,17,7882,15.86
14760,2023-02-09,彰化縣,田尾鄉,15,7865,16.86
15138,2023-02-08,彰化縣,田尾鄉,12,7850,17.29
15518,2023-02-07,彰化縣,田尾鄉,13,7838,19.71
15896,2023-02-06,彰化縣,田尾鄉,17,7825,22.43
16275,2023-02-05,彰化縣,田尾鄉,21,7808,24.14
16646,2023-02-04,彰化縣,田尾鄉,16,7787,24.57
17026,2023-02-03,彰化縣,田尾鄉,24,7771,25.71
17411,2023-02-02,彰化縣,田尾鄉,18,7747,24.43
17794,2023-02-01,彰化縣,田尾鄉,29,7729,24.43
18172,2023-01-31,彰化縣,田尾鄉,32,7700,22.57
18556,2023-01-30,彰化縣,田尾鄉,29,7668,19.86
18943,2023-01-29,彰化縣,田尾鄉,24,7639,18.29
19321,2023-01-28,彰化縣,田尾鄉,24,7615,16.57
19698,2023-01-27,彰化縣,田尾鄉,15,7591,16.14
20078,2023-01-26,彰化縣,田尾鄉,18,7576,15.86
20451,2023-01-25,彰化縣,田尾鄉,16,7558,16.14
20818,2023-01-24,彰化縣,田尾鄉,13,7542,15.57
21192,2023-01-23,彰化縣,田尾鄉,18,7529,15.43
21560,2023-01-22,彰化縣,田尾鄉,12,7511,16.14
21925,2023-01-21,彰化縣,田尾鄉,21,7499,16.71
22298,2023-01-20,彰化縣,田尾鄉,13,7478,15.00
22664,2023-01-19,彰化縣,田尾鄉,20,7465,15.57
23037,2023-01-18,彰化縣,田尾鄉,12,7445,14.14
23405,2023-01-17,彰化縣,田尾鄉,12,7433,14.14
23772,2023-01-16,彰化縣,田尾鄉,23,7421,13.43
24147,2023-01-15,彰化縣,田尾鄉,16,7398,11.86
24513,2023-01-14,彰化縣,田尾鄉,9,7382,10.14
24880,2023-01-13,彰化縣,田尾鄉,17,7373,10.29
25249,2023-01-12,彰化縣,田尾鄉,10,7356,9.71
25624,2023-01-11,彰化縣,田尾鄉,12,7346,11.43
26000,2023-01-10,彰化縣,田尾鄉,7,7334,11.71
26373,2023-01-09,彰化縣,田尾鄉,12,7327,15.00
26748,2023-01-08,彰化縣,田尾鄉,4,7315,16.57
27109,2023-01-07,彰化縣,田尾鄉,10,7311,18.57
27480,2023-01-06,彰化縣,田尾鄉,13,7301,20.57
27857,2023-01-05,彰化縣,田尾鄉,22,7288,21.57
28236,2023-01-04,彰化縣,田尾鄉,14,7266,21.57
28617,2023-01-03,彰化縣,田尾鄉,30,7252,22.00
28997,2023-01-02,彰化縣,田尾鄉,23,7222,23.29
29371,2023-01-01,彰化縣,田尾鄉,18,7199,22.86
29732,2022-12-31,彰化縣,田尾鄉,24,7181,22.57
30097,2022-12-30,彰化縣,田尾鄉,20,7157,20.43
30472,2022-12-29,彰化縣,田尾鄉,22,7137,19.57
30843,2022-12-28,彰化縣,田尾鄉,17,7115,19.00
31213,2022-12-27,彰化縣,田尾鄉,39,7098,17.86
31589,2022-12-26,彰化縣,田尾鄉,20,7059,14.00
31958,2022-12-25,彰化縣,田尾鄉,16,7039,12.71
32315,2022-12-24,彰化縣,田尾鄉,9,7023,12.57
32674,2022-12-23,彰化縣,田尾鄉,14,7014,12.86
33040,2022-12-22,彰化縣,田尾鄉,18,7000,13.57
33406,2022-12-21,彰化縣,田尾鄉,9,6982,13.71
33775,2022-12-20,彰化縣,田尾鄉,12,6973,13.29
34140,2022-12-19,彰化縣,田尾鄉,11,6961,12.29
34509,2022-12-18,彰化縣,田尾鄉,15,6950,11.29
