UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
936,2023-03-19,彰化縣,福興鄉,6,18603,11.00
1264,2023-03-18,彰化縣,福興鄉,15,18597,11.43
1604,2023-03-17,彰化縣,福興鄉,12,18582,11.43
1956,2023-03-16,彰化縣,福興鄉,5,18570,11.86
2309,2023-03-15,彰化縣,福興鄉,12,18565,13.29
2660,2023-03-14,彰化縣,福興鄉,17,18553,12.71
3017,2023-03-13,彰化縣,福興鄉,10,18536,12.71
3376,2023-03-12,彰化縣,福興鄉,9,18526,14.29
3721,2023-03-11,彰化縣,福興鄉,15,18517,15.43
4074,2023-03-10,彰化縣,福興鄉,15,18502,17.86
4429,2023-03-09,彰化縣,福興鄉,15,18487,19.14
4788,2023-03-08,彰化縣,福興鄉,8,18472,20.86
5142,2023-03-07,彰化縣,福興鄉,17,18464,24.57
5501,2023-03-06,彰化縣,福興鄉,21,18447,26.43
5866,2023-03-05,彰化縣,福興鄉,17,18426,28.29
6205,2023-03-04,彰化縣,福興鄉,32,18409,29.00
6557,2023-03-03,彰化縣,福興鄉,24,18377,28.29
6916,2023-03-02,彰化縣,福興鄉,27,18353,28.14
7280,2023-03-01,彰化縣,福興鄉,34,18326,28.29
7651,2023-02-28,彰化縣,福興鄉,30,18292,27.57
8014,2023-02-27,彰化縣,福興鄉,34,18262,28.00
8373,2023-02-26,彰化縣,福興鄉,22,18228,27.00
8718,2023-02-25,彰化縣,福興鄉,27,18206,26.86
9088,2023-02-24,彰化縣,福興鄉,23,18179,28.14
9449,2023-02-23,彰化縣,福興鄉,28,18156,29.57
9819,2023-02-22,彰化縣,福興鄉,29,18128,29.57
10194,2023-02-21,彰化縣,福興鄉,33,18099,30.00
10563,2023-02-20,彰化縣,福興鄉,27,18066,31.43
10943,2023-02-19,彰化縣,福興鄉,21,18039,37.57
11301,2023-02-18,彰化縣,福興鄉,36,18018,37.00
11668,2023-02-17,彰化縣,福興鄉,33,17982,38.57
12040,2023-02-16,彰化縣,福興鄉,28,17949,36.29
12415,2023-02-15,彰化縣,福興鄉,32,17921,38.29
12788,2023-02-14,彰化縣,福興鄉,43,17889,39.86
13160,2023-02-13,彰化縣,福興鄉,70,17846,42.43
13539,2023-02-12,彰化縣,福興鄉,17,17776,38.14
13896,2023-02-11,彰化縣,福興鄉,47,17759,41.14
14268,2023-02-10,彰化縣,福興鄉,17,17712,41.71
14642,2023-02-09,彰化縣,福興鄉,42,17695,46.57
15018,2023-02-08,彰化縣,福興鄉,43,17653,49.29
15397,2023-02-07,彰化縣,福興鄉,61,17610,53.14
15776,2023-02-06,彰化縣,福興鄉,40,17549,54.71
16158,2023-02-05,彰化縣,福興鄉,38,17509,59.43
16526,2023-02-04,彰化縣,福興鄉,51,17471,61.86
16905,2023-02-03,彰化縣,福興鄉,51,17420,61.71
17291,2023-02-02,彰化縣,福興鄉,61,17369,64.57
17674,2023-02-01,彰化縣,福興鄉,70,17308,63.14
18051,2023-01-31,彰化縣,福興鄉,72,17238,58.57
18436,2023-01-30,彰化縣,福興鄉,73,17166,52.57
18825,2023-01-29,彰化縣,福興鄉,55,17093,46.14
19201,2023-01-28,彰化縣,福興鄉,50,17038,41.57
19580,2023-01-27,彰化縣,福興鄉,71,16988,39.29
19958,2023-01-26,彰化縣,福興鄉,51,16917,36.57
20335,2023-01-25,彰化縣,福興鄉,38,16866,33.57
20700,2023-01-24,彰化縣,福興鄉,30,16828,32.43
21075,2023-01-23,彰化縣,福興鄉,28,16798,32.57
21442,2023-01-22,彰化縣,福興鄉,23,16770,34.14
21806,2023-01-21,彰化縣,福興鄉,34,16747,34.57
22178,2023-01-20,彰化縣,福興鄉,52,16713,36.29
22545,2023-01-19,彰化縣,福興鄉,30,16661,31.43
22916,2023-01-18,彰化縣,福興鄉,30,16631,32.57
23288,2023-01-17,彰化縣,福興鄉,31,16601,34.29
23652,2023-01-16,彰化縣,福興鄉,39,16570,34.71
24028,2023-01-15,彰化縣,福興鄉,26,16531,36.57
24395,2023-01-14,彰化縣,福興鄉,46,16505,36.29
24763,2023-01-13,彰化縣,福興鄉,18,16459,33.43
25131,2023-01-12,彰化縣,福興鄉,38,16441,36.86
25506,2023-01-11,彰化縣,福興鄉,42,16403,38.43
25882,2023-01-10,彰化縣,福興鄉,34,16361,38.00
26254,2023-01-09,彰化縣,福興鄉,52,16327,39.71
26633,2023-01-08,彰化縣,福興鄉,24,16275,38.29
26990,2023-01-07,彰化縣,福興鄉,26,16251,39.71
27361,2023-01-06,彰化縣,福興鄉,42,16225,43.71
27737,2023-01-05,彰化縣,福興鄉,49,16183,44.57
28117,2023-01-04,彰化縣,福興鄉,39,16134,46.71
28498,2023-01-03,彰化縣,福興鄉,46,16095,48.57
28880,2023-01-02,彰化縣,福興鄉,42,16049,48.57
