UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
1179,2023-03-19,彰化縣,線西鄉,1,6547,4.14
1515,2023-03-18,彰化縣,線西鄉,2,6546,5.86
1867,2023-03-17,彰化縣,線西鄉,3,6544,6.43
2215,2023-03-16,彰化縣,線西鄉,4,6541,8.00
2569,2023-03-15,彰化縣,線西鄉,5,6537,8.00
2923,2023-03-14,彰化縣,線西鄉,5,6532,8.14
3282,2023-03-13,彰化縣,線西鄉,9,6527,8.57
3630,2023-03-12,彰化縣,線西鄉,13,6518,7.71
3986,2023-03-11,彰化縣,線西鄉,6,6505,6.86
4338,2023-03-10,彰化縣,線西鄉,14,6499,7.00
4691,2023-03-09,彰化縣,線西鄉,4,6485,5.71
5050,2023-03-08,彰化縣,線西鄉,6,6481,6.29
5406,2023-03-07,彰化縣,線西鄉,8,6475,6.57
5771,2023-03-06,彰化縣,線西鄉,3,6467,6.00
6115,2023-03-05,彰化縣,線西鄉,7,6464,7.14
6468,2023-03-04,彰化縣,線西鄉,7,6457,6.29
6823,2023-03-03,彰化縣,線西鄉,5,6450,6.00
7187,2023-03-02,彰化縣,線西鄉,8,6445,6.57
7553,2023-03-01,彰化縣,線西鄉,8,6437,6.00
7920,2023-02-28,彰化縣,線西鄉,4,6429,6.71
8279,2023-02-27,彰化縣,線西鄉,11,6425,7.43
8627,2023-02-26,彰化縣,線西鄉,1,6414,7.00
8994,2023-02-25,彰化縣,線西鄉,5,6413,8.29
9356,2023-02-24,彰化縣,線西鄉,9,6408,8.86
9723,2023-02-23,彰化縣,線西鄉,4,6399,8.57
10098,2023-02-22,彰化縣,線西鄉,13,6395,9.29
10470,2023-02-21,彰化縣,線西鄉,9,6382,8.14
10843,2023-02-20,彰化縣,線西鄉,8,6373,7.43
11204,2023-02-19,彰化縣,線西鄉,10,6365,8.29
11573,2023-02-18,彰化縣,線西鄉,9,6355,8.00
11945,2023-02-17,彰化縣,線西鄉,7,6346,7.57
12319,2023-02-16,彰化縣,線西鄉,9,6339,8.14
12691,2023-02-15,彰化縣,線西鄉,5,6330,8.00
13066,2023-02-14,彰化縣,線西鄉,4,6325,8.00
13441,2023-02-13,彰化縣,線西鄉,14,6321,9.29
13805,2023-02-12,彰化縣,線西鄉,8,6307,10.29
14176,2023-02-11,彰化縣,線西鄉,6,6299,9.86
14544,2023-02-10,彰化縣,線西鄉,11,6293,10.57
14919,2023-02-09,彰化縣,線西鄉,8,6282,10.29
15297,2023-02-08,彰化縣,線西鄉,5,6274,11.29
15679,2023-02-07,彰化縣,線西鄉,13,6269,13.43
16058,2023-02-06,彰化縣,線西鄉,21,6256,13.29
16429,2023-02-05,彰化縣,線西鄉,5,6235,14.14
16807,2023-02-04,彰化縣,線西鄉,11,6230,14.57
17188,2023-02-03,彰化縣,線西鄉,9,6219,16.57
17573,2023-02-02,彰化縣,線西鄉,15,6210,17.29
17954,2023-02-01,彰化縣,線西鄉,20,6195,18.00
18337,2023-01-31,彰化縣,線西鄉,12,6175,17.00
18722,2023-01-30,彰化縣,線西鄉,27,6163,17.86
19106,2023-01-29,彰化縣,線西鄉,8,6136,15.86
19484,2023-01-28,彰化縣,線西鄉,25,6128,15.57
19860,2023-01-27,彰化縣,線西鄉,14,6103,13.43
20236,2023-01-26,彰化縣,線西鄉,20,6089,13.71
20609,2023-01-25,彰化縣,線西鄉,13,6069,12.00
20977,2023-01-24,彰化縣,線西鄉,18,6056,11.43
21346,2023-01-23,彰化縣,線西鄉,13,6038,9.57
21712,2023-01-22,彰化縣,線西鄉,6,6025,9.29
22083,2023-01-21,彰化縣,線西鄉,10,6019,9.29
22451,2023-01-20,彰化縣,線西鄉,16,6009,8.71
22820,2023-01-19,彰化縣,線西鄉,8,5993,8.86
23192,2023-01-18,彰化縣,線西鄉,9,5985,8.71
23557,2023-01-17,彰化縣,線西鄉,5,5976,8.14
23931,2023-01-16,彰化縣,線西鄉,11,5971,8.00
24303,2023-01-15,彰化縣,線西鄉,6,5960,8.29
24669,2023-01-14,彰化縣,線西鄉,6,5954,8.57
25035,2023-01-13,彰化縣,線西鄉,17,5948,10.00
25411,2023-01-12,彰化縣,線西鄉,7,5931,9.29
25783,2023-01-11,彰化縣,線西鄉,5,5924,10.57
26157,2023-01-10,彰化縣,線西鄉,4,5919,11.57
26535,2023-01-09,彰化縣,線西鄉,13,5915,14.00
26901,2023-01-08,彰化縣,線西鄉,8,5902,14.29
27266,2023-01-07,彰化縣,線西鄉,16,5894,15.14
27638,2023-01-06,彰化縣,線西鄉,12,5878,14.29
28019,2023-01-05,彰化縣,線西鄉,16,5866,15.14
28398,2023-01-04,彰化縣,線西鄉,12,5850,15.43
28780,2023-01-03,彰化縣,線西鄉,21,5838,16.14
29155,2023-01-02,彰化縣,線西鄉,15,5817,15.43
29521,2023-01-01,彰化縣,線西鄉,14,5802,17.00
29887,2022-12-31,彰化縣,線西鄉,10,5788,15.86
30255,2022-12-30,彰化縣,線西鄉,18,5778,16.14
30627,2022-12-29,彰化縣,線西鄉,18,5760,16.14
30999,2022-12-28,彰化縣,線西鄉,17,5742,16.14
31374,2022-12-27,彰化縣,線西鄉,16,5725,17.29
31748,2022-12-26,彰化縣,線西鄉,26,5709,16.71
32106,2022-12-25,彰化縣,線西鄉,6,5683,15.14
32465,2022-12-24,彰化縣,線西鄉,12,5677,15.71
32826,2022-12-23,彰化縣,線西鄉,18,5665,16.29
33192,2022-12-22,彰化縣,線西鄉,18,5647,15.43
33563,2022-12-21,彰化縣,線西鄉,25,5629,14.57
33927,2022-12-20,彰化縣,線西鄉,12,5604,13.43
34296,2022-12-19,彰化縣,線西鄉,15,5592,14.00
34649,2022-12-18,彰化縣,線西鄉,10,5577,14.43
