UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
5321,2023-06-14,彰化縣,花壇鄉,60-64,1180
5322,2023-03-20,彰化縣,花壇鄉,65-69,937
5323,2023-03-20,彰化縣,花壇鄉,35-39,1657
5324,2023-03-20,彰化縣,花壇鄉,25-29,1496
5325,2023-03-20,彰化縣,花壇鄉,20-24,1222
5326,2023-03-20,彰化縣,花壇鄉,5-9,1196
5327,2023-03-20,彰化縣,花壇鄉,55-59,1171
5328,2023-03-19,彰化縣,花壇鄉,30-34,1475
5329,2023-03-19,彰化縣,花壇鄉,15-19,1091
5330,2023-03-19,彰化縣,花壇鄉,45-49,1309
5331,2023-03-19,彰化縣,花壇鄉,70+,1654
5332,2023-03-19,彰化縣,花壇鄉,40-44,1709
5333,2023-03-18,彰化縣,花壇鄉,10-14,1051
5334,2023-03-15,彰化縣,花壇鄉,1,189
5335,2023-03-13,彰化縣,花壇鄉,50-54,1158
5336,2023-03-08,彰化縣,花壇鄉,4,204
5337,2023-03-01,彰化縣,花壇鄉,2,170
5338,2023-02-27,彰化縣,花壇鄉,3,208
5339,2023-02-25,彰化縣,花壇鄉,0,125
