UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
131,2023-06-14,彰化縣,花壇鄉,1,19202,0.14
663,2023-03-20,彰化縣,花壇鄉,7,19201,10.29
951,2023-03-19,彰化縣,花壇鄉,13,19194,11.86
1279,2023-03-18,彰化縣,花壇鄉,13,19181,11.00
1619,2023-03-17,彰化縣,花壇鄉,11,19168,10.29
1971,2023-03-16,彰化縣,花壇鄉,3,19157,10.43
2324,2023-03-15,彰化縣,花壇鄉,14,19154,12.29
2675,2023-03-14,彰化縣,花壇鄉,11,19140,12.29
3032,2023-03-13,彰化縣,花壇鄉,18,19129,13.00
3391,2023-03-12,彰化縣,花壇鄉,7,19111,12.71
3736,2023-03-11,彰化縣,花壇鄉,8,19104,13.71
4089,2023-03-10,彰化縣,花壇鄉,12,19096,14.71
4444,2023-03-09,彰化縣,花壇鄉,16,19084,14.57
4803,2023-03-08,彰化縣,花壇鄉,14,19068,14.57
5157,2023-03-07,彰化縣,花壇鄉,16,19054,15.71
5516,2023-03-06,彰化縣,花壇鄉,16,19038,16.14
5881,2023-03-05,彰化縣,花壇鄉,14,19022,15.86
6220,2023-03-04,彰化縣,花壇鄉,15,19008,15.14
6572,2023-03-03,彰化縣,花壇鄉,11,18993,16.57
6931,2023-03-02,彰化縣,花壇鄉,16,18982,17.86
7295,2023-03-01,彰化縣,花壇鄉,22,18966,18.71
7666,2023-02-28,彰化縣,花壇鄉,19,18944,20.71
8029,2023-02-27,彰化縣,花壇鄉,14,18925,21.71
8388,2023-02-26,彰化縣,花壇鄉,9,18911,25.14
8733,2023-02-25,彰化縣,花壇鄉,25,18902,26.57
9103,2023-02-24,彰化縣,花壇鄉,20,18877,26.14
9464,2023-02-23,彰化縣,花壇鄉,22,18857,27.14
9834,2023-02-22,彰化縣,花壇鄉,36,18835,27.14
10209,2023-02-21,彰化縣,花壇鄉,26,18799,26.29
10578,2023-02-20,彰化縣,花壇鄉,38,18773,27.57
10958,2023-02-19,彰化縣,花壇鄉,19,18735,26.29
11316,2023-02-18,彰化縣,花壇鄉,22,18716,28.00
11683,2023-02-17,彰化縣,花壇鄉,27,18694,29.86
12055,2023-02-16,彰化縣,花壇鄉,22,18667,31.43
12430,2023-02-15,彰化縣,花壇鄉,30,18645,33.71
12803,2023-02-14,彰化縣,花壇鄉,35,18615,34.57
