UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
370,2023-03-24,彰化縣,芳苑鄉,1,9534,2.00
969,2023-03-19,彰化縣,芳苑鄉,6,9533,7.29
1298,2023-03-18,彰化縣,芳苑鄉,7,9527,6.71
1637,2023-03-17,彰化縣,芳苑鄉,3,9520,6.57
1990,2023-03-16,彰化縣,芳苑鄉,5,9517,6.57
2342,2023-03-15,彰化縣,芳苑鄉,13,9512,6.43
2693,2023-03-14,彰化縣,芳苑鄉,10,9499,5.29
3051,2023-03-13,彰化縣,芳苑鄉,7,9489,4.29
3409,2023-03-12,彰化縣,芳苑鄉,2,9482,4.29
3755,2023-03-11,彰化縣,芳苑鄉,6,9480,4.43
4107,2023-03-10,彰化縣,芳苑鄉,3,9474,4.57
4463,2023-03-09,彰化縣,芳苑鄉,4,9471,4.57
4822,2023-03-08,彰化縣,芳苑鄉,5,9467,5.14
5175,2023-03-07,彰化縣,芳苑鄉,3,9462,4.71
5535,2023-03-06,彰化縣,芳苑鄉,7,9459,4.86
5899,2023-03-05,彰化縣,芳苑鄉,3,9452,4.29
6238,2023-03-04,彰化縣,芳苑鄉,7,9449,4.43
6591,2023-03-03,彰化縣,芳苑鄉,3,9442,4.14
6950,2023-03-02,彰化縣,芳苑鄉,8,9439,4.57
7314,2023-03-01,彰化縣,芳苑鄉,2,9431,4.43
7685,2023-02-28,彰化縣,芳苑鄉,4,9429,6.43
8048,2023-02-27,彰化縣,芳苑鄉,3,9425,8.57
8407,2023-02-26,彰化縣,芳苑鄉,4,9422,9.71
8751,2023-02-25,彰化縣,芳苑鄉,5,9418,10.71
9121,2023-02-24,彰化縣,芳苑鄉,6,9413,11.14
9482,2023-02-23,彰化縣,芳苑鄉,7,9407,11.43
9853,2023-02-22,彰化縣,芳苑鄉,16,9400,12.14
10227,2023-02-21,彰化縣,芳苑鄉,19,9384,11.57
10597,2023-02-20,彰化縣,芳苑鄉,11,9365,12.71
10976,2023-02-19,彰化縣,芳苑鄉,11,9354,15.29
11335,2023-02-18,彰化縣,芳苑鄉,8,9343,14.71
11701,2023-02-17,彰化縣,芳苑鄉,8,9335,15.00
12074,2023-02-16,彰化縣,芳苑鄉,12,9327,16.29
12449,2023-02-15,彰化縣,芳苑鄉,12,9315,16.57
12822,2023-02-14,彰化縣,芳苑鄉,27,9303,16.43
13194,2023-02-13,彰化縣,芳苑鄉,29,9276,15.14
13572,2023-02-12,彰化縣,芳苑鄉,7,9247,13.29
13930,2023-02-11,彰化縣,芳苑鄉,10,9240,14.71
14302,2023-02-10,彰化縣,芳苑鄉,17,9230,17.14
14675,2023-02-09,彰化縣,芳苑鄉,14,9213,18.00
15052,2023-02-08,彰化縣,芳苑鄉,11,9199,19.14
