UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
5435,2023-03-21,彰化縣,鹿港鎮,50-54,1990
5436,2023-03-20,彰化縣,鹿港鎮,35-39,3634
5437,2023-03-20,彰化縣,鹿港鎮,25-29,3423
5438,2023-03-20,彰化縣,鹿港鎮,20-24,2652
5439,2023-03-20,彰化縣,鹿港鎮,40-44,3324
5440,2023-03-19,彰化縣,鹿港鎮,45-49,2478
5441,2023-03-19,彰化縣,鹿港鎮,30-34,3379
5442,2023-03-19,彰化縣,鹿港鎮,55-59,1952
5443,2023-03-19,彰化縣,鹿港鎮,65-69,1659
5444,2023-03-19,彰化縣,鹿港鎮,5-9,2441
5445,2023-03-19,彰化縣,鹿港鎮,15-19,2273
5446,2023-03-18,彰化縣,鹿港鎮,70+,2881
5447,2023-03-18,彰化縣,鹿港鎮,60-64,1875
5448,2023-03-18,彰化縣,鹿港鎮,4,371
5449,2023-03-17,彰化縣,鹿港鎮,1,371
5450,2023-03-16,彰化縣,鹿港鎮,10-14,2171
5451,2023-03-15,彰化縣,鹿港鎮,2,351
5452,2023-03-12,彰化縣,鹿港鎮,0,256
5453,2023-03-11,彰化縣,鹿港鎮,3,390
