UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
544,2023-03-18,彰化縣,鹿港鎮,1,67,0.29
712,2023-03-14,彰化縣,鹿港鎮,1,66,0.14
1186,2023-03-04,彰化縣,鹿港鎮,1,65,0.14
1635,2023-02-24,彰化縣,鹿港鎮,1,64,0.43
1756,2023-02-22,彰化縣,鹿港鎮,1,63,0.29
1867,2023-02-20,彰化縣,鹿港鎮,1,62,0.29
2220,2023-02-14,彰化縣,鹿港鎮,1,61,0.29
2289,2023-02-13,彰化縣,鹿港鎮,1,60,0.14
2750,2023-02-06,彰化縣,鹿港鎮,1,59,0.43
2926,2023-02-03,彰化縣,鹿港鎮,1,58,0.29
3065,2023-02-01,彰化縣,鹿港鎮,1,57,0.29
3397,2023-01-26,彰化縣,鹿港鎮,1,56,0.14
3748,2023-01-19,彰化縣,鹿港鎮,1,55,0.14
4253,2023-01-09,彰化縣,鹿港鎮,1,54,0.29
4443,2023-01-05,彰化縣,鹿港鎮,1,53,0.57
4660,2023-01-01,彰化縣,鹿港鎮,1,52,0.57
4712,2022-12-31,彰化縣,鹿港鎮,1,51,0.43
4762,2022-12-30,彰化縣,鹿港鎮,1,50,0.29
4929,2022-12-26,彰化縣,鹿港鎮,1,49,0.14
5256,2022-12-17,彰化縣,鹿港鎮,1,48,0.29
5335,2022-12-15,彰化縣,鹿港鎮,1,47,0.14
6231,2022-11-22,彰化縣,鹿港鎮,1,46,0.57
6383,2022-11-19,彰化縣,鹿港鎮,2,45,0.71
6430,2022-11-18,彰化縣,鹿港鎮,1,43,0.43
6568,2022-11-15,彰化縣,鹿港鎮,1,42,0.43
6677,2022-11-13,彰化縣,鹿港鎮,1,41,0.29
6858,2022-11-10,彰化縣,鹿港鎮,1,40,0.29
7212,2022-11-04,彰化縣,鹿港鎮,1,39,0.43
7273,2022-11-03,彰化縣,鹿港鎮,1,38,0.43
7460,2022-10-31,彰化縣,鹿港鎮,1,37,0.43
7654,2022-10-28,彰化縣,鹿港鎮,1,36,0.71
7860,2022-10-25,彰化縣,鹿港鎮,1,35,0.57
7930,2022-10-24,彰化縣,鹿港鎮,1,34,0.43
8076,2022-10-22,彰化縣,鹿港鎮,2,33,0.43
8438,2022-10-17,彰化縣,鹿港鎮,1,31,0.43
8568,2022-10-15,彰化縣,鹿港鎮,1,30,0.57
8784,2022-10-12,彰化縣,鹿港鎮,1,29,0.71
8916,2022-10-10,彰化縣,鹿港鎮,1,28,0.57
8994,2022-10-09,彰化縣,鹿港鎮,1,27,0.57
9049,2022-10-08,彰化縣,鹿港鎮,1,26,0.43
9175,2022-10-06,彰化縣,鹿港鎮,1,25,0.57
9388,2022-10-03,彰化縣,鹿港鎮,1,24,0.43
9524,2022-10-01,彰化縣,鹿港鎮,1,23,0.29
9582,2022-09-30,彰化縣,鹿港鎮,1,22,0.14
10220,2022-09-19,彰化縣,鹿港鎮,1,21,0.14
10844,2022-09-07,彰化縣,鹿港鎮,1,20,0.14
11812,2022-08-13,彰化縣,鹿港鎮,1,19,0.14
12418,2022-07-30,彰化縣,鹿港鎮,1,18,0.29
12749,2022-07-24,彰化縣,鹿港鎮,1,17,0.14
13439,2022-07-13,彰化縣,鹿港鎮,1,16,0.29
13727,2022-07-09,彰化縣,鹿港鎮,1,15,0.29
14122,2022-07-04,彰化縣,鹿港鎮,1,14,0.43
14305,2022-07-02,彰化縣,鹿港鎮,1,13,0.29
14394,2022-07-01,彰化縣,鹿港鎮,1,12,0.14
15521,2022-06-20,彰化縣,鹿港鎮,1,11,0.29
15620,2022-06-19,彰化縣,鹿港鎮,1,10,0.14
16628,2022-06-11,彰化縣,鹿港鎮,1,9,0.43
16992,2022-06-08,彰化縣,鹿港鎮,1,8,0.71
17120,2022-06-07,彰化縣,鹿港鎮,1,7,0.57
17479,2022-06-04,彰化縣,鹿港鎮,2,6,0.43
17610,2022-06-03,彰化縣,鹿港鎮,1,4,0.14
18428,2022-05-27,彰化縣,鹿港鎮,1,3,0.14
19208,2022-05-18,彰化縣,鹿港鎮,1,2,0.14
19682,2022-05-08,彰化縣,鹿港鎮,1,1,0.14
