UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
524,2023-03-21,彰化縣,鹿港鎮,1,37871,17.71
700,2023-03-20,彰化縣,鹿港鎮,5,37870,21.00
991,2023-03-19,彰化縣,鹿港鎮,17,37865,24.86
1320,2023-03-18,彰化縣,鹿港鎮,24,37848,26.57
1659,2023-03-17,彰化縣,鹿港鎮,27,37824,27.57
2012,2023-03-16,彰化縣,鹿港鎮,27,37797,27.29
2364,2023-03-15,彰化縣,鹿港鎮,23,37770,28.29
2715,2023-03-14,彰化縣,鹿港鎮,24,37747,30.00
3073,2023-03-13,彰化縣,鹿港鎮,32,37723,33.43
3431,2023-03-12,彰化縣,鹿港鎮,29,37691,34.00
3777,2023-03-11,彰化縣,鹿港鎮,31,37662,34.71
4129,2023-03-10,彰化縣,鹿港鎮,25,37631,34.14
4485,2023-03-09,彰化縣,鹿港鎮,34,37606,35.00
4844,2023-03-08,彰化縣,鹿港鎮,35,37572,37.29
5197,2023-03-07,彰化縣,鹿港鎮,48,37537,38.00
5557,2023-03-06,彰化縣,鹿港鎮,36,37489,36.14
5921,2023-03-05,彰化縣,鹿港鎮,34,37453,35.71
6260,2023-03-04,彰化縣,鹿港鎮,27,37419,34.29
6613,2023-03-03,彰化縣,鹿港鎮,31,37392,36.57
6972,2023-03-02,彰化縣,鹿港鎮,50,37361,38.71
7336,2023-03-01,彰化縣,鹿港鎮,40,37311,38.43
7707,2023-02-28,彰化縣,鹿港鎮,35,37271,39.71
8070,2023-02-27,彰化縣,鹿港鎮,33,37236,40.86
8429,2023-02-26,彰化縣,鹿港鎮,24,37203,44.00
8773,2023-02-25,彰化縣,鹿港鎮,43,37179,45.57
9143,2023-02-24,彰化縣,鹿港鎮,46,37136,45.71
9504,2023-02-23,彰化縣,鹿港鎮,48,37090,46.57
9875,2023-02-22,彰化縣,鹿港鎮,49,37042,47.43
10249,2023-02-21,彰化縣,鹿港鎮,43,36993,50.71
10619,2023-02-20,彰化縣,鹿港鎮,55,36950,53.00
10998,2023-02-19,彰化縣,鹿港鎮,35,36895,55.71
11357,2023-02-18,彰化縣,鹿港鎮,44,36860,56.14
11723,2023-02-17,彰化縣,鹿港鎮,52,36816,59.86
12096,2023-02-16,彰化縣,鹿港鎮,54,36764,62.00
12471,2023-02-15,彰化縣,鹿港鎮,72,36710,66.43
12844,2023-02-14,彰化縣,鹿港鎮,59,36638,68.57
13216,2023-02-13,彰化縣,鹿港鎮,74,36579,76.43
13594,2023-02-12,彰化縣,鹿港鎮,38,36505,75.86
13952,2023-02-11,彰化縣,鹿港鎮,70,36467,79.00
14324,2023-02-10,彰化縣,鹿港鎮,67,36397,78.14
14697,2023-02-09,彰化縣,鹿港鎮,85,36330,81.29
15074,2023-02-08,彰化縣,鹿港鎮,87,36245,82.14
15453,2023-02-07,彰化縣,鹿港鎮,114,36158,84.43
15832,2023-02-06,彰化縣,鹿港鎮,70,36044,84.57
16213,2023-02-05,彰化縣,鹿港鎮,60,35974,90.43
16582,2023-02-04,彰化縣,鹿港鎮,64,35914,92.29
