UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
400,2023-06-14,新北市,三峽區,45-49,4419
401,2023-06-14,新北市,三峽區,25-29,4963
402,2023-06-14,新北市,三峽區,40-44,5245
403,2023-06-14,新北市,三峽區,70+,3739
404,2023-06-14,新北市,三峽區,20-24,4493
405,2023-03-20,新北市,三峽區,50-54,3556
406,2023-03-20,新北市,三峽區,55-59,3185
407,2023-03-20,新北市,三峽區,1,479
408,2023-03-20,新北市,三峽區,10-14,3244
409,2023-03-20,新北市,三峽區,30-34,4695
410,2023-03-20,新北市,三峽區,35-39,4710
411,2023-03-20,新北市,三峽區,5-9,3360
412,2023-03-19,新北市,三峽區,60-64,2768
413,2023-03-19,新北市,三峽區,15-19,3163
414,2023-03-19,新北市,三峽區,0,336
415,2023-03-19,新北市,三峽區,3,528
416,2023-03-18,新北市,三峽區,65-69,2088
417,2023-03-18,新北市,三峽區,2,507
418,2023-03-13,新北市,三峽區,4,568
