UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
121,2023-06-14,新北市,三峽區,7,56046,1.00
422,2023-03-22,新北市,三峽區,2,56039,29.71
502,2023-03-21,新北市,三峽區,1,56037,36.14
654,2023-03-20,新北市,三峽區,20,56036,43.86
940,2023-03-19,新北市,三峽區,30,56016,61.43
1268,2023-03-18,新北市,三峽區,53,55986,61.71
1608,2023-03-17,新北市,三峽區,55,55933,61.14
1960,2023-03-16,新北市,三峽區,47,55878,58.71
2313,2023-03-15,新北市,三峽區,47,55831,58.71
2664,2023-03-14,新北市,三峽區,55,55784,61.29
3021,2023-03-13,新北市,三峽區,143,55729,62.29
3380,2023-03-12,新北市,三峽區,32,55586,48.71
3725,2023-03-11,新北市,三峽區,49,55554,50.71
4078,2023-03-10,新北市,三峽區,38,55505,51.14
4433,2023-03-09,新北市,三峽區,47,55467,57.14
4792,2023-03-08,新北市,三峽區,65,55420,60.71
5146,2023-03-07,新北市,三峽區,62,55355,64.43
5505,2023-03-06,新北市,三峽區,48,55293,65.71
5870,2023-03-05,新北市,三峽區,46,55245,69.29
6209,2023-03-04,新北市,三峽區,52,55199,71.57
6561,2023-03-03,新北市,三峽區,80,55147,79.43
6920,2023-03-02,新北市,三峽區,72,55067,78.71
7284,2023-03-01,新北市,三峽區,91,54995,81.86
7655,2023-02-28,新北市,三峽區,71,54904,79.86
8018,2023-02-27,新北市,三峽區,73,54833,85.00
8377,2023-02-26,新北市,三峽區,62,54760,88.14
8722,2023-02-25,新北市,三峽區,107,54698,88.86
9092,2023-02-24,新北市,三峽區,75,54591,84.86
9453,2023-02-23,新北市,三峽區,94,54516,86.71
9823,2023-02-22,新北市,三峽區,77,54422,91.14
10198,2023-02-21,新北市,三峽區,107,54345,93.86
10567,2023-02-20,新北市,三峽區,95,54238,89.00
10947,2023-02-19,新北市,三峽區,67,54143,91.71
11305,2023-02-18,新北市,三峽區,79,54076,92.00
11672,2023-02-17,新北市,三峽區,88,53997,91.29
12044,2023-02-16,新北市,三峽區,125,53909,94.29
12419,2023-02-15,新北市,三峽區,96,53784,96.57
12792,2023-02-14,新北市,三峽區,73,53688,105.71
13164,2023-02-13,新北市,三峽區,114,53615,115.43
13543,2023-02-12,新北市,三峽區,69,53501,119.86
13900,2023-02-11,新北市,三峽區,74,53432,123.14
14272,2023-02-10,新北市,三峽區,109,53358,133.71
14646,2023-02-09,新北市,三峽區,141,53249,141.14
15022,2023-02-08,新北市,三峽區,160,53108,143.43
