UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
381,2023-06-14,新北市,三芝區,40-44,637
382,2023-03-20,新北市,三芝區,70+,817
383,2023-03-20,新北市,三芝區,25-29,683
384,2023-03-20,新北市,三芝區,30-34,532
385,2023-03-20,新北市,三芝區,50-54,557
386,2023-03-19,新北市,三芝區,65-69,401
387,2023-03-18,新北市,三芝區,15-19,463
388,2023-03-18,新北市,三芝區,35-39,551
389,2023-03-18,新北市,三芝區,45-49,524
390,2023-03-18,新北市,三芝區,55-59,533
391,2023-03-17,新北市,三芝區,5-9,368
392,2023-03-16,新北市,三芝區,10-14,397
393,2023-03-15,新北市,三芝區,20-24,604
394,2023-03-14,新北市,三芝區,2,64
395,2023-03-13,新北市,三芝區,60-64,494
396,2023-03-12,新北市,三芝區,1,58
397,2023-03-09,新北市,三芝區,3,63
398,2023-02-07,新北市,三芝區,0,51
399,2023-02-07,新北市,三芝區,4,57
