UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
154,2023-06-14,新北市,三芝區,1,7854,0.14
694,2023-03-20,新北市,三芝區,5,7853,6.29
985,2023-03-19,新北市,三芝區,1,7848,7.00
1314,2023-03-18,新北市,三芝區,6,7847,7.57
1653,2023-03-17,新北市,三芝區,4,7841,8.71
2006,2023-03-16,新北市,三芝區,9,7837,9.29
2358,2023-03-15,新北市,三芝區,8,7828,9.00
2709,2023-03-14,新北市,三芝區,11,7820,8.86
3067,2023-03-13,新北市,三芝區,10,7809,8.57
3425,2023-03-12,新北市,三芝區,5,7799,8.29
3771,2023-03-11,新北市,三芝區,14,7794,8.29
4123,2023-03-10,新北市,三芝區,8,7780,7.29
4479,2023-03-09,新北市,三芝區,7,7772,7.71
4838,2023-03-08,新北市,三芝區,7,7765,7.86
5191,2023-03-07,新北市,三芝區,9,7758,8.29
5551,2023-03-06,新北市,三芝區,8,7749,7.71
5915,2023-03-05,新北市,三芝區,5,7741,8.00
6254,2023-03-04,新北市,三芝區,7,7736,7.71
6607,2023-03-03,新北市,三芝區,11,7729,9.43
6966,2023-03-02,新北市,三芝區,8,7718,10.14
7330,2023-03-01,新北市,三芝區,10,7710,11.14
7701,2023-02-28,新北市,三芝區,5,7700,11.57
8064,2023-02-27,新北市,三芝區,10,7695,12.57
8423,2023-02-26,新北市,三芝區,3,7685,13.71
8767,2023-02-25,新北市,三芝區,19,7682,14.57
9137,2023-02-24,新北市,三芝區,16,7663,14.29
9498,2023-02-23,新北市,三芝區,15,7647,13.14
9869,2023-02-22,新北市,三芝區,13,7632,12.71
10243,2023-02-21,新北市,三芝區,12,7619,12.57
10613,2023-02-20,新北市,三芝區,18,7607,12.29
10992,2023-02-19,新北市,三芝區,9,7589,14.00
11351,2023-02-18,新北市,三芝區,17,7580,13.57
11717,2023-02-17,新北市,三芝區,8,7563,13.86
12090,2023-02-16,新北市,三芝區,12,7555,15.57
12465,2023-02-15,新北市,三芝區,12,7543,15.86
12838,2023-02-14,新北市,三芝區,10,7531,16.14
13210,2023-02-13,新北市,三芝區,30,7521,18.43
13588,2023-02-12,新北市,三芝區,6,7491,17.43
13946,2023-02-11,新北市,三芝區,19,7485,19.14
14318,2023-02-10,新北市,三芝區,20,7466,19.57
14691,2023-02-09,新北市,三芝區,14,7446,19.71
15068,2023-02-08,新北市,三芝區,14,7432,21.43
15447,2023-02-07,新北市,三芝區,26,7418,25.71
15826,2023-02-06,新北市,三芝區,23,7392,26.43
16207,2023-02-05,新北市,三芝區,18,7369,27.43
16576,2023-02-04,新北市,三芝區,22,7351,27.29
16955,2023-02-03,新北市,三芝區,21,7329,27.86
17341,2023-02-02,新北市,三芝區,26,7308,28.00
17724,2023-02-01,新北市,三芝區,44,7282,28.14
18101,2023-01-31,新北市,三芝區,31,7238,23.57
18486,2023-01-30,新北市,三芝區,30,7207,21.86
18875,2023-01-29,新北市,三芝區,17,7177,20.57
19251,2023-01-28,新北市,三芝區,26,7160,20.00
19630,2023-01-27,新北市,三芝區,22,7134,18.86
20008,2023-01-26,新北市,三芝區,27,7112,20.14
20385,2023-01-25,新北市,三芝區,12,7085,20.43
20750,2023-01-24,新北市,三芝區,19,7073,21.57
21125,2023-01-23,新北市,三芝區,21,7054,24.71
21492,2023-01-22,新北市,三芝區,13,7033,23.00
21856,2023-01-21,新北市,三芝區,18,7020,22.00
22228,2023-01-20,新北市,三芝區,31,7002,22.43
22595,2023-01-19,新北市,三芝區,29,6971,21.57
22966,2023-01-18,新北市,三芝區,20,6942,19.57
23337,2023-01-17,新北市,三芝區,41,6922,19.14
23702,2023-01-16,新北市,三芝區,9,6881,15.43
24078,2023-01-15,新北市,三芝區,6,6872,18.14
24444,2023-01-14,新北市,三芝區,21,6866,18.00
24813,2023-01-13,新北市,三芝區,25,6845,17.86
25181,2023-01-12,新北市,三芝區,15,6820,16.00
25556,2023-01-11,新北市,三芝區,17,6805,17.29
25932,2023-01-10,新北市,三芝區,15,6788,19.00
26304,2023-01-09,新北市,三芝區,28,6773,21.86
26682,2023-01-08,新北市,三芝區,5,6745,20.86
27039,2023-01-07,新北市,三芝區,20,6740,21.43
27411,2023-01-06,新北市,三芝區,12,6720,22.43
27787,2023-01-05,新北市,三芝區,24,6708,22.86
28167,2023-01-04,新北市,三芝區,29,6684,21.57
28548,2023-01-03,新北市,三芝區,35,6655,19.57
28929,2023-01-02,新北市,三芝區,21,6620,17.29
29301,2023-01-01,新北市,三芝區,9,6599,17.00
29663,2022-12-31,新北市,三芝區,27,6590,16.43
30029,2022-12-30,新北市,三芝區,15,6563,15.43
30401,2022-12-29,新北市,三芝區,15,6548,14.71
30773,2022-12-28,新北市,三芝區,15,6533,15.71
31144,2022-12-27,新北市,三芝區,19,6518,16.71
31521,2022-12-26,新北市,三芝區,19,6499,16.00
31893,2022-12-25,新北市,三芝區,5,6480,14.57
32247,2022-12-24,新北市,三芝區,20,6475,14.14
32607,2022-12-23,新北市,三芝區,10,6455,12.71
32971,2022-12-22,新北市,三芝區,22,6445,13.14
