UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
80,2023-06-14,新北市,三重區,17,215268,2.43
363,2023-03-24,新北市,三重區,1,215251,52.14
413,2023-03-22,新北市,三重區,2,215250,96.57
470,2023-03-21,新北市,三重區,9,215248,119.14
608,2023-03-20,新北市,三重區,45,215239,145.86
892,2023-03-19,新北市,三重區,140,215194,163.71
1220,2023-03-18,新北市,三重區,168,215054,163.14
1560,2023-03-17,新北市,三重區,157,214886,165.43
1912,2023-03-16,新北市,三重區,155,214729,166.14
2265,2023-03-15,新北市,三重區,160,214574,169.57
2616,2023-03-14,新北市,三重區,196,214414,170.14
2973,2023-03-13,新北市,三重區,170,214218,168.57
3332,2023-03-12,新北市,三重區,136,214048,167.43
3677,2023-03-11,新北市,三重區,184,213912,166.29
4030,2023-03-10,新北市,三重區,162,213728,166.00
4385,2023-03-09,新北市,三重區,179,213566,170.14
4744,2023-03-08,新北市,三重區,164,213387,175.57
5098,2023-03-07,新北市,三重區,185,213223,184.00
5457,2023-03-06,新北市,三重區,162,213038,183.00
5822,2023-03-05,新北市,三重區,128,212876,182.57
6161,2023-03-04,新北市,三重區,182,212748,183.00
6513,2023-03-03,新北市,三重區,191,212566,192.29
6872,2023-03-02,新北市,三重區,217,212375,200.86
7236,2023-03-01,新北市,三重區,223,212158,203.86
7607,2023-02-28,新北市,三重區,178,211935,205.43
7970,2023-02-27,新北市,三重區,159,211757,222.57
8329,2023-02-26,新北市,三重區,131,211598,238.86
8674,2023-02-25,新北市,三重區,247,211467,253.00
9044,2023-02-24,新北市,三重區,251,211220,252.00
9405,2023-02-23,新北市,三重區,238,210969,252.57
9775,2023-02-22,新北市,三重區,234,210731,251.86
10150,2023-02-21,新北市,三重區,298,210497,263.71
10519,2023-02-20,新北市,三重區,273,210199,272.71
10899,2023-02-19,新北市,三重區,230,209926,281.43
11257,2023-02-18,新北市,三重區,240,209696,282.00
11624,2023-02-17,新北市,三重區,255,209456,290.71
11996,2023-02-16,新北市,三重區,233,209201,302.00
12371,2023-02-15,新北市,三重區,317,208968,319.86
12744,2023-02-14,新北市,三重區,361,208651,321.86
13116,2023-02-13,新北市,三重區,334,208290,332.86
