UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
124,2023-04-08,新北市,中和區,1,330,0.29
152,2023-04-05,新北市,中和區,1,329,0.14
298,2023-03-26,新北市,中和區,1,328,0.43
312,2023-03-25,新北市,中和區,1,327,0.29
361,2023-03-23,新北市,中和區,1,326,0.43
525,2023-03-18,新北市,中和區,1,325,0.57
571,2023-03-17,新北市,中和區,1,324,0.57
733,2023-03-13,新北市,中和區,1,323,0.86
776,2023-03-12,新北市,中和區,1,322,0.86
822,2023-03-11,新北市,中和區,1,321,0.71
912,2023-03-09,新北市,中和區,1,320,0.86
961,2023-03-08,新北市,中和區,1,319,0.71
1013,2023-03-07,新北市,中和區,1,318,0.71
1054,2023-03-06,新北市,中和區,1,317,0.57
1216,2023-03-03,新北市,中和區,2,316,0.43
1322,2023-03-01,新北市,中和區,1,314,0.43
1606,2023-02-24,新北市,中和區,1,313,0.43
1660,2023-02-23,新北市,中和區,1,312,0.57
1896,2023-02-19,新北市,中和區,1,311,1.00
2006,2023-02-17,新北市,中和區,2,310,1.14
2065,2023-02-16,新北市,中和區,1,308,1.14
2123,2023-02-15,新北市,中和區,1,307,1.00
2262,2023-02-13,新北市,中和區,2,306,1.00
2324,2023-02-12,新北市,中和區,1,304,0.71
2380,2023-02-11,新北市,中和區,1,303,0.71
2445,2023-02-10,新北市,中和區,2,302,0.57
2574,2023-02-08,新北市,中和區,1,300,0.71
2787,2023-02-05,新北市,中和區,1,299,1.00
2894,2023-02-03,新北市,中和區,2,298,1.00
2964,2023-02-02,新北市,中和區,1,296,0.71
3035,2023-02-01,新北市,中和區,1,295,0.57
3100,2023-01-31,新北市,中和區,1,294,0.71
3154,2023-01-30,新北市,中和區,1,293,0.71
3209,2023-01-29,新北市,中和區,1,292,0.86
3428,2023-01-25,新北市,中和區,2,291,1.14
3484,2023-01-24,新北市,中和區,1,289,1.29
3533,2023-01-23,新北市,中和區,2,288,1.14
3590,2023-01-22,新北市,中和區,1,286,1.00
3639,2023-01-21,新北市,中和區,1,285,1.00
3677,2023-01-20,新北市,中和區,1,284,0.86
3777,2023-01-18,新北市,中和區,3,283,1.00
3866,2023-01-16,新北市,中和區,1,280,1.14
3918,2023-01-15,新北市,中和區,1,279,1.00
4039,2023-01-13,新北市,中和區,1,278,1.29
4083,2023-01-12,新北市,中和區,1,277,1.14
4124,2023-01-11,新北市,中和區,2,276,1.29
4168,2023-01-10,新北市,中和區,2,274,1.00
4278,2023-01-08,新北市,中和區,3,272,0.71
4423,2023-01-05,新北市,中和區,2,269,0.57
4740,2022-12-30,新北市,中和區,2,267,0.43
4906,2022-12-26,新北市,中和區,1,265,0.43
5020,2022-12-23,新北市,中和區,1,264,0.43
5123,2022-12-20,新北市,中和區,1,263,0.29
5206,2022-12-18,新北市,中和區,1,262,0.57
5400,2022-12-13,新北市,中和區,2,261,0.57
5437,2022-12-12,新北市,中和區,1,259,0.29
5573,2022-12-08,新北市,中和區,1,258,0.29
5765,2022-12-03,新北市,中和區,1,257,0.29
5847,2022-12-01,新北市,中和區,1,256,0.14
6252,2022-11-21,新北市,中和區,1,255,0.71
6304,2022-11-20,新北市,中和區,1,254,0.71
6353,2022-11-19,新北市,中和區,1,253,0.71
6512,2022-11-16,新北市,中和區,1,252,0.57
6551,2022-11-15,新北市,中和區,1,251,0.43
6592,2022-11-14,新北市,中和區,1,250,0.43
6652,2022-11-13,新北市,中和區,1,249,0.43
6953,2022-11-08,新北市,中和區,1,248,0.57
7015,2022-11-07,新北市,中和區,1,247,0.57
7072,2022-11-06,新北市,中和區,1,246,0.57
7128,2022-11-05,新北市,中和區,1,245,0.71
7358,2022-11-01,新北市,中和區,1,244,1.14
7435,2022-10-31,新北市,中和區,1,243,1.14
7494,2022-10-30,新北市,中和區,2,242,1.29
7549,2022-10-29,新北市,中和區,1,240,1.14
7618,2022-10-28,新北市,中和區,1,239,1.14
7683,2022-10-27,新北市,中和區,1,238,1.14
7756,2022-10-26,新北市,中和區,1,237,1.14
7834,2022-10-25,新北市,中和區,1,236,1.14
7899,2022-10-24,新北市,中和區,2,235,1.00
7968,2022-10-23,新北市,中和區,1,233,0.86
8043,2022-10-22,新北市,中和區,1,232,0.86
8112,2022-10-21,新北市,中和區,1,231,0.71
8185,2022-10-20,新北市,中和區,1,230,0.57
8265,2022-10-19,新北市,中和區,1,229,0.43
8394,2022-10-17,新北市,中和區,1,228,0.57
8472,2022-10-16,新北市,中和區,1,227,0.57
8822,2022-10-11,新北市,中和區,2,226,1.29
8888,2022-10-10,新北市,中和區,1,224,1.14
8962,2022-10-09,新北市,中和區,1,223,1.00
9026,2022-10-08,新北市,中和區,2,222,0.86
9077,2022-10-07,新北市,中和區,1,220,0.71
9146,2022-10-06,新北市,中和區,1,219,0.57
9209,2022-10-05,新北市,中和區,1,218,0.57
9286,2022-10-04,新北市,中和區,1,217,0.43
9498,2022-10-01,新北市,中和區,1,216,0.43
9618,2022-09-29,新北市,中和區,1,215,0.29
9796,2022-09-26,新北市,中和區,1,214,0.43
10097,2022-09-21,新北市,中和區,1,213,0.57
10150,2022-09-20,新北市,中和區,1,212,0.43
10350,2022-09-16,新北市,中和區,2,211,0.57
10633,2022-09-11,新北市,中和區,2,209,0.57
10730,2022-09-09,新北市,中和區,1,207,0.43
10773,2022-09-08,新北市,中和區,1,206,0.43
10995,2022-09-03,新北市,中和區,1,205,0.71
11041,2022-09-02,新北市,中和區,1,204,0.71
11074,2022-09-01,新北市,中和區,1,203,0.57
11199,2022-08-29,新北市,中和區,1,202,0.86
11245,2022-08-28,新北市,中和區,1,201,1.00
11281,2022-08-27,新北市,中和區,1,200,0.86
11356,2022-08-25,新北市,中和區,1,199,0.71
11400,2022-08-24,新北市,中和區,1,198,0.71
11430,2022-08-23,新北市,中和區,1,197,0.57
11470,2022-08-22,新北市,中和區,2,196,0.43
11618,2022-08-18,新北市,中和區,1,194,0.14
11907,2022-08-10,新北市,中和區,1,193,0.43
11985,2022-08-08,新北市,中和區,1,192,0.71
12038,2022-08-07,新北市,中和區,1,191,0.71
12197,2022-08-03,新北市,中和區,2,190,1.14
12243,2022-08-02,新北市,中和區,1,188,1.14
12291,2022-08-01,新北市,中和區,1,187,1.14
12347,2022-07-31,新北市,中和區,1,186,1.00
12400,2022-07-30,新北市,中和區,1,185,1.00
12443,2022-07-29,新北市,中和區,1,184,1.00
12501,2022-07-28,新北市,中和區,1,183,0.86
12552,2022-07-27,新北市,中和區,2,182,0.71
12611,2022-07-26,新北市,中和區,1,180,0.43
12728,2022-07-24,新北市,中和區,1,179,0.43
12782,2022-07-23,新北市,中和區,1,178,0.29
13081,2022-07-18,新北市,中和區,1,177,0.71
13203,2022-07-16,新北市,中和區,2,176,0.71
13281,2022-07-15,新北市,中和區,1,174,0.43
13484,2022-07-12,新北市,中和區,1,173,0.43
13558,2022-07-11,新北市,中和區,1,172,0.29
13762,2022-07-08,新北市,中和區,1,171,0.57
14085,2022-07-04,新北市,中和區,1,170,1.00
14189,2022-07-03,新北市,中和區,1,169,1.00
14268,2022-07-02,新北市,中和區,1,168,1.00
14360,2022-07-01,新北市,中和區,1,167,1.14
14453,2022-06-30,新北市,中和區,1,166,1.14
14648,2022-06-28,新北市,中和區,2,165,1.14
14746,2022-06-27,新北市,中和區,1,163,0.86
14851,2022-06-26,新北市,中和區,1,162,0.86
14950,2022-06-25,新北市,中和區,2,161,0.86
15039,2022-06-24,新北市,中和區,1,159,0.71
15249,2022-06-22,新北市,中和區,1,158,1.29
15474,2022-06-20,新北市,中和區,1,157,1.57
15585,2022-06-19,新北市,中和區,1,156,1.57
15697,2022-06-18,新北市,中和區,1,155,1.71
15818,2022-06-17,新北市,中和區,3,154,1.71
15955,2022-06-16,新北市,中和區,2,151,1.57
16070,2022-06-15,新北市,中和區,2,149,1.57
16204,2022-06-14,新北市,中和區,1,147,1.43
16335,2022-06-13,新北市,中和區,1,146,1.71
16456,2022-06-12,新北市,中和區,2,145,1.86
16575,2022-06-11,新北市,中和區,1,143,2.00
16705,2022-06-10,新北市,中和區,2,142,2.29
16821,2022-06-09,新北市,中和區,2,140,2.14
16939,2022-06-08,新北市,中和區,1,138,2.43
17070,2022-06-07,新北市,中和區,3,137,2.43
