UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
24,2023-07-21,新北市,中和區,1,230925,0.14
71,2023-06-14,新北市,中和區,43,230924,6.14
331,2023-04-28,新北市,中和區,1,230881,0.14
408,2023-03-22,新北市,中和區,2,230880,97.57
461,2023-03-21,新北市,中和區,9,230878,122.86
599,2023-03-20,新北市,中和區,61,230869,150.29
883,2023-03-19,新北市,中和區,92,230808,169.43
1211,2023-03-18,新北市,中和區,163,230716,172.86
1551,2023-03-17,新北市,中和區,176,230553,176.00
1903,2023-03-16,新北市,中和區,180,230377,176.43
2256,2023-03-15,新北市,中和區,179,230197,176.00
2607,2023-03-14,新北市,中和區,201,230018,176.00
2964,2023-03-13,新北市,中和區,195,229817,179.43
3323,2023-03-12,新北市,中和區,116,229622,180.14
3668,2023-03-11,新北市,中和區,185,229506,183.71
4021,2023-03-10,新北市,中和區,179,229321,188.43
4376,2023-03-09,新北市,中和區,177,229142,196.29
4735,2023-03-08,新北市,中和區,179,228965,210.57
5089,2023-03-07,新北市,中和區,225,228786,226.00
5448,2023-03-06,新北市,中和區,200,228561,228.14
5813,2023-03-05,新北市,中和區,141,228361,234.14
6152,2023-03-04,新北市,中和區,218,228220,237.43
6504,2023-03-03,新北市,中和區,234,228002,243.29
6863,2023-03-02,新北市,中和區,277,227768,254.14
7227,2023-03-01,新北市,中和區,287,227491,252.14
7598,2023-02-28,新北市,中和區,240,227204,252.86
7961,2023-02-27,新北市,中和區,242,226964,264.29
8320,2023-02-26,新北市,中和區,164,226722,274.00
8665,2023-02-25,新北市,中和區,259,226558,280.29
9035,2023-02-24,新北市,中和區,310,226299,291.71
9396,2023-02-23,新北市,中和區,263,225989,284.00
9766,2023-02-22,新北市,中和區,292,225726,289.57
10141,2023-02-21,新北市,中和區,320,225434,298.86
10510,2023-02-20,新北市,中和區,310,225114,317.00
10890,2023-02-19,新北市,中和區,208,224804,333.71
11248,2023-02-18,新北市,中和區,339,224596,336.86
11615,2023-02-17,新北市,中和區,256,224257,341.71
11987,2023-02-16,新北市,中和區,302,224001,361.43
12362,2023-02-15,新北市,中和區,357,223699,373.29
12735,2023-02-14,新北市,中和區,447,223342,384.00
13107,2023-02-13,新北市,中和區,427,222895,401.71
13486,2023-02-12,新北市,中和區,230,222468,411.29
13843,2023-02-11,新北市,中和區,373,222238,420.86
14215,2023-02-10,新北市,中和區,394,221865,440.00
14589,2023-02-09,新北市,中和區,385,221471,452.57
14965,2023-02-08,新北市,中和區,432,221086,475.43
15344,2023-02-07,新北市,中和區,571,220654,494.71
15723,2023-02-06,新北市,中和區,494,220083,507.71
16105,2023-02-05,新北市,中和區,297,219589,530.57
16473,2023-02-04,新北市,中和區,507,219292,553.14
16852,2023-02-03,新北市,中和區,482,218785,565.71
17238,2023-02-02,新北市,中和區,545,218303,570.71
17621,2023-02-01,新北市,中和區,567,217758,575.43
17998,2023-01-31,新北市,中和區,662,217191,553.43
18383,2023-01-30,新北市,中和區,654,216529,514.00
18772,2023-01-29,新北市,中和區,455,215875,467.86
19148,2023-01-28,新北市,中和區,595,215420,440.57
19527,2023-01-27,新北市,中和區,517,214825,423.86
19905,2023-01-26,新北市,中和區,578,214308,414.43
20282,2023-01-25,新北市,中和區,413,213730,389.71
20647,2023-01-24,新北市,中和區,386,213317,388.29
21022,2023-01-23,新北市,中和區,331,212931,398.57
21389,2023-01-22,新北市,中和區,264,212600,419.14
21753,2023-01-21,新北市,中和區,478,212336,431.71
22125,2023-01-20,新北市,中和區,451,211858,432.43
22492,2023-01-19,新北市,中和區,405,211407,436.29
22863,2023-01-18,新北市,中和區,403,211002,446.00
23235,2023-01-17,新北市,中和區,458,210599,467.71
23599,2023-01-16,新北市,中和區,475,210141,486.86
23975,2023-01-15,新北市,中和區,352,209666,505.71
24342,2023-01-14,新北市,中和區,483,209314,499.86
24710,2023-01-13,新北市,中和區,478,208831,510.14
25078,2023-01-12,新北市,中和區,473,208353,518.57
25453,2023-01-11,新北市,中和區,555,207880,537.43
25829,2023-01-10,新北市,中和區,592,207325,564.14
26201,2023-01-09,新北市,中和區,607,206733,590.71
26580,2023-01-08,新北市,中和區,311,206126,593.14
26937,2023-01-07,新北市,中和區,555,205815,600.14
27308,2023-01-06,新北市,中和區,537,205260,603.71
27684,2023-01-05,新北市,中和區,605,204723,615.71
28064,2023-01-04,新北市,中和區,742,204118,614.57
28445,2023-01-03,新北市,中和區,778,203376,602.43
28827,2023-01-02,新北市,中和區,624,202598,580.86
29198,2023-01-01,新北市,中和區,360,201974,571.29
29560,2022-12-31,新北市,中和區,580,201614,564.86
29926,2022-12-30,新北市,中和區,621,201034,542.57
30298,2022-12-29,新北市,中和區,597,200413,509.14
30671,2022-12-28,新北市,中和區,657,199816,482.29
31041,2022-12-27,新北市,中和區,627,199159,457.29
31418,2022-12-26,新北市,中和區,557,198532,424.14
