UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
343,2023-06-14,新北市,五股區,30-34,4875
344,2023-06-14,新北市,五股區,35-39,4857
345,2023-06-14,新北市,五股區,25-29,4856
346,2023-03-21,新北市,五股區,45-49,3578
347,2023-03-20,新北市,五股區,20-24,3645
348,2023-03-20,新北市,五股區,40-44,5139
349,2023-03-19,新北市,五股區,70+,2372
350,2023-03-19,新北市,五股區,50-54,3114
351,2023-03-19,新北市,五股區,55-59,2905
352,2023-03-19,新北市,五股區,5-9,2918
353,2023-03-19,新北市,五股區,65-69,1726
354,2023-03-19,新北市,五股區,10-14,2515
355,2023-03-19,新北市,五股區,4,511
356,2023-03-19,新北市,五股區,15-19,2569
357,2023-03-18,新北市,五股區,2,516
358,2023-03-18,新北市,五股區,60-64,2325
359,2023-03-16,新北市,五股區,3,496
360,2023-03-16,新北市,五股區,1,519
361,2023-03-15,新北市,五股區,0,344
