UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
870,2023-03-10,新北市,五股區,1,67,0.14
1278,2023-03-02,新北市,五股區,1,66,0.43
1496,2023-02-26,新北市,五股區,1,65,0.29
1559,2023-02-25,新北市,五股區,1,64,0.14
2016,2023-02-17,新北市,五股區,1,63,0.29
2134,2023-02-15,新北市,五股區,1,62,0.29
2522,2023-02-09,新北市,五股區,1,61,0.14
3280,2023-01-28,新北市,五股區,1,60,0.43
3377,2023-01-26,新北市,五股區,1,59,0.29
3597,2023-01-22,新北市,五股區,1,58,0.14
3987,2023-01-14,新北市,五股區,1,57,0.14
4586,2023-01-02,新北市,五股區,2,56,0.43
4694,2022-12-31,新北市,五股區,1,54,0.14
5404,2022-12-13,新北市,五股區,1,53,0.29
5579,2022-12-08,新北市,五股區,1,52,0.14
7910,2022-10-24,新北市,五股區,1,51,0.29
8199,2022-10-20,新北市,五股區,1,50,0.29
8487,2022-10-16,新北市,五股區,1,49,0.29
8692,2022-10-13,新北市,五股區,1,48,0.14
9298,2022-10-04,新北市,五股區,1,47,0.29
9691,2022-09-28,新北市,五股區,1,46,0.29
10036,2022-09-22,新北市,五股區,1,45,0.43
10252,2022-09-18,新北市,五股區,1,44,0.43
10295,2022-09-17,新北市,五股區,1,43,0.29
10582,2022-09-12,新北市,五股區,1,42,0.29
10866,2022-09-06,新北市,五股區,1,41,0.29
11004,2022-09-03,新北市,五股區,1,40,0.29
11158,2022-08-30,新北市,五股區,1,39,0.14
11685,2022-08-16,新北市,五股區,1,38,0.14
12404,2022-07-30,新北市,五股區,1,37,0.29
12680,2022-07-25,新北市,五股區,1,36,0.29
13018,2022-07-19,新北市,五股區,1,35,0.14
13490,2022-07-12,新北市,五股區,1,34,0.29
13567,2022-07-11,新北市,五股區,1,33,0.14
14564,2022-06-29,新北市,五股區,1,32,0.29
14862,2022-06-26,新北市,五股區,1,31,0.43
15265,2022-06-22,新北市,五股區,1,30,0.43
15372,2022-06-21,新北市,五股區,1,29,0.29
15835,2022-06-17,新北市,五股區,1,28,0.29
16594,2022-06-11,新北市,五股區,1,27,0.57
16954,2022-06-08,新北市,五股區,1,26,0.57
17337,2022-06-05,新北市,五股區,2,25,0.86
17576,2022-06-03,新北市,五股區,1,23,0.86
17803,2022-06-01,新北市,五股區,2,22,1.00
17938,2022-05-31,新北市,五股區,1,20,0.71
18298,2022-05-28,新北市,五股區,2,19,0.71
18403,2022-05-27,新北市,五股區,1,17,0.57
18499,2022-05-26,新北市,五股區,1,16,0.43
18874,2022-05-22,新北市,五股區,1,15,0.43
18961,2022-05-21,新北市,五股區,1,14,0.43
19119,2022-05-19,新北市,五股區,1,13,0.29
19375,2022-05-15,新北市,五股區,1,12,0.29
19612,2022-05-10,新北市,五股區,1,11,0.14
20041,2021-07-20,新北市,五股區,1,10,0.14
20249,2021-06-26,新北市,五股區,1,9,0.14
20521,2021-06-08,新北市,五股區,2,8,0.86
20543,2021-06-07,新北市,五股區,2,6,0.57
20583,2021-06-05,新北市,五股區,1,4,0.57
20648,2021-06-02,新北市,五股區,1,3,0.43
20691,2021-05-31,新北市,五股區,2,2,0.29
