UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
79,2023-06-14,新北市,五股區,3,49780,0.43
412,2023-03-22,新北市,五股區,1,49777,24.00
469,2023-03-21,新北市,五股區,1,49776,28.86
607,2023-03-20,新北市,五股區,6,49775,36.00
891,2023-03-19,新北市,五股區,46,49769,41.71
1219,2023-03-18,新北市,五股區,44,49723,40.43
1559,2023-03-17,新北市,五股區,31,49679,40.14
1911,2023-03-16,新北市,五股區,39,49648,42.43
2264,2023-03-15,新北市,五股區,35,49609,41.14
2615,2023-03-14,新北市,五股區,51,49574,41.00
2972,2023-03-13,新北市,五股區,46,49523,40.71
3331,2023-03-12,新北市,五股區,37,49477,39.29
3676,2023-03-11,新北市,五股區,42,49440,38.43
4029,2023-03-10,新北市,五股區,47,49398,37.71
4384,2023-03-09,新北市,五股區,30,49351,38.71
4743,2023-03-08,新北市,五股區,34,49321,42.00
5097,2023-03-07,新北市,五股區,49,49287,43.57
5456,2023-03-06,新北市,五股區,36,49238,43.00
5821,2023-03-05,新北市,五股區,31,49202,41.14
6160,2023-03-04,新北市,五股區,37,49171,39.57
6512,2023-03-03,新北市,五股區,54,49134,41.29
6871,2023-03-02,新北市,五股區,53,49080,40.71
7235,2023-03-01,新北市,五股區,45,49027,42.14
7606,2023-02-28,新北市,五股區,45,48982,43.43
7969,2023-02-27,新北市,五股區,23,48937,47.14
8328,2023-02-26,新北市,五股區,20,48914,51.43
8673,2023-02-25,新北市,五股區,49,48894,55.57
9043,2023-02-24,新北市,五股區,50,48845,57.86
9404,2023-02-23,新北市,五股區,63,48795,59.57
9774,2023-02-22,新北市,五股區,54,48732,58.00
10149,2023-02-21,新北市,五股區,71,48678,59.57
10518,2023-02-20,新北市,五股區,53,48607,61.71
10898,2023-02-19,新北市,五股區,49,48554,65.00
11256,2023-02-18,新北市,五股區,65,48505,65.29
11623,2023-02-17,新北市,五股區,62,48440,65.86
11995,2023-02-16,新北市,五股區,52,48378,68.57
12370,2023-02-15,新北市,五股區,65,48326,74.71
12743,2023-02-14,新北市,五股區,86,48261,77.86
13115,2023-02-13,新北市,五股區,76,48175,84.57
13494,2023-02-12,新北市,五股區,51,48099,86.43
13851,2023-02-11,新北市,五股區,69,48048,88.71
14223,2023-02-10,新北市,五股區,81,47979,93.71
14597,2023-02-09,新北市,五股區,95,47898,93.86
14973,2023-02-08,新北市,五股區,87,47803,97.86
