UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
96,2023-04-11,新北市,土城區,1,167,0.14
489,2023-03-19,新北市,土城區,1,166,0.14
774,2023-03-12,新北市,土城區,1,165,0.43
957,2023-03-08,新北市,土城區,1,164,0.71
1049,2023-03-06,新北市,土城區,1,163,0.86
1100,2023-03-05,新北市,土城區,2,162,0.71
1265,2023-03-02,新北市,土城區,1,160,0.86
1320,2023-03-01,新北市,土城區,2,159,0.71
1482,2023-02-26,新北市,土城區,1,157,0.43
1548,2023-02-25,新北市,土城區,2,156,0.29
1946,2023-02-18,新北市,土城區,1,154,0.29
2259,2023-02-13,新北市,土城區,1,153,0.71
2377,2023-02-11,新北市,土城區,1,152,0.57
2509,2023-02-09,新北市,土城區,1,151,0.43
2572,2023-02-08,新北市,土城區,1,150,0.29
2655,2023-02-07,新北市,土城區,1,149,0.57
3031,2023-02-01,新北市,土城區,3,148,1.00
3096,2023-01-31,新北市,土城區,1,145,0.71
3151,2023-01-30,新北市,土城區,1,144,0.86
3270,2023-01-28,新北市,土城區,1,143,0.71
3363,2023-01-26,新北市,土城區,1,142,0.57
3424,2023-01-25,新北市,土城區,1,141,0.57
3480,2023-01-24,新北市,土城區,2,140,0.57
3722,2023-01-19,新北市,土城區,1,138,0.57
3774,2023-01-18,新北市,土城區,1,137,0.43
3863,2023-01-16,新北市,土城區,1,136,0.43
3916,2023-01-15,新北市,土城區,1,135,0.29
4120,2023-01-11,新北市,土城區,1,134,0.29
4370,2023-01-06,新北市,土城區,1,133,0.14
4737,2022-12-30,新北市,土城區,2,132,0.29
5204,2022-12-18,新北市,土城區,1,130,0.14
5492,2022-12-10,新北市,土城區,1,129,0.43
5663,2022-12-06,新北市,土城區,1,128,0.43
5724,2022-12-04,新北市,土城區,1,127,0.29
5801,2022-12-02,新北市,土城區,1,126,0.29
5998,2022-11-27,新北市,土城區,1,125,0.43
6117,2022-11-24,新北市,土城區,1,124,0.29
6250,2022-11-21,新北市,土城區,1,123,0.14
6770,2022-11-11,新北市,土城區,1,122,0.43
6895,2022-11-09,新北市,土城區,1,121,0.29
6950,2022-11-08,新北市,土城區,1,120,0.14
7614,2022-10-28,新北市,土城區,1,119,0.57
7753,2022-10-26,新北市,土城區,1,118,0.86
7964,2022-10-23,新北市,土城區,1,117,1.00
8040,2022-10-22,新北市,土城區,1,116,1.00
8109,2022-10-21,新北市,土城區,2,115,1.00
8182,2022-10-20,新北市,土城區,1,113,0.71
8322,2022-10-18,新北市,土城區,1,112,0.71
8391,2022-10-17,新北市,土城區,1,111,0.71
8469,2022-10-16,新北市,土城區,1,110,0.57
8542,2022-10-15,新北市,土城區,1,109,0.43
8750,2022-10-12,新北市,土城區,1,108,0.43
8819,2022-10-11,新北市,土城區,1,107,0.29
9073,2022-10-07,新北市,土城區,1,106,0.43
9355,2022-10-03,新北市,土城區,1,105,0.71
9494,2022-10-01,新北市,土城區,1,104,0.57
9557,2022-09-30,新北市,土城區,1,103,0.43
9730,2022-09-27,新北市,土城區,2,102,0.29
10147,2022-09-20,新北市,土城區,1,100,0.86
10191,2022-09-19,新北市,土城區,2,99,0.71
10241,2022-09-18,新北市,土城區,1,97,0.57
10346,2022-09-16,新北市,土城區,1,96,0.57
10468,2022-09-14,新北市,土城區,1,95,0.43
10570,2022-09-12,新北市,土城區,1,94,0.29
10672,2022-09-10,新北市,土城區,1,93,0.14
10992,2022-09-03,新北市,土城區,1,92,0.29
11149,2022-08-30,新北市,土城區,1,91,0.43
11278,2022-08-27,新北市,土城區,1,90,0.43
11314,2022-08-26,新北市,土城區,1,89,0.29
11513,2022-08-21,新北市,土城區,1,88,0.29
11680,2022-08-16,新北市,土城區,1,87,0.14
12441,2022-07-29,新北市,土城區,1,86,0.14
13009,2022-07-19,新北市,土城區,1,85,0.29
13200,2022-07-16,新北市,土城區,1,84,0.14
13909,2022-07-06,新北市,土城區,1,83,0.71
14081,2022-07-04,新北市,土城區,1,82,1.00
14186,2022-07-03,新北市,土城區,2,81,1.00
14266,2022-07-02,新北市,土城區,1,79,0.71
14548,2022-06-29,新北市,土城區,1,78,0.86
14646,2022-06-28,新北市,土城區,2,77,1.00
14742,2022-06-27,新北市,土城區,1,75,0.86
14946,2022-06-25,新北市,土城區,1,74,1.00
15133,2022-06-23,新北市,土城區,1,73,1.00
15245,2022-06-22,新北市,土城區,2,72,1.00
15358,2022-06-21,新北市,土城區,1,70,0.86
15471,2022-06-20,新北市,土城區,2,69,1.00
15693,2022-06-18,新北市,土城區,1,67,1.14
15952,2022-06-16,新北市,土城區,1,66,1.57
16067,2022-06-15,新北市,土城區,1,65,1.57
16200,2022-06-14,新北市,土城區,2,64,1.71
16330,2022-06-13,新北市,土城區,2,62,1.57
16451,2022-06-12,新北市,土城區,1,60,1.57
16571,2022-06-11,新北市,土城區,2,59,1.71
16701,2022-06-10,新北市,土城區,2,57,1.43
16818,2022-06-09,新北市,土城區,1,55,1.29
16935,2022-06-08,新北市,土城區,2,54,1.29
17065,2022-06-07,新北市,土城區,1,52,1.00
17188,2022-06-06,新北市,土城區,2,51,1.00
17313,2022-06-05,新北市,土城區,2,49,0.86
17551,2022-06-03,新北市,土城區,1,47,0.86
17679,2022-06-02,新北市,土城區,1,46,0.71
17912,2022-05-31,新北市,土城區,1,45,0.86
18037,2022-05-30,新北市,土城區,1,44,0.86
18167,2022-05-29,新北市,土城區,1,43,0.86
18275,2022-05-28,新北市,土城區,1,42,0.71
18477,2022-05-26,新北市,土城區,2,41,0.86
18674,2022-05-24,新北市,土城區,1,39,0.71
18757,2022-05-23,新北市,土城區,1,38,0.86
18939,2022-05-21,新北市,土城區,2,37,0.86
19097,2022-05-19,新北市,土城區,1,35,0.57
19235,2022-05-17,新北市,土城區,2,34,0.86
19359,2022-05-15,新北市,土城區,1,32,0.71
19517,2022-05-12,新北市,土城區,2,31,0.57
19553,2022-05-11,新北市,土城區,1,29,0.29
19638,2022-05-09,新北市,土城區,1,28,0.14
19988,2021-07-31,新北市,土城區,1,27,0.14
20076,2021-07-13,新北市,土城區,1,26,0.29
20117,2021-07-08,新北市,土城區,1,25,0.14
20257,2021-06-25,新北市,土城區,1,24,0.43
20280,2021-06-23,新北市,土城區,1,23,0.43
20302,2021-06-21,新北市,土城區,1,22,0.71
20359,2021-06-17,新北市,土城區,1,21,1.00
20372,2021-06-16,新北市,土城區,1,20,0.86
20385,2021-06-15,新北市,土城區,2,19,1.00
20399,2021-06-14,新北市,土城區,1,17,0.71
20443,2021-06-12,新北市,土城區,2,16,0.71
20489,2021-06-09,新北市,土城區,2,14,0.71
20529,2021-06-07,新北市,土城區,1,12,0.71
20574,2021-06-05,新北市,土城區,2,11,0.86
20656,2021-06-01,新北市,土城區,2,9,1.00
20674,2021-05-31,新北市,土城區,1,7,0.71
20697,2021-05-30,新北市,土城區,1,6,0.71
20734,2021-05-28,新北市,土城區,2,5,0.57
20750,2021-05-27,新北市,土城區,1,3,0.29
20794,2021-05-24,新北市,土城區,1,2,0.14
20841,2021-05-17,新北市,土城區,1,1,0.14
