UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
71,2023-04-18,新北市,新店區,1,285,0.14
274,2023-03-27,新北市,新店區,1,284,0.14
485,2023-03-19,新北市,新店區,1,283,1.00
521,2023-03-18,新北市,新店區,1,282,0.86
607,2023-03-16,新北市,新店區,1,281,0.86
653,2023-03-15,新北市,新店區,1,280,0.86
686,2023-03-14,新北市,新店區,2,279,0.71
729,2023-03-13,新北市,新店區,1,277,0.43
815,2023-03-11,新北市,新店區,1,276,0.43
907,2023-03-09,新北市,新店區,1,275,0.43
1098,2023-03-05,新北市,新店區,1,274,0.71
1153,2023-03-04,新北市,新店區,1,273,0.71
1263,2023-03-02,新北市,新店區,2,272,0.71
1374,2023-02-28,新北市,新店區,1,270,0.57
1479,2023-02-26,新北市,新店區,1,269,0.57
1602,2023-02-24,新北市,新店區,1,268,0.57
1656,2023-02-23,新北市,新店區,1,267,0.57
1837,2023-02-20,新北市,新店區,1,266,0.71
1891,2023-02-19,新北市,新店區,1,265,0.86
2002,2023-02-17,新北市,新店區,1,264,1.00
2189,2023-02-14,新北市,新店區,2,263,1.29
2254,2023-02-13,新北市,新店區,2,261,1.29
2317,2023-02-12,新北市,新店區,2,259,1.00
2440,2023-02-10,新北市,新店區,3,257,1.14
2650,2023-02-07,新北市,新店區,2,254,1.29
2780,2023-02-05,新北市,新店區,2,252,1.00
2841,2023-02-04,新北市,新店區,1,250,0.71
2889,2023-02-03,新北市,新店區,2,249,0.57
2957,2023-02-02,新北市,新店區,2,247,0.57
3320,2023-01-27,新北市,新店區,2,245,1.00
3420,2023-01-25,新北市,新店區,1,243,0.86
3477,2023-01-24,新北市,新店區,1,242,0.86
3528,2023-01-23,新北市,新店區,2,241,0.71
3585,2023-01-22,新北市,新店區,1,239,0.43
3718,2023-01-19,新北市,新店區,1,238,0.71
3771,2023-01-18,新北市,新店區,1,237,0.86
3912,2023-01-15,新北市,新店區,1,236,0.86
3972,2023-01-14,新北市,新店區,1,235,0.86
4033,2023-01-13,新北市,新店區,1,234,1.00
4079,2023-01-12,新北市,新店區,2,233,1.00
4219,2023-01-09,新北市,新店區,1,231,1.00
4273,2023-01-08,新北市,新店區,1,230,0.86
4315,2023-01-07,新北市,新店區,2,229,0.71
4366,2023-01-06,新北市,新店區,1,227,0.57
4512,2023-01-03,新北市,新店區,2,226,0.71
4678,2022-12-31,新北市,新店區,1,224,0.71
4734,2022-12-30,新北市,新店區,2,223,0.71
4852,2022-12-27,新北市,新店區,1,221,0.57
4952,2022-12-25,新北市,新店區,1,220,0.43
4983,2022-12-24,新北市,新店區,1,219,0.29
5015,2022-12-23,新北市,新店區,1,218,0.14
5625,2022-12-07,新北市,新店區,1,217,0.43
5693,2022-12-05,新北市,新店區,1,216,0.43
5722,2022-12-04,新北市,新店區,1,215,0.29
5921,2022-11-29,新北市,新店區,1,214,0.29
6114,2022-11-24,新北市,新店區,1,213,0.57
