UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
39,2023-07-07,新北市,新店區,1,159303,0.14
70,2023-06-14,新北市,新店區,37,159302,5.29
361,2023-03-24,新北市,新店區,3,159265,34.71
407,2023-03-22,新北市,新店區,5,159262,67.71
460,2023-03-21,新北市,新店區,2,159257,83.00
598,2023-03-20,新北市,新店區,32,159255,103.57
882,2023-03-19,新北市,新店區,77,159223,118.57
1210,2023-03-18,新北市,新店區,124,159146,122.43
1550,2023-03-17,新北市,新店區,112,159022,119.71
1902,2023-03-16,新北市,新店區,122,158910,120.29
2255,2023-03-15,新北市,新店區,112,158788,118.57
2606,2023-03-14,新北市,新店區,146,158676,121.14
2963,2023-03-13,新北市,新店區,137,158530,118.86
3322,2023-03-12,新北市,新店區,104,158393,121.86
3667,2023-03-11,新北市,新店區,105,158289,120.43
4020,2023-03-10,新北市,新店區,116,158184,125.00
4375,2023-03-09,新北市,新店區,110,158068,131.71
4734,2023-03-08,新北市,新店區,130,157958,144.43
5088,2023-03-07,新北市,新店區,130,157828,152.43
5447,2023-03-06,新北市,新店區,158,157698,157.00
5812,2023-03-05,新北市,新店區,94,157540,154.00
6151,2023-03-04,新北市,新店區,137,157446,159.57
6503,2023-03-03,新北市,新店區,163,157309,166.71
6862,2023-03-02,新北市,新店區,199,157146,177.43
7226,2023-03-01,新北市,新店區,186,156947,174.43
7597,2023-02-28,新北市,新店區,162,156761,177.00
7960,2023-02-27,新北市,新店區,137,156599,187.14
8319,2023-02-26,新北市,新店區,133,156462,202.43
8664,2023-02-25,新北市,新店區,187,156329,204.29
9034,2023-02-24,新北市,新店區,238,156142,208.86
9395,2023-02-23,新北市,新店區,178,155904,202.29
9765,2023-02-22,新北市,新店區,204,155726,208.86
10140,2023-02-21,新北市,新店區,233,155522,213.00
10509,2023-02-20,新北市,新店區,244,155289,217.29
10889,2023-02-19,新北市,新店區,146,155045,229.57
11247,2023-02-18,新北市,新店區,219,154899,233.14
11614,2023-02-17,新北市,新店區,192,154680,232.00
11986,2023-02-16,新北市,新店區,224,154488,244.57
12361,2023-02-15,新北市,新店區,233,154264,253.43
12734,2023-02-14,新北市,新店區,263,154031,263.57
13106,2023-02-13,新北市,新店區,330,153768,274.43
13485,2023-02-12,新北市,新店區,171,153438,273.29
13842,2023-02-11,新北市,新店區,211,153267,278.71
14214,2023-02-10,新北市,新店區,280,153056,285.71
14588,2023-02-09,新北市,新店區,286,152776,289.14
14964,2023-02-08,新北市,新店區,304,152490,300.00
15343,2023-02-07,新北市,新店區,339,152186,310.00
15722,2023-02-06,新北市,新店區,322,151847,324.29
16104,2023-02-05,新北市,新店區,209,151525,340.43
16472,2023-02-04,新北市,新店區,260,151316,352.57
16851,2023-02-03,新北市,新店區,304,151056,372.71
17237,2023-02-02,新北市,新店區,362,150752,382.29
17620,2023-02-01,新北市,新店區,374,150390,383.14
17997,2023-01-31,新北市,新店區,439,150016,369.43
18382,2023-01-30,新北市,新店區,435,149577,347.43
18771,2023-01-29,新北市,新店區,294,149142,317.57
19147,2023-01-28,新北市,新店區,401,148848,304.57
19526,2023-01-27,新北市,新店區,371,148447,293.29
19904,2023-01-26,新北市,新店區,368,148076,292.00
20281,2023-01-25,新北市,新店區,278,147708,286.00
