UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
69,2023-06-14,新北市,新莊區,27,222362,3.86
360,2023-03-24,新北市,新莊區,1,222335,47.57
406,2023-03-22,新北市,新莊區,2,222334,96.14
459,2023-03-21,新北市,新莊區,5,222332,120.86
597,2023-03-20,新北市,新莊區,42,222327,148.71
881,2023-03-19,新北市,新莊區,98,222285,172.14
1209,2023-03-18,新北市,新莊區,185,222187,175.71
1549,2023-03-17,新北市,新莊區,150,222002,177.00
1901,2023-03-16,新北市,新莊區,191,221852,174.57
2254,2023-03-15,新北市,新莊區,175,221661,174.00
2605,2023-03-14,新北市,新莊區,200,221486,173.14
2962,2023-03-13,新北市,新莊區,206,221286,172.86
3321,2023-03-12,新北市,新莊區,123,221080,166.57
3666,2023-03-11,新北市,新莊區,194,220957,166.71
4019,2023-03-10,新北市,新莊區,133,220763,165.43
4374,2023-03-09,新北市,新莊區,187,220630,180.00
4733,2023-03-08,新北市,新莊區,169,220443,188.43
5087,2023-03-07,新北市,新莊區,198,220274,204.71
5446,2023-03-06,新北市,新莊區,162,220076,212.71
5811,2023-03-05,新北市,新莊區,124,219914,219.43
6150,2023-03-04,新北市,新莊區,185,219790,223.00
6502,2023-03-03,新北市,新莊區,235,219605,234.14
6861,2023-03-02,新北市,新莊區,246,219370,239.29
7225,2023-03-01,新北市,新莊區,283,219124,245.71
7596,2023-02-28,新北市,新莊區,254,218841,249.14
7959,2023-02-27,新北市,新莊區,209,218587,268.29
8318,2023-02-26,新北市,新莊區,149,218378,284.29
8663,2023-02-25,新北市,新莊區,263,218229,297.57
9033,2023-02-24,新北市,新莊區,271,217966,305.43
9394,2023-02-23,新北市,新莊區,291,217695,308.00
9764,2023-02-22,新北市,新莊區,307,217404,306.14
10139,2023-02-21,新北市,新莊區,388,217097,312.86
10508,2023-02-20,新北市,新莊區,321,216709,316.71
10888,2023-02-19,新北市,新莊區,242,216388,320.14
11246,2023-02-18,新北市,新莊區,318,216146,322.43
11613,2023-02-17,新北市,新莊區,289,215828,322.57
11985,2023-02-16,新北市,新莊區,278,215539,334.43
12360,2023-02-15,新北市,新莊區,354,215261,348.57
12733,2023-02-14,新北市,新莊區,415,214907,359.00
13105,2023-02-13,新北市,新莊區,345,214492,376.00
13484,2023-02-12,新北市,新莊區,258,214147,394.00
13841,2023-02-11,新北市,新莊區,319,213889,409.71
14213,2023-02-10,新北市,新莊區,372,213570,431.14
14587,2023-02-09,新北市,新莊區,377,213198,449.00
14963,2023-02-08,新北市,新莊區,427,212821,471.00
15342,2023-02-07,新北市,新莊區,534,212394,489.43
15721,2023-02-06,新北市,新莊區,471,211860,510.43
16103,2023-02-05,新北市,新莊區,368,211389,528.86
16471,2023-02-04,新北市,新莊區,469,211021,541.71
16850,2023-02-03,新北市,新莊區,497,210552,574.14
17236,2023-02-02,新北市,新莊區,531,210055,586.29
17619,2023-02-01,新北市,新莊區,556,209524,592.71
17996,2023-01-31,新北市,新莊區,681,208968,567.57
18381,2023-01-30,新北市,新莊區,600,208287,532.29
18770,2023-01-29,新北市,新莊區,458,207687,488.86
19146,2023-01-28,新北市,新莊區,696,207229,449.86
19525,2023-01-27,新北市,新莊區,582,206533,407.43
19903,2023-01-26,新北市,新莊區,576,205951,393.86
20280,2023-01-25,新北市,新莊區,380,205375,363.00
20645,2023-01-24,新北市,新莊區,434,204995,370.00
21020,2023-01-23,新北市,新莊區,296,204561,371.57
21387,2023-01-22,新北市,新莊區,185,204265,385.00
21751,2023-01-21,新北市,新莊區,399,204080,410.71
22123,2023-01-20,新北市,新莊區,487,203681,424.86
22490,2023-01-19,新北市,新莊區,360,203194,419.14
22861,2023-01-18,新北市,新莊區,429,202834,437.86
23233,2023-01-17,新北市,新莊區,445,202405,449.57
23597,2023-01-16,新北市,新莊區,390,201960,469.86
23973,2023-01-15,新北市,新莊區,365,201570,481.86
24340,2023-01-14,新北市,新莊區,498,201205,487.43
24708,2023-01-13,新北市,新莊區,447,200707,485.00
25076,2023-01-12,新北市,新莊區,491,200260,492.00
25451,2023-01-11,新北市,新莊區,511,199769,501.43
25827,2023-01-10,新北市,新莊區,587,199258,516.57
26199,2023-01-09,新北市,新莊區,474,198671,527.86
26578,2023-01-08,新北市,新莊區,404,198197,530.00
26935,2023-01-07,新北市,新莊區,481,197793,516.86
27306,2023-01-06,新北市,新莊區,496,197312,526.57
27682,2023-01-05,新北市,新莊區,557,196816,536.57
28062,2023-01-04,新北市,新莊區,617,196259,540.57
28443,2023-01-03,新北市,新莊區,666,195642,530.86
28825,2023-01-02,新北市,新莊區,489,194976,517.71
29196,2023-01-01,新北市,新莊區,312,194487,514.57
