UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
1,2023-09-07,新北市,板橋區,65-69,13624
2,2023-09-07,新北市,板橋區,70+,20495
3,2023-07-20,新北市,板橋區,25-29,26395
4,2023-06-14,新北市,板橋區,35-39,28252
5,2023-06-14,新北市,板橋區,30-34,26947
6,2023-06-14,新北市,板橋區,5-9,15845
7,2023-06-14,新北市,板橋區,1,2231
8,2023-06-14,新北市,板橋區,3,2344
9,2023-06-14,新北市,板橋區,40-44,30949
10,2023-06-14,新北市,板橋區,50-54,17217
11,2023-06-14,新北市,板橋區,55-59,14947
12,2023-06-14,新北市,板橋區,2,2322
13,2023-06-14,新北市,板橋區,15-19,13829
14,2023-06-14,新北市,板橋區,60-64,14407
15,2023-06-14,新北市,板橋區,45-49,23157
16,2023-03-20,新北市,板橋區,10-14,14508
17,2023-03-20,新北市,板橋區,20-24,19009
18,2023-03-20,新北市,板橋區,4,2656
19,2023-03-18,新北市,板橋區,0,1516
